"","player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","firstname","lastname"
"1","ALEX.KOVALEV","27 KOVALEV, ALEX","MTL27","R","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,27,"ALEX","KOVALEV"
"2","ALEX.TANGUAY","13 TANGUAY, ALEX","MTL13","L","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,13,"ALEX","TANGUAY"
"3","ANDREI.KOSTITSYN","46 KOSTITSYN, ANDREI","MTL46","L","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,46,"ANDREI","KOSTITSYN"
"4","CAREY.PRICE","31 PRICE, CAREY","MTL31","G","G","2008030111","2009-04-16","20082009","P","MTL","BOS",0,31,"CAREY","PRICE"
"5","CHRIS.HIGGINS","21 HIGGINS, CHRISTOPHER","MTL21","L","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,21,"CHRISTOPHER","HIGGINS"
"6","GEORGES.LARAQUE","17 LARAQUE, GEORGES","MTL17","R","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,17,"GEORGES","LARAQUE"
"7","GLEN.METROPOLIT","15 METROPOLIT, GLEN","MTL15","C","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,15,"GLEN","METROPOLIT"
"8","GUILLAUME.LATENDRESSE","84 LATENDRESSE, GUILLAUME","MTL84","R","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,84,"GUILLAUME","LATENDRESSE"
"9","JOSH.GORGES","26 GORGES, JOSH","MTL26","D","D","2008030111","2009-04-16","20082009","P","MTL","BOS",0,26,"JOSH","GORGES"
"10","MATHIEU.DANDENAULT","25 DANDENAULT, MATHIEU","MTL25","R","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,25,"MATHIEU","DANDENAULT"
"11","MATHIEU.SCHNEIDER","24 SCHNEIDER, MATHIEU","MTL24","D","D","2008030111","2009-04-16","20082009","P","MTL","BOS",0,24,"MATHIEU","SCHNEIDER"
"12","MATT.D'AGOSTINI","36 D'AGOSTINI, MATT","MTL36","R","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,36,"MATT","D'AGOSTINI"
"13","MAXIM.LAPIERRE","40 LAPIERRE, MAXIM","MTL40","C","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,40,"MAXIM","LAPIERRE"
"14","MIKE.KOMISAREK","8 KOMISAREK, MICHAEL","MTL8","D","D","2008030111","2009-04-16","20082009","P","MTL","BOS",0,8,"MICHAEL","KOMISAREK"
"15","PATRICE.BRISEBOIS","71 BRISEBOIS, PATRICE","MTL71","D","D","2008030111","2009-04-16","20082009","P","MTL","BOS",0,71,"PATRICE","BRISEBOIS"
"16","ROMAN.HAMRLIK","44 HAMRLIK, ROMAN","MTL44","D","D","2008030111","2009-04-16","20082009","P","MTL","BOS",0,44,"ROMAN","HAMRLIK"
"17","SAKU.KOIVU","11 KOIVU, SAKU","MTL11","C","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,11,"SAKU","KOIVU"
"18","TOM.KOSTOPOULOS","6 KOSTOPOULOS, TOM","MTL6","R","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,6,"TOM","KOSTOPOULOS"
"19","TOMAS.PLEKANEC","14 PLEKANEC, TOMAS","MTL14","C","F","2008030111","2009-04-16","20082009","P","MTL","BOS",0,14,"TOMAS","PLEKANEC"
"20","AARON.WARD","44 WARD, AARON","BOS44","D","D","2008030111","2009-04-16","20082009","P","BOS","MTL",1,44,"AARON","WARD"
"21","BLAKE.WHEELER","26 WHEELER, BLAKE","BOS26","R","F","2008030111","2009-04-16","20082009","P","BOS","MTL",1,26,"BLAKE","WHEELER"
"22","CHUCK.KOBASEW","12 KOBASEW, CHUCK","BOS12","R","F","2008030111","2009-04-16","20082009","P","BOS","MTL",1,12,"CHUCK","KOBASEW"
"23","DAVID.KREJCI","46 KREJCI, DAVID","BOS46","C","F","2008030111","2009-04-16","20082009","P","BOS","MTL",1,46,"DAVID","KREJCI"
