Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2014,Paul Gaustad,NSH,C,75,185.9,0,0,0,0,0,0,5,0,6,6,2,1,1,0,19,4,2,1,1,3,3,10,4,1,18,127,110,53.59
2014,Jean-Philippe Cote,T.B,D,19,14.9,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,-
2014,Colton Orr,TOR,R,54,0.7,0,0,0,0,0,-,0,-,0,0,0,0,0,0,12,2,1,0,1,6,0,0,0,0,0,0,0,-
2014,Jason Spezza,OTT,C,75,59.56666667,0,0,0,0,0,-,4,0,8,8,4,1,0,0,2,1,1,0,0,2,3,7,0,0,5,45,40,52.94
2014,Mike Komisarek,CAR,D,32,21.35,0,0,0,0,0,-,0,-,1,0,0,0,0,1,2,1,1,0,0,1,1,0,4,1,2,0,0,-
2014,Tuomo Ruutu,"CAR, N.J",L,76,13.46666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-
2014,Dan Hamhuis,VAN,D,79,246.1333333,0,0,0,0,0,0,3,0,4,4,0,0,0,0,2,1,1,0,0,4,12,11,10,8,24,0,0,-
2014,Ales Hemsky,"EDM, OTT",R,75,13.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0
2014,Chuck Kobasew,PIT,R,33,16.08333333,0,0,0,0,0,-,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,-
2014,Carlo Colaiacovo,STL,D,25,1.316666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2014,Marcel Goc,"FLA, PIT",C,74,168.05,0,0,0,0,0,0,12,0,18,15,9,6,1,1,4,2,2,0,0,1,2,6,6,1,18,117,136,46.25
2014,Tim Gleason,"CAR, TOR",D,56,103.2833333,0,0,0,0,0,0,3,0,3,3,1,0,1,0,13,5,4,1,0,4,1,3,11,3,20,0,0,-
2014,David Steckel,ANA,C,6,5.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,60
2014,Derek Roy,STL,C,75,11.68333333,0,0,0,0,0,-,1,0,2,1,0,0,0,0,4,2,2,0,0,1,1,1,0,0,0,3,6,33.33
2014,Tim Jackman,"ANA, CGY",R,36,0.8166666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,15,2,0,1,1,4,0,0,0,0,0,0,0,-
