Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,Zach Aston-Reese,PIT,C,43,494.1333333,6,9,3,6,15,68.18,67,8.96,114,92,56,33,4,4,21,9,8,1,0,6,9,11,134,68,30,6,8,42.86
2019,Zach Bogosian,BUF,D,65,1157.25,2,14,6,8,16,32,82,2.44,164,111,36,5,3,7,34,14,12,2,0,2,41,14,72,36,93,0,0,-
2019,Zach Hyman,TOR,"C, L",71,1007.65,14,19,10,9,33,55,126,11.11,207,169,159,96,11,14,50,18,15,2,1,17,22,23,91,134,21,39,45,46.43
2019,Zach Parise,MIN,L,74,1007.516667,15,19,7,12,34,72.34,151,9.93,234,195,137,76,7,15,16,8,8,0,0,16,19,16,42,60,58,5,14,26.32
2019,Zach Sanford,STL,L,60,703.0166667,8,9,5,4,17,62.96,76,10.53,139,108,90,46,7,9,17,7,6,1,0,3,12,28,48,75,36,7,5,58.33
2019,Zach Senyshyn,BOS,R,2,21.61666667,0,0,0,0,0,-,3,0,7,6,7,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,-
2019,Zach Trotman,PIT,D,13,171.7166667,0,0,0,0,0,0,12,0,27,16,5,1,0,2,2,1,1,0,0,1,5,2,19,37,18,0,0,-
2019,Zach Werenski,CBJ,D,82,1492.7,8,17,10,7,25,36.76,130,6.15,266,192,72,16,5,12,14,7,7,0,0,7,41,33,63,80,78,0,0,-
2019,Zack Kassian,EDM,R,79,1048.733333,12,11,7,4,23,48.94,102,11.76,156,126,107,56,4,13,53,14,9,3,2,6,45,32,189,67,11,0,4,0
2019,Zack MacEwen,VAN,C,4,25.85,0,1,1,0,1,100,2,0,4,4,2,1,0,0,0,0,0,0,0,1,4,0,4,4,1,0,1,0
2019,Zack Smith,OTT,L,70,981.25,7,15,9,6,22,70.97,92,7.61,162,129,83,43,3,9,42,18,16,2,0,6,43,34,132,93,22,332,319,51
2019,Zdeno Chara,BOS,D,62,1087.466667,4,6,2,4,10,19.61,88,4.55,185,125,34,5,2,9,42,18,16,2,0,5,33,24,67,52,72,0,0,-
2019,Zemgus Girgensons,BUF,C,72,786.6333333,5,11,5,6,16,69.57,75,6.67,126,109,70,43,2,5,13,5,4,1,0,9,9,15,141,102,19,13,26,33.33
