Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2014,Nicklas Backstrom,WSH,C,82,301.1,6,38,15,23,44,81.48,54,11.11,89,69,51,19,1,6,10,5,5,0,0,2,9,4,3,11,0,109,79,57.98
2014,Alex Ovechkin,WSH,L,78,392.7666667,24,15,7,8,39,62.9,137,17.52,259,197,96,14,1,6,12,6,6,0,0,1,15,4,13,16,0,0,0,-
2014,Sidney Crosby,PIT,C,80,343.0333333,11,27,10,17,38,67.86,73,15.07,114,92,59,25,0,8,2,1,1,0,0,1,21,1,3,12,0,253,165,60.53
2014,Claude Giroux,PHI,C,82,308.1333333,7,30,11,19,37,80.43,63,11.11,122,92,41,16,0,6,2,1,1,0,0,4,8,3,7,13,1,195,161,54.78
2014,Joe Pavelski,S.J,C,82,288.7666667,16,15,13,2,31,77.5,65,24.62,138,101,92,44,2,9,8,4,4,0,0,1,8,4,4,7,2,118,76,60.82
2014,Keith Yandle,PHX,D,82,359.9666667,3,28,16,12,31,68.89,76,3.95,152,107,34,1,0,14,23,6,4,1,1,1,19,4,3,8,3,0,0,-
2014,Erik Karlsson,OTT,D,82,334.5833333,5,26,10,16,31,77.5,53,9.43,135,78,26,2,0,5,6,3,3,0,0,1,14,3,2,7,4,0,0,-
2014,Evgeni Malkin,PIT,C,60,274.4666667,7,23,17,6,30,66.67,86,8.14,157,112,56,10,1,6,18,9,9,0,0,2,12,7,2,13,3,4,1,80
2014,James Wisniewski,CBJ,D,75,273.9,4,25,12,13,29,80.56,57,7.02,124,89,26,1,1,6,4,2,2,0,0,1,7,1,1,8,4,0,0,-
2014,Shea Weber,NSH,D,79,248.2166667,12,14,4,10,26,76.47,53,22.64,115,86,31,6,0,12,0,0,0,0,0,1,1,2,4,2,2,0,0,-
2014,Dustin Byfuglien,WPG,D,78,269.7666667,8,18,9,9,26,81.25,79,10.13,158,119,40,11,0,8,12,6,6,0,0,1,11,8,8,5,5,0,0,-
2014,James Neal,PIT,"L, R",59,226.2333333,11,15,10,5,26,63.41,69,15.94,106,82,69,18,0,5,17,7,6,1,0,3,7,0,6,13,2,0,1,0
2014,Kevin Shattenkirk,STL,D,81,272.6666667,7,19,6,13,26,72.22,66,10.61,127,83,37,2,0,6,6,3,3,0,0,0,4,3,2,9,5,0,0,-
2014,Niklas Kronwall,DET,D,79,267.2833333,5,20,7,13,25,65.79,53,9.43,102,74,17,6,0,11,2,1,1,0,0,1,7,4,1,2,5,0,0,-
2014,Patrick Sharp,CHI,L,82,266.3,10,15,9,6,25,75.76,76,13.16,157,114,49,18,1,6,10,3,3,0,0,1,4,2,4,12,2,6,13,31.58
2014,Patrick Kane,CHI,R,69,227.8166667,10,15,8,7,25,78.13,51,19.61,87,73,55,27,1,4,2,1,1,0,0,0,4,3,2,7,1,0,0,-
2014,John Tavares,NYI,C,59,241.9833333,8,17,7,10,25,75.76,49,16.33,91,64,64,23,0,5,2,1,1,0,0,2,7,3,0,8,0,116,112,50.88
2014,Tyler Seguin,DAL,C,80,301.2,11,14,9,5,25,73.53,86,12.79,179,135,82,27,1,13,0,0,0,0,0,2,20,2,1,8,1,9,10,47.37
2014,Wayne Simmonds,PHI,R,82,278.0666667,15,9,5,4,24,54.55,60,25,83,78,76,69,1,8,29,10,7,3,0,1,5,1,8,14,1,1,0,100
2014,Patrick Marleau,S.J,"C, L",82,296.7666667,11,12,7,5,23,58.97,82,13.41,135,100,80,40,2,13,4,2,2,0,0,1,13,2,3,13,1,6,4,60
