Year,Player,Team,Position,GP,PPTOI,PPTOI_GP,PPCF_60,PPCA_60,PPCFPer,PPFF_60,PPFA_60,PPFFPer,PPSF_60,PPSA_60,PPSFPer,PPGF_60,PPGA_60,PPGFPer,PPSCF_60,PPSCA_60,PPSCFPer,PPHDCF_60,PPHDCA_60,PPHDCFPer,PPHDGF_60,PPHDGA_60,PPHDGFPer,PPMDCF_60,PPMDCA_60,PPMDCFPer,PPMDGF_60,PPMDGA_60,PPMDGFPer,PPLDCF_60,PPLDCA_60,PPLDCFPer,PPLDGF_60,PPLDGA_60,PPLDGFPer,PPOn-Ice SHPer,PPOn-Ice SVPer,PPPDO,PPOff. Zone Faceoffs_60,PPNeu. Zone Faceoffs_60,PPDef. Zone Faceoffs_60,PPOnTFStarts_60,PPOffZoneStartPer,PPOffZoneFaceoffs_60,PPNeuZoneFaceoffs_60,PPDefZoneFaceoffs_60,PPOff. Zone Faceoff Per
2016,Daniel Catenacci,BUF,C,11,0.416666667,0.037878788,0,144,0,0,144,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,208,0,0,0,-,-,-,-,0,0,0,0,-,0,0,0,-
2016,Brian Strait,NYI,D,52,2.45,0.047115385,24.49,97.96,20,24.49,24.49,50,24.49,24.49,50,24.49,0,100,24.49,48.98,33.33,0,0,-,0,0,-,32.65,65.31,33.33,32.65,0,100,0,35.37,0,0,0,-,100,100,2,48.98,24.49,0,269.39,100,48.98,48.98,0,100
2016,Max McCormick,OTT,R,20,1.25,0.0625,0,96,0,0,96,0,0,96,0,0,0,-,0,48,0,0,0,-,0,0,-,0,64,0,0,0,-,0,69.33,0,0,0,-,-,100,1,0,48,0,144,-,0,48,0,-
2016,Tom Kuhnhackl,PIT,R,42,1.333333333,0.031746032,90,90,50,45,45,50,45,45,50,0,0,-,90,45,66.67,0,45,0,0,0,-,120,0,100,0,0,-,0,65,0,0,0,-,0,100,1,90,45,0,135,100,135,45,0,100
2016,Patrick Brown,CAR,C,7,0.666666667,0.095238095,0,90,0,0,90,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,130,0,0,0,-,-,-,-,0,0,0,180,-,0,0,0,-
2016,Darren Dietz,MTL,D,13,2.233333333,0.171794872,0,80.6,0,0,53.73,0,0,26.87,0,0,26.87,0,0,53.73,0,0,26.87,0,0,26.87,0,0,35.82,0,0,0,-,0,38.81,0,0,0,-,-,0,0,0,26.87,0,53.73,-,0,26.87,0,-
2016,Sergei Plotnikov,"ARI, PIT",L,45,5.216666667,0.115925926,115.02,80.51,58.82,80.51,57.51,58.33,57.51,23,71.43,0,0,-,57.51,23,71.43,23,11.5,66.67,0,0,-,46.01,15.34,75,0,0,-,66.45,66.45,50,0,0,-,0,100,1,34.5,11.5,0,149.52,100,57.51,11.5,11.5,83.33
2016,Garnet Hathaway,CGY,R,14,1.616666667,0.11547619,74.23,74.23,50,74.23,74.23,50,74.23,74.23,50,37.11,0,100,37.11,37.11,50,0,37.11,0,0,0,-,49.48,0,100,0,0,-,53.61,53.61,50,53.61,0,100,50,100,1.5,74.23,37.11,0,259.79,100,74.23,37.11,0,100
2016,Martin Havlat,STL,R,2,0.866666667,0.433333333,0,69.23,0,0,69.23,0,0,69.23,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,100,0,0,0,-,-,100,1,0,0,0,69.23,-,0,0,0,-
2016,Laurent Dauphin,ARI,C,8,0.916666667,0.114583333,130.91,65.45,66.67,65.45,65.45,50,65.45,65.45,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,94.55,94.55,50,0,0,-,0,100,1,130.91,65.45,0,130.91,100,130.91,65.45,0,100
2016,Adam Pelech,NYI,D,9,4.733333333,0.525925926,63.38,63.38,50,50.7,25.35,66.67,50.7,25.35,66.67,12.68,0,100,38.03,12.68,75,12.68,0,100,0,0,-,33.8,16.9,66.67,16.9,0,100,18.31,54.93,25,0,0,-,25,100,1.25,25.35,0,0,114.08,100,38.03,38.03,12.68,75
2016,Trevor Carrick,CAR,D,2,0.95,0.475,0,63.16,0,0,63.16,0,0,63.16,0,0,0,-,0,63.16,0,0,0,-,0,0,-,0,84.21,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,63.16,-,0,0,0,-
2016,Dennis Seidenberg,BOS,D,61,3.1,0.050819672,77.42,58.06,57.14,58.06,38.71,60,38.71,38.71,50,19.35,0,100,58.06,19.35,75,19.35,0,100,19.35,0,100,51.61,25.81,66.67,0,0,-,0,27.96,0,0,0,-,50,100,1.5,96.77,58.06,19.35,135.48,83.33,116.13,77.42,19.35,85.71
2016,Ladislav Smid,CGY,D,22,2.116666667,0.096212121,56.69,56.69,50,56.69,0,100,28.35,0,100,0,0,-,56.69,0,100,28.35,0,100,0,0,-,37.8,0,100,0,0,-,0,40.94,0,0,0,-,0,-,0,0,28.35,0,56.69,-,0,56.69,0,-
2016,Chris Wagner,"ANA, COL",C,43,1.1,0.025581395,163.64,54.55,75,109.09,0,100,109.09,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,236.36,0,100,0,0,-,0,-,0,54.55,109.09,54.55,54.55,50,109.09,109.09,54.55,66.67
2016,Nicolas Deslauriers,BUF,L,70,5.533333333,0.079047619,43.37,54.22,44.44,43.37,43.37,50,32.53,21.69,60,0,0,-,21.69,32.53,40,21.69,32.53,40,0,0,-,0,0,-,0,0,-,31.33,15.66,66.67,0,0,-,0,100,1,32.53,10.84,10.84,130.12,75,32.53,21.69,10.84,75
2016,Dylan McIlrath,NYR,D,34,1.166666667,0.034313725,154.29,51.43,75,154.29,0,100,102.86,0,100,0,0,-,51.43,0,100,51.43,0,100,0,0,-,0,0,-,0,0,-,148.57,74.29,66.67,0,0,-,0,-,0,0,0,0,360,-,51.43,0,0,100
2016,Kerby Rychel,CBJ,L,32,1.2,0.0375,0,50,0,0,50,0,0,50,0,0,0,-,0,50,0,0,50,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,100,0,50,50,66.67,100,0,50,66.67
2016,Matt Halischuk,WPG,R,30,1.216666667,0.040555556,197.26,49.32,80,98.63,49.32,66.67,98.63,49.32,66.67,0,0,-,49.32,49.32,50,0,49.32,0,0,0,-,65.75,0,100,0,0,-,142.47,0,100,0,0,-,0,100,1,98.63,0,0,147.95,100,98.63,0,0,100
2016,Daniel Sprong,PIT,R,18,7.366666667,0.409259259,73.3,48.87,60,32.58,40.72,44.44,16.29,16.29,50,0,0,-,40.72,32.58,55.56,16.29,16.29,50,0,0,-,32.58,21.72,60,0,0,-,35.29,23.53,60,0,0,-,0,100,1,16.29,0,0,57.01,100,48.87,8.14,0,100
2016,Barret Jackman,NSH,D,73,1.25,0.017123288,48,48,50,0,48,0,0,48,0,0,0,-,48,0,100,0,0,-,0,0,-,64,0,100,0,0,-,0,69.33,0,0,0,-,-,100,1,48,48,0,192,100,48,48,0,100
2016,Michal Jordan,CAR,D,36,2.583333333,0.071759259,69.68,46.45,60,46.45,46.45,50,23.23,0,100,0,0,-,46.45,23.23,66.67,46.45,0,100,0,0,-,0,30.97,0,0,0,-,33.55,33.55,50,0,0,-,0,-,0,46.45,46.45,0,92.9,100,69.68,46.45,0,100
2016,Brian O'Neill,N.J,R,22,6.55,0.297727273,45.8,45.8,50,9.16,45.8,16.67,9.16,36.64,20,0,9.16,0,9.16,18.32,33.33,9.16,18.32,33.33,0,0,-,0,0,-,0,0,-,39.69,39.69,50,0,13.23,0,0,75,0.75,45.8,9.16,0,91.6,100,45.8,9.16,9.16,83.33
2016,Zac Rinaldo,BOS,C,52,1.383333333,0.026602564,86.75,43.37,66.67,86.75,0,100,86.75,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,125.3,0,100,0,0,-,0,-,0,0,86.75,43.37,260.24,0,0,130.12,43.37,0
2016,Nikolay Kulemin,NYI,L,81,4.183333333,0.051646091,100.4,43.03,70,57.37,28.69,66.67,43.03,14.34,75,0,0,-,14.34,28.69,33.33,0,0,-,0,0,-,19.12,38.25,33.33,0,0,-,103.59,20.72,83.33,0,0,-,0,100,1,28.69,14.34,0,157.77,100,28.69,14.34,0,100
2016,Eric Boulton,NYI,L,6,2.866666667,0.477777778,20.93,41.86,33.33,20.93,20.93,50,20.93,20.93,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,60.47,0,0,0,-,0,100,1,41.86,0,0,41.86,100,41.86,0,20.93,66.67
2016,Austin Watson,NSH,L,57,1.466666667,0.025730994,40.91,40.91,50,40.91,40.91,50,40.91,40.91,50,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,59.09,59.09,50,0,0,-,0,100,1,40.91,40.91,40.91,122.73,50,40.91,40.91,40.91,50
2016,Adam Cracknell,"EDM, VAN",R,52,6.066666667,0.116666667,19.78,39.56,33.33,9.89,39.56,20,0,19.78,0,0,0,-,9.89,29.67,25,9.89,9.89,50,0,0,-,0,26.37,0,0,0,-,14.29,14.29,50,0,0,-,-,100,1,39.56,49.45,0,237.36,100,39.56,49.45,0,100
