Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2017,Chris Stewart,MIN,R,79,0.216666667,0.002742616,0,553.85,0,0,0,-,0,0,-,0,0,-,0,553.85,0,0,0,-,0,0,-,0,738.46,0,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,553.85,-,0,0,0,-
2017,Miles Wood,N.J,L,60,0.25,0.004166667,0,480,0,0,480,0,0,240,0,0,0,-,0,480,0,0,480,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,240,0,0,-,0,240,0,-
2017,Jimmy Hayes,BOS,R,58,0.266666667,0.004597701,225,450,33.33,225,450,33.33,225,225,50,0,0,-,225,225,50,225,0,100,0,0,-,0,300,0,0,0,-,0,325,0,0,0,-,0,100,1,0,0,0,450,-,0,0,225,0
2017,Taylor Fedun,BUF,D,27,0.15,0.005555556,0,400,0,0,400,0,0,400,0,0,400,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,0,0,0,0,0,400,-,0,0,0,-
2017,Paul Thompson,FLA,R,21,0.166666667,0.007936508,0,360,0,0,360,0,0,360,0,0,0,-,0,360,0,0,0,-,0,0,-,0,480,0,0,0,-,0,0,-,0,0,-,-,100,1,0,360,0,0,-,0,360,0,-
2017,Nail Yakupov,STL,R,40,0.166666667,0.004166667,0,360,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,520,0,0,0,-,-,-,-,0,0,0,360,-,0,0,0,-
2017,Phillip Di Giuseppe,CAR,L,36,0.883333333,0.024537037,0,339.62,0,0,271.7,0,0,203.77,0,0,67.92,0,0,135.85,0,0,67.92,0,0,0,-,0,90.57,0,0,90.57,0,0,294.34,0,0,0,-,-,66.67,0.67,0,0,0,203.77,-,0,0,0,-
2017,Richard Panik,CHI,R,82,0.433333333,0.005284553,0,276.92,0,0,138.46,0,0,0,-,0,0,-,0,276.92,0,0,0,-,0,0,-,0,369.23,0,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,553.85,-,0,0,0,-
2017,Emerson Etem,ANA,"L, R",3,0.933333333,0.311111111,0,257.14,0,0,192.86,0,0,192.86,0,0,64.29,0,0,128.57,0,0,64.29,0,0,64.29,0,0,85.71,0,0,0,-,0,185.71,0,0,0,-,-,66.67,0.67,0,64.29,0,0,-,0,64.29,0,-
2017,Jujhar Khaira,EDM,L,10,0.233333333,0.023333333,0,257.14,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,371.43,0,0,0,-,-,-,-,0,0,0,0,-,0,0,257.14,0
2017,Brett Lernout,MTL,D,2,0.233333333,0.116666667,0,257.14,0,0,257.14,0,0,257.14,0,0,0,-,0,257.14,0,0,257.14,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,257.14,0,0,-,0,257.14,0,-
2017,Jakub Nakladal,CAR,D,3,0.233333333,0.077777778,0,257.14,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,257.14,257.14,0,0,0,257.14,0
2017,Patrick Maroon,EDM,L,81,1.066666667,0.013168724,0,225,0,0,168.75,0,0,56.25,0,0,0,-,0,56.25,0,0,56.25,0,0,0,-,0,0,-,0,0,-,0,243.75,0,0,0,-,-,100,1,0,0,0,281.25,-,0,0,0,-
