Year,Player,Team,Position,GP,PKTOI,PKGoals,PKTotal_Assists,PKFirst_Assists,PKSecond_Assists,PKTotal_Points,PKShots,PKSHPer,PKiCF,PKiFF,PKiSCF,PKiHDCF,PKRush_Attempts,PKRebounds_Created,PKPIM,PKTotal_Penalties,PKMinor,PKMajor,PKMisconduct,PKPenalties_Drawn,PKGiveaways,PKTakeaways,PKHits,PKHits_Taken,PKShots_Blocked,PKFaceoffs_Won,PKFaceoffs_Lost,PKFaceoffs_Per
2017,Brad Richardson,ARI,R,16,32.4,2,1,1,0,3,5,40,7,6,4,2,1,1,0,0,0,0,0,2,0,3,0,1,0,24,22,52.17
2017,Mark Giordano,CGY,D,81,265.7166667,2,1,0,1,3,5,40,7,6,4,2,1,0,6,3,3,0,0,2,9,9,9,3,45,0,0,-
2017,Blake Wheeler,WPG,R,82,114.8333333,2,1,1,0,3,7,28.57,13,10,7,5,2,0,2,1,1,0,0,5,3,5,0,2,8,1,6,14.29
2017,T.J. Oshie,WSH,R,68,68.28333333,1,2,1,1,3,10,10,12,12,9,6,2,1,2,1,1,0,0,1,3,6,3,1,5,1,4,20
2017,Michael Grabner,NYR,R,76,127.6666667,1,2,1,1,3,19,5.26,30,27,18,9,5,1,0,0,0,0,0,3,2,10,3,1,8,3,6,33.33
2017,Michael Frolik,CGY,R,82,169.8833333,2,1,1,0,3,13,15.38,19,17,9,3,1,2,4,2,2,0,0,1,8,5,1,0,10,3,3,50
2017,Mark Letestu,EDM,C,78,166.6333333,2,1,1,0,3,6,33.33,12,8,6,5,2,0,0,0,0,0,0,1,0,5,2,1,11,80,93,46.24
2017,Riley Nash,BOS,C,81,156.1333333,1,2,2,0,3,8,12.5,11,8,8,1,1,1,4,2,2,0,0,1,5,5,0,2,6,28,40,41.18
2017,Mikael Backlund,CGY,C,81,183.3,0,3,3,0,3,20,0,26,23,14,5,5,1,2,1,1,0,0,2,2,17,2,3,11,115,150,43.4
2017,Jay Beagle,WSH,C,81,224.05,1,2,2,0,3,19,5.26,22,21,15,8,2,1,2,1,1,0,0,2,3,5,1,4,17,151,120,55.72
2017,Adam Henrique,N.J,C,82,186.6,2,1,1,0,3,7,28.57,12,7,6,5,1,1,0,0,0,0,0,3,3,9,2,2,18,66,75,46.81
2017,Cam Atkinson,CBJ,R,82,128,3,0,0,0,3,8,37.5,10,9,7,3,0,1,2,1,1,0,0,2,2,8,4,0,5,1,0,100
2017,Ryan Ellis,NSH,D,71,185.1666667,1,2,1,1,3,7,14.29,8,7,6,3,4,0,0,0,0,0,0,3,5,9,4,3,25,0,0,-
2017,Calle Jarnkrok,NSH,C,81,143.7333333,1,2,2,0,3,2,50,4,3,2,2,0,0,0,0,0,0,0,2,3,3,1,0,3,50,80,38.46
2017,Filip Forsberg,NSH,L,82,119.6166667,3,0,0,0,3,5,60,9,9,4,0,1,0,2,1,1,0,0,1,2,14,4,3,6,0,1,0
2017,Jordan Martinook,ARI,L,77,173.9333333,1,2,2,0,3,6,16.67,9,7,5,3,3,0,0,0,0,0,0,1,3,7,2,1,19,77,105,42.31
2017,Matt Cullen,PIT,C,72,168.2,2,0,0,0,2,13,15.38,20,18,14,4,1,0,4,2,2,0,0,1,7,5,4,4,9,73,110,39.89
2017,Zdeno Chara,BOS,D,75,281.45,2,0,0,0,2,10,20,14,12,5,1,0,0,2,1,1,0,0,8,14,9,28,5,36,0,0,-
2017,Brian Gionta,BUF,R,82,152,1,1,1,0,2,8,12.5,12,9,5,2,1,0,2,1,1,0,0,1,2,8,1,2,6,4,8,33.33
2017,Joel Ward,S.J,R,78,107.3333333,2,0,0,0,2,7,28.57,9,9,6,3,0,0,0,0,0,0,0,2,1,6,3,4,13,27,52,34.18
2017,Mikko Koivu,MIN,C,80,146.95,0,2,2,0,2,1,0,4,3,2,2,0,0,0,0,0,0,0,0,3,7,2,2,13,125,132,48.64
2017,Dan Hamhuis,DAL,D,79,159.8333333,0,2,1,1,2,4,0,6,6,1,1,0,1,0,0,0,0,0,0,2,5,12,1,15,0,0,-
2017,Tomas Plekanec,MTL,C,78,154.2,2,0,0,0,2,7,28.57,11,10,7,5,2,0,4,2,2,0,0,1,4,8,6,1,5,73,114,39.04
2017,Scottie Upshall,STL,R,73,129.35,2,0,0,0,2,3,66.67,4,3,2,2,1,0,6,3,3,0,0,4,2,4,3,1,8,2,6,25
2017,Frans Nielsen,DET,C,79,150.7833333,2,0,0,0,2,7,28.57,16,11,6,5,0,0,0,0,0,0,0,3,0,6,7,3,12,66,89,42.58
2017,Matt Stajan,CGY,C,81,145,0,2,0,2,2,6,0,7,7,7,6,1,2,0,0,0,0,0,4,3,6,1,3,11,58,63,47.93
2017,Johnny Boychuk,NYI,D,66,137.5833333,1,1,1,0,2,5,20,5,5,0,0,1,0,2,1,1,0,0,1,9,1,17,2,17,1,0,100
2017,Eric Staal,MIN,C,82,112.1833333,1,1,1,0,2,10,10,16,12,9,3,1,1,2,1,1,0,0,2,0,6,0,1,8,32,34,48.48
2017,Ryan Suter,MIN,D,82,191.1333333,1,1,0,1,2,4,25,5,5,3,1,2,0,2,1,1,0,0,0,4,5,6,1,13,0,0,-
2017,Shea Weber,MTL,D,78,229.8,0,2,1,1,2,6,0,7,6,1,0,0,0,2,1,1,0,0,0,16,4,9,3,37,0,0,-
2017,Dustin Byfuglien,WPG,D,80,188.1,0,2,1,1,2,5,0,13,11,4,3,2,0,8,4,4,0,0,3,15,12,15,4,18,0,0,-
2017,Travis Zajac,N.J,C,80,185.85,1,1,1,0,2,4,25,6,5,5,1,2,0,0,0,0,0,0,0,2,9,2,5,5,85,83,50.6
2017,Alex Goligoski,ARI,D,82,204.1,1,1,1,0,2,2,50,3,3,2,1,0,0,4,2,2,0,0,3,7,2,12,3,31,0,0,-
2017,Troy Brouwer,CGY,R,74,116.55,1,1,1,0,2,2,50,4,3,2,1,0,0,4,2,2,0,0,3,1,6,6,3,6,7,20,25.93
2017,Daniel Winnik,WSH,L,72,181.6833333,2,0,0,0,2,18,11.11,21,19,12,8,0,2,2,1,1,0,0,8,3,12,4,7,14,0,6,0
2017,Tom Pyatt,OTT,"C, L",82,174.0666667,0,2,2,0,2,6,0,14,9,7,2,0,0,0,0,0,0,0,4,5,9,1,3,20,4,2,66.67
2017,Dan Girardi,NYR,D,63,141.75,1,1,0,1,2,1,100,1,1,0,0,0,0,0,0,0,0,0,1,4,2,4,3,24,0,0,-
2017,Leo Komarov,TOR,C,82,177.5,1,1,1,0,2,9,11.11,10,10,6,4,2,0,13,4,3,1,0,2,4,8,18,3,14,64,75,46.04
2017,Viktor Stalberg,"CAR, OTT",L,75,102.6666667,2,0,0,0,2,10,20,16,15,10,5,2,0,6,3,3,0,0,5,4,9,2,3,7,0,3,0
2017,Nikolay Kulemin,NYI,L,72,132.2166667,1,1,1,0,2,7,14.29,12,11,8,3,1,1,2,1,1,0,0,3,2,7,3,1,9,9,10,47.37
2017,Alex Killorn,T.B,"C, L",81,116.6833333,1,1,0,1,2,8,12.5,9,8,7,2,1,1,0,0,0,0,0,5,2,10,3,2,4,1,0,100
2017,Justin Braun,S.J,D,81,172.85,0,2,1,1,2,3,0,3,3,0,0,0,0,0,0,0,0,0,0,6,1,14,6,34,0,0,-
2017,Max Pacioretty,MTL,L,81,77.5,1,1,1,0,2,3,33.33,7,6,5,0,1,0,4,2,2,0,0,2,1,5,3,2,4,1,0,100
2017,Lars Eller,WSH,C,81,175.8333333,1,1,1,0,2,10,10,15,12,8,3,1,0,2,1,1,0,0,3,2,8,7,5,12,65,102,38.92
2017,Wayne Simmonds,PHI,R,82,124.1166667,2,0,0,0,2,15,13.33,15,15,7,3,2,0,18,5,4,0,1,7,5,8,7,2,9,1,1,50
2017,Jason Demers,FLA,D,81,141.65,0,2,1,1,2,2,0,5,4,1,0,0,0,15,2,0,1,1,2,0,3,10,3,8,0,0,-
2017,Erik Karlsson,OTT,D,77,166.45,0,2,2,0,2,2,0,7,4,0,0,0,0,0,0,0,0,0,2,10,6,13,3,20,0,0,-
2017,TJ Brodie,CGY,D,82,192.8833333,1,1,0,1,2,5,20,8,6,3,1,0,0,2,1,1,0,0,2,7,13,1,1,13,0,0,-
2017,Ryan O'Reilly,BUF,C,72,168.6166667,1,1,1,0,2,7,14.29,13,10,6,3,2,1,0,0,0,0,0,1,3,5,0,1,5,157,137,53.4
2017,John Tavares,NYI,C,77,71.51666667,1,1,1,0,2,9,11.11,11,10,7,5,4,1,0,0,0,0,0,0,2,7,2,1,3,50,54,48.08
2017,David Savard,CBJ,D,74,181.8666667,0,2,0,2,2,2,0,3,3,0,0,0,0,2,1,1,0,0,1,6,3,11,2,19,0,0,-
2017,Matt Irwin,NSH,D,74,90.73333333,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,3,4,10,0,0,-
2017,Cam Fowler,ANA,D,80,220.3666667,1,1,1,0,2,4,25,4,4,4,1,0,1,6,3,3,0,0,0,5,6,2,4,27,0,0,-
2017,Tom Kuhnhackl,PIT,R,57,101.6666667,1,1,1,0,2,6,16.67,11,11,5,3,3,0,0,0,0,0,0,1,0,3,5,4,13,0,1,0
2017,Josh Manson,ANA,D,82,191.8333333,1,1,0,1,2,6,16.67,6,6,3,1,0,0,6,3,3,0,0,7,7,4,45,4,11,0,0,-
2017,Tobias Rieder,ARI,"C, R",80,191.0666667,1,1,1,0,2,23,4.35,33,28,22,13,7,2,0,0,0,0,0,3,1,8,1,3,10,1,5,16.67
2017,Joseph Cramarossa,"ANA, VAN",C,59,39.08333333,0,2,1,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,4,0,0,3,0,2,1,0,100
2017,Logan Shaw,ANA,"C, R",55,80.58333333,1,1,1,0,2,2,50,6,4,5,2,1,0,0,0,0,0,0,1,1,2,2,1,3,3,8,27.27
2017,Jean-Gabriel Pageau,OTT,C,82,179.7666667,0,2,2,0,2,16,0,26,24,14,7,3,2,0,0,0,0,0,3,2,6,11,6,20,84,74,53.16
2017,Boone Jenner,CBJ,C,82,69.91666667,2,0,0,0,2,7,28.57,9,8,7,3,2,1,0,0,0,0,0,5,0,7,3,1,5,14,20,41.18
2017,William Karlsson,CBJ,C,81,131.9,0,2,2,0,2,6,0,7,7,6,4,1,0,0,0,0,0,0,1,0,4,1,1,6,58,102,36.25
2017,Mark Scheifele,WPG,C,79,55.61666667,0,2,2,0,2,2,0,3,2,2,1,0,0,2,1,1,0,0,2,7,3,1,1,4,28,49,36.36
2017,Tanner Pearson,L.A,L,80,86.68333333,1,1,1,0,2,5,20,8,8,5,2,1,0,0,0,0,0,0,3,2,5,1,0,4,1,0,100
2017,Cody Ceci,OTT,D,79,240.85,0,2,0,2,2,7,0,9,7,0,0,1,0,0,0,0,0,0,1,11,1,11,3,30,1,0,100
2017,Chris Tierney,S.J,C,80,143.05,1,1,1,0,2,8,12.5,11,9,6,4,0,0,2,1,1,0,0,3,6,8,3,2,10,54,71,43.2
2017,Nathan MacKinnon,COL,C,82,139.4666667,2,0,0,0,2,14,14.29,24,20,10,6,6,2,0,0,0,0,0,1,4,11,3,2,7,77,83,48.13
2017,Bo Horvat,VAN,C,81,148.7666667,2,0,0,0,2,9,22.22,12,12,9,6,3,0,0,0,0,0,0,4,3,4,0,2,6,78,93,45.61
2017,Connor McDavid,EDM,C,82,66.63333333,1,1,0,1,2,3,33.33,3,3,3,2,0,0,0,0,0,0,0,2,3,8,1,0,6,12,15,44.44
2017,Sebastian Aho,CAR,R,82,17.95,1,1,1,0,2,3,33.33,3,3,3,3,1,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0
2017,Marian Hossa,CHI,R,73,113.3166667,1,0,0,0,1,4,25,6,5,4,2,1,0,0,0,0,0,0,3,2,5,2,1,6,1,3,25
2017,Jason Chimera,NYI,L,82,97.8,1,0,0,0,1,5,20,6,6,5,4,3,0,2,1,1,0,0,2,0,3,5,1,6,6,6,50
2017,Andrei Markov,MTL,D,62,105.6833333,0,1,0,1,1,0,0,1,0,0,0,0,0,2,1,1,0,0,2,6,4,1,1,8,0,0,-
2017,Chris Kelly,OTT,C,82,173.4166667,1,0,0,0,1,5,20,7,6,1,1,2,0,2,1,1,0,0,0,3,4,1,3,16,45,80,36
2017,Jason Spezza,DAL,C,68,18.5,1,0,0,0,1,1,100,2,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2,13,12,52
2017,Chris Thorburn,WPG,R,64,39.6,1,0,0,0,1,3,33.33,3,3,2,2,1,0,0,0,0,0,0,5,1,0,3,1,6,1,1,50
2017,Jay McClement,CAR,C,65,121.0333333,1,0,0,0,1,4,25,8,6,5,3,1,2,0,0,0,0,0,0,2,2,2,1,8,40,48,45.45
2017,Patrick Sharp,DAL,L,48,13.11666667,1,0,0,0,1,2,50,2,2,2,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,50
2017,Jussi Jokinen,FLA,L,69,92.9,1,0,0,0,1,5,20,9,6,4,2,1,1,13,5,4,1,0,5,1,7,0,0,6,7,3,70
2017,Vernon Fiddler,"N.J, NSH","C, L",59,105.6666667,1,0,0,0,1,2,50,6,4,2,1,2,0,19,4,2,1,1,7,3,3,3,0,10,53,60,46.9
2017,Rick Nash,NYR,"L, R",67,80.41666667,1,0,0,0,1,6,16.67,11,10,7,3,4,0,0,0,0,0,0,2,2,6,1,0,9,0,0,-
2017,Trevor Daley,PIT,D,56,133.5833333,0,1,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,5,1,5,3,0,19,0,0,-
2017,Alexandre Burrows,"OTT, VAN",L,75,88.5,0,1,1,0,1,5,0,5,5,2,1,1,0,17,3,1,1,1,2,2,5,1,1,6,0,3,0
2017,Braydon Coburn,T.B,D,80,162.2333333,1,0,0,0,1,4,25,7,5,2,2,1,0,6,3,3,0,0,3,6,2,5,3,21,0,0,-
2017,Dion Phaneuf,OTT,D,81,199.3166667,1,0,0,0,1,2,50,4,2,1,0,0,0,7,2,1,1,0,9,8,5,7,3,41,0,0,-
2017,Jeff Carter,L.A,C,82,124.0166667,1,0,0,0,1,12,8.33,15,14,11,6,1,1,0,0,0,0,0,1,2,4,0,1,7,52,70,42.62
2017,Dustin Brown,L.A,"L, R",80,103.35,1,0,0,0,1,3,33.33,3,3,3,1,0,0,0,0,0,0,0,1,3,7,14,4,8,0,0,-
2017,Brent Burns,S.J,D,82,141.7666667,0,1,0,1,1,2,0,7,4,3,1,1,0,0,0,0,0,0,1,11,6,3,1,14,0,0,-
2017,Loui Eriksson,VAN,L,65,92.58333333,0,1,1,0,1,3,0,3,3,3,0,1,0,0,0,0,0,0,0,1,4,0,1,3,0,1,0
2017,Kevin Klein,NYR,D,60,75.66666667,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,0,5,3,21,0,0,-
2017,Joe Pavelski,S.J,C,81,23.43333333,1,0,0,0,1,2,50,2,2,1,1,1,0,0,0,0,0,0,5,1,2,0,1,0,14,20,41.18
2017,Toby Enstrom,WPG,D,60,179.7333333,1,0,0,0,1,2,50,3,2,1,1,0,0,2,1,1,0,0,0,10,4,1,1,29,0,0,-
2017,Andrew Ladd,NYI,L,78,64.53333333,1,0,0,0,1,2,50,3,2,1,0,0,0,0,0,0,0,0,1,1,5,4,1,5,0,1,0
2017,Lauri Korpikoski,"CBJ, DAL",L,69,93.71666667,0,1,1,0,1,4,0,7,5,3,2,0,0,0,0,0,0,0,1,1,1,2,1,6,0,2,0
2017,Blake Comeau,COL,L,77,144.85,1,0,0,0,1,6,16.67,9,8,4,4,1,0,12,2,1,0,1,5,0,6,13,1,5,25,35,41.67
2017,Brandon Dubinsky,CBJ,C,80,138.05,1,0,0,0,1,7,14.29,9,8,6,4,1,0,10,1,0,0,1,5,2,4,2,0,10,80,94,45.98
2017,Andrej Sekera,EDM,D,80,162.2333333,1,0,0,0,1,7,14.29,8,7,3,1,0,0,0,0,0,0,0,1,3,5,5,3,29,0,0,-
2017,Adam Cracknell,DAL,R,69,35.95,1,0,0,0,1,3,33.33,7,5,6,5,1,0,2,1,1,0,0,2,0,0,1,1,1,5,9,35.71
2017,Jack Johnson,CBJ,D,82,198.4166667,0,1,1,0,1,5,0,5,5,0,0,0,0,0,0,0,0,0,1,3,5,10,2,33,0,0,-
2017,Anze Kopitar,L.A,C,76,144.8833333,0,1,1,0,1,7,0,11,7,7,3,2,1,4,2,2,0,0,1,1,6,3,1,12,87,119,42.23
2017,Marc Staal,NYR,D,72,139.4833333,0,1,1,0,1,2,0,2,2,1,0,0,0,2,1,1,0,0,2,4,3,6,2,11,0,0,-
2017,Matt Niskanen,WSH,D,78,203.85,0,1,0,1,1,2,0,3,3,1,0,0,0,2,1,1,0,0,1,6,3,15,3,17,0,0,-
2017,Marc-Edouard Vlasic,S.J,D,75,155.95,0,1,1,0,1,3,0,4,3,0,0,1,0,2,1,1,0,0,0,7,1,1,3,22,0,0,-
2017,Justin Abdelkader,DET,L,64,77.9,0,1,1,0,1,2,0,3,2,2,0,1,1,7,2,1,1,0,3,2,2,3,1,5,0,2,0
2017,Adam McQuaid,BOS,D,77,183.1333333,0,1,1,0,1,2,0,2,2,0,0,0,0,6,2,2,0,0,4,2,1,12,8,42,0,0,-
2017,Kris Letang,PIT,D,41,89.01666667,0,1,1,0,1,0,0,2,2,0,0,0,0,6,3,3,0,0,2,2,4,9,4,9,0,0,-
2017,Keith Yandle,FLA,D,82,139.0833333,0,1,0,1,1,3,0,7,5,1,0,0,0,2,1,1,0,0,5,7,3,3,0,3,0,0,-
2017,Niklas Hjalmarsson,CHI,D,73,203.8666667,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,2,3,36,0,0,-
2017,Darren Helm,DET,C,50,82.43333333,0,1,1,0,1,8,0,16,13,8,3,2,0,0,0,0,0,0,0,1,5,3,6,4,12,19,38.71
2017,Andy Greene,N.J,D,66,214.0666667,1,0,0,0,1,4,25,5,4,1,0,1,0,0,0,0,0,0,1,7,5,6,5,38,0,0,-
2017,Claude Giroux,PHI,"C, R",82,21.01666667,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,30,25,54.55
2017,Jordan Staal,CAR,C,75,117.8166667,1,0,0,0,1,15,6.67,21,18,18,11,5,4,2,1,1,0,0,0,3,11,1,1,2,79,72,52.32
2017,Shawn Matthias,WPG,L,45,67.35,1,0,0,0,1,4,25,4,4,3,2,0,0,4,2,2,0,0,1,2,0,0,0,5,2,3,40
2017,Andrew MacDonald,PHI,D,73,206.8166667,0,1,1,0,1,1,0,2,1,0,0,0,0,2,1,1,0,0,3,9,0,2,5,28,0,0,-
2017,Jamie Benn,DAL,L,77,114.3,1,0,0,0,1,9,11.11,12,12,11,5,2,1,2,1,1,0,0,2,2,5,0,2,7,17,29,36.96
2017,Nick Bonino,PIT,C,80,183.6,1,0,0,0,1,6,16.67,14,11,7,5,0,1,2,1,1,0,0,0,0,15,1,1,15,80,116,40.82
2017,Kevin Shattenkirk,"STL, WSH",D,80,24.6,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,-
2017,Paul Byron,MTL,L,81,160.2833333,1,0,0,0,1,8,12.5,12,11,9,7,2,0,0,0,0,0,0,5,1,7,3,4,8,0,0,-
2017,Logan Couture,S.J,C,73,80.01666667,0,1,1,0,1,4,0,6,4,3,2,0,0,0,0,0,0,0,2,1,6,2,1,10,17,35,32.69
2017,P.K. Subban,NSH,D,66,136.9833333,0,1,1,0,1,2,0,3,3,1,0,0,0,7,2,1,1,0,4,7,8,4,2,18,0,0,-
2017,David Perron,STL,L,82,93.68333333,1,0,0,0,1,4,25,9,7,6,3,1,2,6,3,3,0,0,3,5,4,5,4,2,1,7,12.5
2017,Ryan McDonagh,NYR,D,77,180.3166667,1,0,0,0,1,5,20,8,7,6,1,0,0,0,0,0,0,0,4,6,7,7,2,21,0,0,-
2017,Alec Martinez,L.A,D,82,181.85,1,0,0,0,1,1,100,4,2,2,1,0,0,0,0,0,0,0,0,4,0,15,5,36,0,1,0
2017,Carl Hagelin,PIT,L,61,138.45,0,1,0,1,1,14,0,20,16,10,2,0,0,2,1,1,0,0,3,5,6,4,4,8,1,0,100
2017,Nick Holden,NYR,D,80,134.9666667,0,1,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,4,3,10,2,9,0,0,-
2017,Drew Doughty,L.A,D,82,210.2166667,0,1,0,1,1,4,0,7,5,2,0,0,0,2,1,1,0,0,3,11,5,15,4,17,0,0,-
2017,Mikkel Boedker,S.J,L,81,68.33333333,1,0,0,0,1,6,16.67,7,6,5,2,1,0,0,0,0,0,0,0,0,4,3,0,5,0,1,0
2017,Tyler Myers,WPG,D,11,32.45,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,2,4,0,4,2,9,0,0,-
2017,Michael Del Zotto,PHI,D,51,65.26666667,0,1,1,0,1,0,0,0,0,0,0,0,0,6,2,2,0,0,1,3,0,17,1,7,0,0,-
2017,John Carlson,WSH,D,72,213.7666667,0,1,0,1,1,4,0,5,5,0,0,0,0,0,0,0,0,0,6,10,7,6,2,29,0,0,-
2017,Roman Josi,NSH,D,72,164.4666667,0,1,1,0,1,5,0,9,7,1,0,1,0,2,1,1,0,0,2,3,0,1,2,20,0,0,-
2017,Derek Stepan,NYR,C,81,110.4833333,1,0,0,0,1,15,6.67,19,16,8,3,2,0,0,0,0,0,0,1,0,6,0,2,5,60,99,37.74
2017,Jared Spurgeon,MIN,D,76,165.5833333,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,4,4,7,5,22,0,0,-
2017,Jordie Benn,"DAL, MTL",D,71,169,0,1,1,0,1,2,0,2,2,0,0,0,0,10,5,5,0,0,3,4,3,10,1,39,0,0,-
2017,Kyle Palmieri,N.J,"C, R",80,77.2,1,0,0,0,1,2,50,3,3,2,0,0,0,0,0,0,0,0,9,1,4,5,1,2,1,2,33.33
2017,Alex Chiasson,CGY,R,81,76.28333333,1,0,0,0,1,2,50,4,3,2,1,0,0,12,2,1,0,1,4,1,3,3,1,1,0,0,-
2017,Jakob Silfverberg,ANA,R,79,128.7166667,1,0,0,0,1,10,10,21,15,12,5,2,1,0,0,0,0,0,2,2,11,0,5,5,0,1,0
2017,Matt Duchene,COL,C,77,71.93333333,1,0,0,0,1,3,33.33,4,4,3,2,1,1,0,0,0,0,0,0,0,7,0,1,4,85,54,61.15
2017,Reilly Smith,FLA,R,80,136.8333333,1,0,0,0,1,6,16.67,9,6,5,1,1,0,2,1,1,0,0,0,4,9,4,2,6,0,2,0
2017,Mattias Ekholm,NSH,D,82,185.1833333,0,1,0,1,1,3,0,4,4,0,0,0,0,4,2,2,0,0,5,12,2,7,4,18,0,0,-
2017,Marcus Foligno,BUF,L,80,93.6,1,0,0,0,1,5,20,8,6,2,2,3,1,4,2,2,0,0,8,0,7,5,2,5,0,1,0
2017,Nick Jensen,DET,D,49,75.13333333,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,9,2,10,0,0,-
2017,Brandon Manning,PHI,D,65,106.0166667,1,0,0,0,1,4,25,5,5,2,0,0,0,0,0,0,0,0,6,4,1,8,3,7,0,1,0
2017,Martin Marincin,TOR,D,25,69.36666667,0,1,1,0,1,1,0,2,2,1,0,1,0,0,0,0,0,0,2,2,1,0,0,8,0,0,-
2017,Tyler Toffoli,L.A,C,63,66.35,0,1,1,0,1,2,0,8,5,6,3,1,0,0,0,0,0,0,0,2,3,2,1,1,0,0,-
2017,Ryan Spooner,BOS,C,78,17.48333333,0,1,1,0,1,4,0,5,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,100
2017,Brock Nelson,NYI,C,81,48.08333333,0,1,1,0,1,2,0,2,2,2,0,0,0,0,0,0,0,0,1,1,3,4,0,1,25,30,45.45
2017,Derek Forbort,L.A,D,82,178.7,0,1,0,1,1,2,0,3,2,0,0,0,0,19,4,2,1,1,7,9,1,23,6,31,0,0,-
2017,Austin Watson,NSH,L,77,132.2833333,0,1,1,0,1,4,0,4,4,4,2,0,1,2,1,1,0,0,5,2,2,5,5,11,3,5,37.5
