Year,Player,Team,Position,GP,PKTOI,PKGoals,PKTotal_Assists,PKFirst_Assists,PKSecond_Assists,PKTotal_Points,PKShots,PKSHPer,PKiCF,PKiFF,PKiSCF,PKiHDCF,PKRush_Attempts,PKRebounds_Created,PKPIM,PKTotal_Penalties,PKMinor,PKMajor,PKMisconduct,PKPenalties_Drawn,PKGiveaways,PKTakeaways,PKHits,PKHits_Taken,PKShots_Blocked,PKFaceoffs_Won,PKFaceoffs_Lost,PKFaceoffs_Per
2017,Kevin Hayes,NYR,"C, R",76,108.1,1,6,6,0,7,11,9.09,14,12,6,1,0,1,2,1,1,0,0,2,0,7,1,3,2,52,58,47.27
2017,Viktor Arvidsson,NSH,L,80,84.33333333,5,2,2,0,7,12,41.67,18,17,10,6,5,0,0,0,0,0,0,3,2,4,2,1,8,0,0,-
2017,Derek MacKenzie,FLA,C,82,184.8333333,2,3,3,0,5,13,15.38,14,14,10,2,2,0,2,1,1,0,0,3,4,7,7,3,13,81,113,41.75
2017,Brad Marchand,BOS,"C, L",80,151.3833333,3,2,1,1,5,13,23.08,17,16,14,8,3,0,16,4,3,0,1,8,5,13,4,13,7,0,1,0
2017,Elias Lindholm,CAR,C,72,90.16666667,1,4,3,1,5,3,33.33,6,4,5,1,1,0,2,1,1,0,0,2,3,13,3,1,8,30,24,55.56
2017,Dominic Moore,BOS,C,82,159.9333333,3,1,0,1,4,12,25,15,14,9,5,2,1,0,0,0,0,0,8,2,4,4,3,8,50,59,45.87
2017,Andrew Cogliano,ANA,"C, L",82,145.5833333,3,1,1,0,4,19,15.79,25,23,15,8,4,2,2,1,1,0,0,1,2,5,2,0,5,3,3,50
2017,Colton Sceviour,FLA,C,80,160.7833333,3,1,1,0,4,26,11.54,29,27,16,10,4,1,4,2,2,0,0,5,4,7,0,7,16,3,7,30
2017,Zack Smith,OTT,C,74,145.45,4,0,0,0,4,13,30.77,26,21,12,5,2,0,6,3,3,0,0,7,5,8,5,5,7,52,54,49.06
2017,Matt Calvert,CBJ,L,65,110.2333333,3,1,1,0,4,13,23.08,16,15,12,8,2,0,2,1,1,0,0,3,0,8,2,2,12,1,1,50
2017,Zach Hyman,TOR,C,82,227.7833333,4,0,0,0,4,18,22.22,25,23,20,8,1,2,6,3,3,0,0,2,5,13,8,19,18,7,13,35
2017,Mikael Granlund,MIN,C,81,122.8333333,3,1,1,0,4,6,50,9,7,5,2,1,0,0,0,0,0,0,1,1,7,1,5,14,0,1,0
2017,J.T. Miller,NYR,"C, L",82,102.7333333,3,1,0,1,4,10,30,16,12,10,10,1,0,2,1,1,0,0,0,1,7,3,2,11,7,16,30.43
2017,Joel Armia,WPG,R,57,104.95,4,0,0,0,4,9,44.44,13,10,8,5,2,1,2,1,1,0,0,1,1,12,7,5,10,2,2,50
2017,Jaccob Slavin,CAR,D,82,255.55,1,3,1,2,4,5,20,7,6,1,1,0,0,0,0,0,0,0,0,11,7,4,6,40,0,0,-
2017,Ron Hainsey,"CAR, PIT",D,72,217.75,1,2,1,1,3,5,20,7,5,3,1,1,0,2,1,1,0,0,3,3,4,7,1,24,0,0,-
2017,Ryan Getzlaf,ANA,C,74,124.35,2,1,1,0,3,5,40,11,9,7,1,1,0,2,1,1,0,0,2,1,11,8,4,10,23,30,43.4
2017,Patrice Bergeron,BOS,C,79,169.6333333,0,3,2,1,3,5,0,10,8,5,1,0,0,2,1,1,0,0,0,1,14,1,1,11,107,120,47.14
