Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2019,Connor McDavid,EDM,C,78,267.3,9,24,20,4,33,78.57,61,14.75,102,78,67,22,0,7,4,2,2,0,0,1,16,6,3,13,0,16,21,43.24
2019,Patrick Kane,CHI,R,81,300.7166667,9,21,14,7,30,71.43,88,10.23,153,112,74,13,1,5,4,2,2,0,0,1,8,0,1,12,1,0,0,-
2019,Patrice Bergeron,BOS,C,65,211.9833333,9,18,7,11,27,61.36,51,17.65,100,80,74,29,0,3,6,3,3,0,0,3,2,6,4,1,0,163,98,62.45
2019,Tyler Seguin,DAL,C,82,245.4666667,9,18,10,8,27,75,85,10.59,136,104,68,12,1,7,2,1,1,0,0,0,8,2,2,5,2,49,40,55.06
2019,Evgeni Malkin,PIT,C,68,233.05,9,17,8,9,26,65,60,15,96,70,50,10,1,10,14,3,2,0,1,2,13,3,3,9,1,7,15,31.82
2019,Elias Lindholm,CGY,C,81,259.8333333,9,17,12,5,26,68.42,54,16.67,94,68,42,19,1,9,2,1,1,0,0,1,9,3,4,5,2,80,65,55.17
2019,Jonathan Toews,CHI,C,82,268.2666667,9,14,7,7,23,57.5,49,18.37,70,64,51,28,0,5,8,4,4,0,0,1,3,2,2,11,0,166,121,57.84
2019,Alex Galchenyuk,ARI,C,72,229.6666667,9,12,7,5,21,77.78,60,15,96,78,40,14,0,7,8,4,4,0,0,0,11,1,1,10,0,36,55,39.56
2019,Justin Williams,CAR,R,82,221.2166667,9,5,3,2,14,48.28,47,19.15,73,60,43,25,0,7,10,5,5,0,0,3,15,8,1,27,1,33,48,40.74
2019,Dustin Brown,L.A,R,72,184.75,9,3,1,2,12,48,29,31.03,37,30,24,18,0,5,0,0,0,0,0,0,3,1,10,6,0,0,0,-
2019,Ryan Nugent-Hopkins,EDM,C,82,265.8166667,8,18,4,14,26,63.41,45,17.78,87,61,63,20,2,8,4,2,2,0,0,2,13,8,5,9,0,5,7,41.67
2019,Jack Eichel,BUF,C,77,272.0833333,8,18,8,10,26,72.22,68,11.76,124,97,40,5,1,9,8,3,3,0,0,1,10,2,3,12,0,103,80,56.28
2019,Teuvo Teravainen,CAR,L,82,224.2666667,8,16,10,6,24,85.71,41,19.51,89,59,36,7,2,8,4,2,2,0,0,1,13,2,2,5,1,1,1,50
2019,Evgeny Kuznetsov,WSH,C,76,278.4166667,8,15,4,11,23,56.1,63,12.7,101,93,50,32,0,2,8,4,4,0,0,0,13,2,2,2,0,17,27,38.64
2019,Evgenii Dadonov,FLA,R,82,275.15,8,9,6,3,17,34.69,43,18.6,88,69,71,33,0,3,2,1,1,0,0,0,13,1,2,9,2,0,0,-
2019,Sean Couturier,PHI,C,80,248.7666667,8,9,5,4,17,54.84,41,19.51,83,68,64,33,0,8,6,3,3,0,0,0,4,2,1,8,1,88,33,72.73
2019,Jeff Skinner,BUF,"C, L",82,251.1833333,8,8,4,4,16,53.33,59,13.56,89,76,73,30,0,5,10,5,5,0,0,3,4,1,1,11,1,57,31,64.77
2019,Alex Chiasson,EDM,R,73,191.2666667,8,7,5,2,15,48.39,34,23.53,48,46,45,34,1,6,6,3,3,0,0,1,0,1,4,6,1,0,0,-
2019,Cam Atkinson,CBJ,R,80,214.3333333,8,6,1,5,14,73.68,67,11.94,102,84,62,22,0,5,8,4,4,0,0,0,4,1,2,2,0,1,2,33.33
2019,James van Riemsdyk,PHI,L,66,182.9666667,8,5,3,2,13,59.09,42,19.05,53,50,44,37,0,11,4,2,2,0,0,0,2,0,4,4,1,0,1,0
2019,Adam Henrique,ANA,C,82,189.3666667,8,5,2,3,13,56.52,29,27.59,53,44,38,24,0,2,4,2,2,0,0,2,4,4,5,3,1,80,76,51.28
2019,Jamie Benn,DAL,L,78,205.8166667,8,3,2,1,11,39.29,42,19.05,72,63,58,39,0,7,13,5,4,1,0,1,10,4,8,8,2,46,49,48.42
2019,Jake DeBrusk,BOS,L,68,180.6166667,8,3,0,3,11,35.48,28,28.57,41,38,34,28,0,3,4,2,2,0,0,3,4,2,2,10,1,0,2,0
2019,Keith Yandle,FLA,D,82,291.8166667,7,32,23,9,39,75,55,12.73,125,82,26,1,1,7,6,3,3,0,0,1,11,5,2,2,7,0,0,-
2019,Brent Burns,S.J,D,82,270.6166667,7,21,11,10,28,71.79,61,11.48,142,92,35,3,1,9,2,1,1,0,0,0,8,5,2,2,5,0,0,-
2019,Nicklas Backstrom,WSH,C,80,297.1666667,7,18,9,9,25,56.82,34,20.59,49,46,34,16,0,6,2,1,1,0,0,2,13,5,1,8,0,78,80,49.37
2019,Drew Doughty,L.A,D,82,240.35,7,17,8,9,24,85.71,38,18.42,84,54,17,1,0,9,4,2,2,0,0,2,13,1,6,1,5,0,0,-
2019,Alexander Radulov,DAL,R,70,217.4,7,16,6,10,23,67.65,44,15.91,79,60,39,16,1,6,4,2,2,0,0,0,16,1,2,9,4,0,0,-
2019,Bo Horvat,VAN,C,82,283.9666667,7,11,3,8,18,54.55,51,13.73,71,62,66,45,1,6,0,0,0,0,0,1,7,1,8,5,1,146,133,52.33
2019,Bobby Ryan,OTT,R,78,184.4833333,7,9,6,3,16,66.67,38,18.42,62,46,33,16,0,4,11,4,3,1,0,1,10,3,7,5,0,1,1,50
2019,Eric Staal,MIN,C,81,227.35,7,8,4,4,15,48.39,45,15.56,73,56,48,23,0,7,6,3,3,0,0,1,9,1,1,10,1,104,90,53.61
2019,Dylan Larkin,DET,C,76,185.4333333,7,8,3,5,15,62.5,34,20.59,62,48,35,17,0,3,23,6,4,1,1,1,13,1,2,5,0,112,67,62.57
2019,David Perron,STL,L,57,133.5333333,7,7,3,4,14,73.68,19,36.84,43,27,27,8,1,1,2,1,1,0,0,0,5,1,2,2,0,3,7,30
2019,Jason Zucker,MIN,L,81,181.5333333,7,7,4,3,14,63.64,29,24.14,58,43,27,10,0,3,10,5,5,0,0,1,4,0,4,3,0,1,3,25
2019,William Karlsson,VGK,C,82,198.5833333,7,7,4,3,14,70,29,24.14,51,37,31,14,1,2,2,1,1,0,0,1,3,3,2,7,2,60,69,46.51
2019,Anthony Mantha,DET,R,67,157.9333333,7,6,4,2,13,65,44,15.91,68,55,32,12,1,4,4,2,2,0,0,0,10,4,2,4,0,3,4,42.86
2019,Jordan Eberle,NYI,"C, R",78,222.45,7,5,4,1,12,52.17,39,17.95,51,48,41,25,2,2,7,2,1,1,0,2,10,2,1,13,0,0,0,-
2019,Chris Kreider,NYR,L,79,205.95,7,5,4,1,12,41.38,40,17.5,59,58,51,43,0,7,8,4,4,0,0,0,9,2,6,10,0,1,6,14.29
2019,Pavel Buchnevich,NYR,R,64,125.05,7,5,1,4,12,66.67,22,31.82,41,27,20,7,0,6,2,1,1,0,0,0,6,2,1,5,0,0,0,-
