Year,Player,Team,Position,GP,TOI,TOI_GP,CF_60,CA_60,CFPer,FF_60,FA_60,FFPer,SF_60,SA_60,SFPer,GF_60,GA_60,GFPer,SCF_60,SCA_60,SCFPer,HDCF_60,HDCA_60,HDCFPer,HDGF_60,HDGA_60,HDGFPer,MDCF_60,MDCA_60,MDCFPer,MDGF_60,MDGA_60,MDGFPer,LDCF_60,LDCA_60,LDCFPer,LDGF_60,LDGA_60,LDGFPer,On-Ice SHPer,On-Ice SVPer,PDO,Off. Zone Faceoffs_60,Neu. Zone Faceoffs_60,Def. Zone Faceoffs_60,OnTFStarts_60,OffZoneStartPer,OffZoneFaceoffs_60,NeuZoneFaceoffs_60,DefZoneFaceoffs_60,Off. Zone Faceoff Per
2015,Rasmus Ristolainen,BUF,D,78,1607.866667,20.61367521,42.65,67.02,38.89,33.14,49.97,39.87,25.41,36.12,41.3,1.72,3.06,35.94,19.78,30.79,39.11,9.52,13.14,42.01,1.23,1.68,42.31,13.68,23.53,36.76,0.25,1.09,18.52,28.41,45.44,38.47,0.38,0.7,35,6.75,91.53,0.983,8.43,10.56,10.86,43.81,43.71,16.94,16.16,20.9,44.77
2015,Chris Brown,WSH,R,5,32.3,6.46,33.44,66.87,33.33,24.15,46.44,34.21,18.58,35.29,34.48,1.86,0,100,13,29.72,30.43,1.86,7.43,20,0,0,-,14.86,29.72,33.33,2.48,0,100,29.51,45.61,39.29,0,0,-,10,100,1.1,20.43,20.43,5.57,42.72,78.57,31.58,27.86,11.15,73.91
2015,Luke Glendening,DET,C,82,1207.083333,14.72052846,34.5,66.86,34.04,26.34,49.71,34.64,20.23,36.09,35.92,1.59,2.98,34.78,15.06,28.38,34.67,6.51,10.99,37.22,0.8,1.29,38.1,11.4,23.2,32.95,0.4,1.26,24,23.26,49.33,32.05,0.5,1.01,33.33,7.86,91.74,0.996,7.41,15.16,21.08,42.1,26,11.23,19.73,32.96,25.42
2015,Matt Cooke,MIN,L,29,365.4,12.6,38.92,66.67,36.86,29.23,46.63,38.53,20.85,30.38,40.71,1.97,3.45,36.36,15.93,32.35,32.99,6.24,10.18,38,1.31,1.64,44.44,12.92,29.56,30.41,0.44,1.31,25,27.28,40.56,40.21,0.47,1.19,28.57,9.45,88.65,0.981,8.21,12.64,16.91,50.08,32.68,13.96,20.69,29.56,32.08
2015,Philip Samuelsson,ARI,D,4,67.53333333,16.88333333,38.2,66.63,36.44,26.65,48.86,35.29,21.32,36.43,36.92,0,3.55,0,15.99,32.87,32.73,9.77,10.66,47.83,0,1.78,0,8.29,29.62,21.88,0,1.18,0,26.95,42.35,38.89,0,1.28,0,0,90.24,0.902,8,6.22,16.88,48.86,32.14,13.33,9.77,23.99,35.71
2015,Brooks Orpik,WSH,D,78,1699.816667,21.79252137,50.41,66.47,43.13,36.89,47.79,43.56,25.91,32.93,44.03,2.44,3.35,42.07,23.26,31.7,42.32,9.39,12.6,42.7,1.2,1.76,40.48,18.5,25.46,42.08,1.08,1.13,48.94,32.43,44.1,42.37,0.46,1.02,31.03,9.4,89.82,0.992,7.13,13.52,12.39,38.02,36.53,16.13,21.43,25.2,39.03
2015,TJ Galiardi,WPG,L,38,397.5,10.46052632,40.91,66.42,38.12,30.64,49.96,38.01,20.23,37.13,35.26,0.91,3.77,19.35,18.72,34.87,34.93,7.55,12.98,36.76,0.3,2.42,11.11,14.89,29.18,33.79,0.4,1.01,28.57,24.2,39.03,38.28,0.44,0.87,33.33,4.48,89.84,0.943,8.75,9.66,15.55,45.13,36.02,12.98,17.06,28.08,31.62
2015,Eric Brewer,"ANA, T.B, TOR",D,44,822.1333333,18.68484848,44.81,66.41,40.29,33.21,50.87,39.5,24.96,37.07,40.24,2.77,4.31,39.18,21.68,30.65,41.42,8.61,12.26,41.26,1.46,2.48,37.04,17.42,24.52,41.53,1.27,1.27,50,29.52,47.02,38.57,0.53,1.27,29.41,11.11,88.39,0.995,5.77,14.09,12.19,44.15,32.11,14.6,22.7,23.5,38.31
2015,Connor Murphy,ARI,D,73,1226.45,16.80068493,46.87,66.34,41.4,33.71,49.26,40.63,23.58,34.93,40.3,1.37,3.52,28,20.74,30.04,40.85,7.97,12.18,39.56,0.49,2.05,19.23,17.02,23.81,41.69,0.91,0.98,48.28,30.95,45.79,40.33,0.28,0.99,22.22,5.81,89.92,0.957,8.27,10.91,9.93,52.79,45.43,16.78,17.51,19.13,46.73
2015,Markus Granlund,CGY,C,48,641.7333333,13.36944444,46.37,66.1,41.23,34.03,43.48,43.91,25.34,28.98,46.64,2.52,3.09,45,22.16,28.98,43.33,10,11.87,45.73,1.5,1.87,44.44,16.21,22.81,41.53,0.5,1,33.33,30.66,44.03,41.05,0.95,0.68,58.33,9.96,89.35,0.993,12.15,14.12,8.7,55.82,58.3,18.89,19.45,17.39,52.06
2015,Brandon Gormley,ARI,D,27,413.7,15.32222222,53.23,65.99,44.65,39.3,48.59,44.72,29.15,32.92,46.96,1.74,3.63,32.43,24.51,30.31,44.71,7.54,10.59,41.6,0.58,1.6,26.67,22.63,26.3,46.25,0.77,1.35,36.36,32.89,46.09,41.64,0.84,1.47,36.36,5.97,88.99,0.95,8.85,13.05,8.99,53.52,49.59,17.55,20.88,18.13,49.19
2015,Jason Akeson,PHI,R,13,104.65,8.05,43,65.93,39.47,32.11,47.59,40.29,23.51,37.27,38.68,0.57,1.15,33.33,10.32,25.8,28.57,3.44,12.04,22.22,0.57,1.15,33.33,9.17,18.35,33.33,0,0,-,37.27,46.38,44.55,0,0,-,2.44,96.92,0.994,7.45,14.91,6.31,55.61,54.17,13.19,17.2,13.19,50
2015,Jay McClement,CAR,C,82,1113.383333,13.57784553,39.02,65.91,37.19,29.42,48.18,37.92,20.26,32.6,38.33,2.1,3.29,39,17.19,31.36,35.41,7.54,13.85,35.26,0.97,2.1,31.58,12.86,23.35,35.52,1.01,0.57,63.64,25.77,42.97,37.49,0.54,1.09,33.33,10.37,89.92,1.003,8.95,12.13,17.41,48.61,33.95,12.72,17.57,27.81,31.38
2015,Michael Chaput,CBJ,C,33,336.5666667,10.1989899,34.05,65.6,34.17,27.1,48.31,35.93,19.61,36.55,34.92,0.89,3.39,20.83,13.19,28.88,31.36,5.35,12.84,29.41,0.53,1.96,21.43,10.46,21.39,32.84,0.48,1.43,25,26.52,45.58,36.79,0,0.52,0,4.55,90.73,0.953,8.91,13.91,13.91,47.6,39.06,14.26,19.79,24.24,37.04
2015,Kyle Brodziak,MIN,C,73,952.2333333,13.04429224,39.32,65.53,37.5,29.74,45.87,39.33,21.11,32.26,39.55,2.02,3.28,38.1,16.7,27.47,37.8,6.49,8.82,42.39,1.2,1.51,44.19,13.61,24.87,35.37,0.5,1.34,27.27,26.94,46.33,36.77,0.46,1.09,29.41,9.55,89.84,0.994,7.25,11.22,17.45,45.75,29.34,11.85,16.95,30.69,27.85
2015,Leo Komarov,TOR,C,62,911.3833333,14.69973118,44.83,65.5,40.63,35.02,50.76,40.83,25.35,35.02,41.98,2.24,3.56,38.64,19.36,28.31,40.61,8.23,12.11,40.45,1.19,1.78,40,14.83,21.59,40.72,0.61,1.23,33.33,31,47.93,39.28,0.76,1.14,40,8.83,89.85,0.987,10.01,15.87,19.75,35.09,33.63,15.54,21.4,33.05,31.98
2015,Rich Clune,NSH,L,1,5.5,5.5,10.91,65.45,14.29,10.91,54.55,16.67,10.91,32.73,25,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,15.76,78.79,16.67,0,0,-,0,100,1,0,0,0,54.55,-,0,10.91,43.64,0
