Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2013,Aaron Ness,NYI,D,28,5/18/90,Roseau,MN,USA,USA,70,184,2008,NYI,2,10,40
2013,Aaron Palushaj,CAR,R,29,9/7/89,Livonia,MI,USA,USA,72,187,2007,STL,2,14,44
2013,Aaron Rome,DAL,D,35,9/27/83,Nesbitt,MB,CAN,CAN,73,220,2002,L.A,4,8,104
2013,Aaron Volpatti,WSH,L,33,5/30/85,Revelstoke,BC,CAN,CAN,72,215,-,-,-,-,-
2013,Adam Almquist,DET,D,27,2/27/91,Jönköping,,SWE,SWE,71,174,2009,DET,7,29,210
2013,Adam Burish,S.J,R,36,1/6/83,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2013,Adam Cracknell,STL,R,33,7/15/85,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2013,Adam Hall,PHI,R,38,8/14/80,Kalamazoo,MI,USA,USA,74,212,1999,NSH,2,24,52
2013,Adam Henrique,N.J,C,28,2/6/90,Brantford,ON,CAN,CAN,72,197,2008,N.J,3,21,82
2013,Adam Larsson,N.J,D,26,11/12/92,Skellefteå,,SWE,SWE,75,208,2011,N.J,1,4,4
2013,Adam McQuaid,BOS,D,32,10/12/86,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2013,Adam Pardy,WPG,D,34,3/29/84,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2013,Adam Payerl,PIT,C,27,3/4/91,Kitchener,ON,CAN,CAN,75,218,-,-,-,-,-
2013,Alec Martinez,L.A,D,31,7/26/87,Rochester Hills,MI,USA,USA,73,209,2007,L.A,4,4,95
2013,Aleksander Barkov,FLA,C,23,9/2/95,Tampere,,FIN,FIN,75,213,2013,FLA,1,2,2
2013,Ales Hemsky,"EDM, OTT",R,35,8/13/83,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
2013,Alex Chiasson,DAL,R,28,10/1/90,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2013,Alex Galchenyuk,MTL,C,24,2/12/94,Milwaukee,WI,USA,USA,73,207,2012,MTL,1,3,3
2013,Alex Goligoski,DAL,D,33,7/30/85,Grand Rapids,MN,USA,USA,71,185,2004,PIT,2,31,61
2013,Alex Grant,ANA,D,30,1/20/89,Antigonish,NS,CAN,CAN,75,210,2007,PIT,4,27,118
2013,Alex Khokhlachev,BOS,C,25,9/9/93,Moscow,,RUS,RUS,70,181,2011,BOS,2,10,40
2013,Alex Killorn,T.B,L,29,9/14/89,Halifax,NS,CAN,CAN,73,196,2007,T.B,3,16,77
2013,Alex Ovechkin,WSH,L,33,9/17/85,Moscow,,RUS,RUS,75,235,2004,WSH,1,1,1
2013,Alex Petrovic,FLA,D,26,3/3/92,Edmonton,AB,CAN,CAN,76,216,2010,FLA,2,6,36
