Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2015,Aaron Ekblad,FLA,D,22,2/7/96,Windsor,ON,CAN,CAN,76,220,2014,FLA,1,1,1
2015,Aaron Volpatti,WSH,L,33,5/30/85,Revelstoke,BC,CAN,CAN,72,215,-,-,-,-,-
2015,Adam Burish,S.J,R,36,1/6/83,Madison,WI,USA,USA,73,195,2002,CHI,9,22,282
2015,Adam Clendening,"CHI, VAN",D,26,10/26/92,Niagara Falls,NY,USA,USA,72,196,2011,CHI,2,6,36
2015,Adam Cracknell,CBJ,R,33,7/15/85,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2015,Adam Henrique,N.J,C,28,2/6/90,Brantford,ON,CAN,CAN,72,197,2008,N.J,3,21,82
2015,Adam Larsson,N.J,D,26,11/12/92,Skellefteå,,SWE,SWE,75,208,2011,N.J,1,4,4
2015,Adam Lowry,WPG,C,25,3/29/93,St. Louis,MO,USA,USA,77,210,2011,WPG,3,6,67
2015,Adam McQuaid,BOS,D,32,10/12/86,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2015,Adam Pardy,WPG,D,34,3/29/84,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2015,Alec Martinez,L.A,D,31,7/26/87,Rochester Hills,MI,USA,USA,73,209,2007,L.A,4,4,95
2015,Aleksander Barkov,FLA,C,23,9/2/95,Tampere,,FIN,FIN,75,213,2013,FLA,1,2,2
2015,Ales Hemsky,DAL,R,35,8/13/83,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
2015,Alex Biega,VAN,D,30,4/4/88,Montreal,QC,CAN,CAN,70,199,2006,BUF,5,24,147
2015,Alex Chiasson,OTT,R,28,10/1/90,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2015,Alex Galchenyuk,MTL,C,24,2/12/94,Milwaukee,WI,USA,USA,73,207,2012,MTL,1,3,3
2015,Alex Goligoski,DAL,D,33,7/30/85,Grand Rapids,MN,USA,USA,71,185,2004,PIT,2,31,61
2015,Alex Khokhlachev,BOS,C,25,9/9/93,Moscow,,RUS,RUS,70,181,2011,BOS,2,10,40
2015,Alex Killorn,T.B,L,29,9/14/89,Halifax,NS,CAN,CAN,73,196,2007,T.B,3,16,77
2015,Alex Ovechkin,WSH,L,33,9/17/85,Moscow,,RUS,RUS,75,235,2004,WSH,1,1,1
2015,Alex Petrovic,FLA,D,26,3/3/92,Edmonton,AB,CAN,CAN,76,216,2010,FLA,2,6,36
2015,Alex Pietrangelo,STL,D,29,1/18/90,King City,ON,CAN,CAN,75,210,2008,STL,1,4,4
2015,Alex Tanguay,COL,L,39,11/21/79,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2015,Alexander Edler,VAN,D,32,4/21/86,Ostersund,,SWE,SWE,75,212,2004,VAN,3,26,91
2015,Alexander Semin,CAR,R,34,3/3/84,Krasnojarsk,,RUS,RUS,74,211,2002,WSH,1,13,13
2015,Alexander Steen,STL,L,34,3/1/84,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
2015,Alexander Wennberg,CBJ,C,24,9/22/94,Stockholm,,SWE,SWE,74,196,2013,CBJ,1,14,14
2015,Alexandre Bolduc,ARI,C,33,6/26/85,Montreal,QC,CAN,CAN,75,200,2003,STL,4,26,127
2015,Alexandre Burrows,VAN,L,37,4/11/81,Pincourt,QC,CAN,CAN,73,197,-,-,-,-,-
2015,Alexei Emelin,MTL,D,32,4/25/86,Togliatti,,RUS,RUS,74,218,2004,MTL,3,19,84
2015,Alexey Marchenko,DET,D,27,1/2/92,Moscow,,RUS,RUS,75,210,2011,DET,7,24,205
2015,Anders Lee,NYI,L,28,7/3/90,Edina,MN,USA,USA,75,231,2009,NYI,6,1,152
2015,Andre Benoit,BUF,D,35,1/6/84,St. Albert,ON,CAN,CAN,71,190,-,-,-,-,-
2015,Andre Burakovsky,WSH,L,23,2/9/95,Klagenfurt,,AUT,SWE,75,201,2013,WSH,1,23,23
2015,Andrei Markov,MTL,D,40,12/20/78,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
2015,Andrej Meszaros,BUF,D,33,10/13/85,Povaská Bystrica,,SVK,SVK,74,223,2004,OTT,1,23,23
2015,Andrej Nestrasil,"CAR, DET",C,27,2/22/91,Prague,,CZE,CZE,75,200,2009,DET,3,14,75
2015,Andrej Sekera,"CAR, L.A",D,32,6/8/86,Bojnice,,SVK,SVK,72,200,2004,BUF,3,6,71
2015,Andrej Sustr,T.B,D,28,11/29/90,Plzen,,CZE,CZE,79,217,-,-,-,-,-
2015,Andrew Agozzino,COL,L,28,1/3/91,Kleinburg,ON,CAN,CAN,70,187,-,-,-,-,-
2015,Andrew Campbell,ARI,D,31,2/4/88,Caledonia,ON,CAN,CAN,76,205,2008,L.A,3,13,74
2015,Andrew Cogliano,ANA,L,31,6/14/87,Toronto,ON,CAN,CAN,70,177,2005,EDM,1,25,25
2015,Andrew Copp,WPG,C,24,7/8/94,Ann Arbor,MI,USA,USA,73,206,2013,WPG,4,13,104
2015,Andrew Desjardins,"CHI, S.J",L,32,7/27/86,Lively,ON,CAN,CAN,73,195,-,-,-,-,-
2015,Andrew Ebbett,PIT,C,36,1/2/83,Vernon,BC,CAN,CAN,69,174,-,-,-,-,-
2015,Andrew Ference,EDM,D,39,3/17/79,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
2015,Andrew Ladd,WPG,L,33,12/12/85,Maple Ridge,BC,CAN,CAN,75,192,2004,CAR,1,4,4
2015,Andrew MacDonald,PHI,D,32,9/7/86,Judique,NS,CAN,CAN,73,204,2006,NYI,6,7,160
2015,Andrew MacWilliam,TOR,D,28,3/25/90,Calgary,AB,CAN,CAN,74,223,2008,TOR,7,7,188
2015,Andrew Miller,EDM,C,30,9/18/88,Bloomfield Hills,MI,USA,USA,70,181,-,-,-,-,-
2015,Andrew Shaw,CHI,C,27,7/20/91,Belleville,ON,CAN,CAN,71,182,2011,CHI,5,18,139
2015,Andy Andreoff,L.A,L,27,5/17/91,Pickering,ON,CAN,CAN,73,188,2011,L.A,3,19,80
2015,Andy Greene,N.J,D,36,10/30/82,Trenton,MI,USA,USA,71,190,-,-,-,-,-
2015,Anthony Bitetto,NSH,D,28,7/15/90,Island Park,NY,USA,USA,73,210,2010,NSH,6,18,168
2015,Anthony Duclair,NYR,L,23,8/26/95,Pointe-Claire,QC,CAN,CAN,71,191,2013,NYR,3,19,80
2015,Anthony Peluso,WPG,R,29,4/18/89,North York,ON,CAN,CAN,75,225,2007,STL,6,9,160
2015,Antoine Roussel,DAL,L,29,11/21/89,Roubaix,,FRA,FRA,71,199,-,-,-,-,-
2015,Antoine Vermette,"ARI, CHI",C,36,7/20/82,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
2015,Anton Lander,EDM,C,27,4/24/91,Sundsvall,,SWE,SWE,72,184,2009,EDM,2,10,40
2015,Anton Stralman,T.B,D,32,8/1/86,Tibro,,SWE,SWE,71,190,2005,TOR,7,22,216
