Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2016,Matt Taormina,T.B,D,3,0.366666667,0.122222222,0,490.91,0,0,327.27,0,0,163.64,0,0,0,-,0,163.64,0,0,0,-,0,0,-,0,218.18,0,0,0,-,0,472.73,0,0,0,-,-,100,1,0,0,163.64,0,0,0,0,327.27,0
2016,Mike Santorelli,ANA,C,70,0.266666667,0.003809524,0,450,0,0,450,0,0,450,0,0,225,0,0,450,0,0,450,0,0,225,0,0,0,-,0,0,-,0,0,-,0,0,-,-,50,0.5,0,225,0,225,-,0,225,0,-
2016,Sven Andrighetto,MTL,R,44,0.283333333,0.006439394,0,423.53,0,0,211.76,0,0,211.76,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,611.76,0,0,0,-,-,100,1,0,0,0,0,-,0,0,0,-
2016,Taylor Fedun,VAN,D,1,0.15,0.15,0,400,0,0,400,0,0,0,-,0,0,-,0,400,0,0,400,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,400,0,0,0,0,400,0
2016,Brad Richards,DET,C,68,0.65,0.009558824,0,369.23,0,0,276.92,0,0,184.62,0,0,0,-,0,276.92,0,0,92.31,0,0,0,-,0,246.15,0,0,0,-,0,133.33,0,0,0,-,-,100,1,0,0,92.31,184.62,0,0,0,184.62,0
2016,Max McCormick,OTT,R,20,1.333333333,0.066666667,45,315,12.5,45,315,12.5,45,270,14.29,0,45,0,0,180,0,0,90,0,0,45,0,0,120,0,0,0,-,65,195,25,0,0,-,0,83.33,0.833,0,45,0,135,-,0,45,45,0
2016,Ales Hemsky,DAL,R,75,0.583333333,0.007777778,0,308.57,0,0,205.71,0,0,102.86,0,0,102.86,0,0,102.86,0,0,102.86,0,0,102.86,0,0,0,-,0,0,-,0,148.57,0,0,0,-,-,0,0,0,0,0,205.71,-,0,0,0,-
2016,Teemu Pulkkinen,DET,L,36,0.4,0.011111111,0,300,0,0,300,0,0,150,0,0,0,-,0,150,0,0,150,0,0,0,-,0,0,-,0,0,-,0,216.67,0,0,0,-,-,100,1,0,0,0,150,-,0,0,0,-
2016,Markus Hannikainen,CBJ,L,4,0.2,0.05,0,300,0,0,300,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,433.33,0,0,0,-,-,-,-,0,0,0,300,-,0,0,0,-
2016,Ronalds Kenins,VAN,L,8,0.833333333,0.104166667,0,288,0,0,288,0,0,216,0,0,0,-,0,288,0,0,288,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,72,0,0,-,0,72,0,-
2016,William Nylander,TOR,C,22,0.233333333,0.010606061,0,257.14,0,0,257.14,0,0,257.14,0,0,257.14,0,0,257.14,0,0,0,-,0,0,-,0,342.86,0,0,342.86,0,0,0,-,0,0,-,-,0,0,0,0,0,514.29,-,0,0,0,-
2016,Chris Terry,CAR,L,68,0.483333333,0.007107843,248.28,248.28,50,248.28,248.28,50,248.28,0,100,0,0,-,248.28,124.14,66.67,124.14,0,100,0,0,-,165.52,165.52,50,0,0,-,0,179.31,0,0,0,-,0,-,0,0,0,0,124.14,-,0,0,0,-
2016,Jakub Nakladal,CGY,D,27,0.25,0.009259259,0,240,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,346.67,0,0,0,-,-,-,-,0,0,240,240,0,0,0,240,0
2016,Oliver Bjorkstrand,CBJ,R,12,0.516666667,0.043055556,232.26,232.26,50,116.13,116.13,50,116.13,0,100,116.13,0,100,116.13,116.13,50,116.13,0,100,116.13,0,100,0,154.84,0,0,0,-,0,0,-,0,0,-,100,-,1,0,0,0,348.39,-,116.13,0,0,100
2016,Artemi Panarin,CHI,L,80,1.083333333,0.013541667,55.38,221.54,20,55.38,221.54,20,55.38,166.15,25,0,55.38,0,55.38,166.15,25,0,55.38,0,0,0,-,73.85,147.69,33.33,0,0,-,0,0,-,0,0,-,0,66.67,0.667,55.38,0,0,332.31,100,55.38,0,0,100
2016,Patrick Maroon,"ANA, EDM",L,72,0.55,0.007638889,0,218.18,0,0,218.18,0,0,218.18,0,0,0,-,0,218.18,0,0,109.09,0,0,0,-,0,145.45,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,327.27,-,0,0,0,-
2016,Brett Kulak,CGY,D,8,0.833333333,0.104166667,0,216,0,0,216,0,0,144,0,0,72,0,0,216,0,0,72,0,0,72,0,0,192,0,0,0,-,0,0,-,0,0,-,-,50,0.5,0,0,144,72,0,0,0,144,0
2016,Rich Clune,TOR,L,19,1.683333333,0.088596491,0,213.86,0,0,178.22,0,0,142.57,0,0,35.64,0,0,142.57,0,0,35.64,0,0,0,-,0,142.57,0,0,47.52,0,0,102.97,0,0,0,-,-,75,0.75,0,0,0,178.22,-,35.64,0,0,100
2016,Zac Dalpe,MIN,C,2,0.566666667,0.283333333,0,211.76,0,0,211.76,0,0,211.76,0,0,0,-,0,211.76,0,0,105.88,0,0,0,-,0,141.18,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,105.88,-,0,0,0,-
2016,Tyler Ennis,BUF,"C, L",23,0.3,0.013043478,0,200,0,0,200,0,0,0,-,0,0,-,0,200,0,0,0,-,0,0,-,0,266.67,0,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,400,-,0,0,0,-
2016,Chris Butler,STL,D,5,1.55,0.31,0,193.55,0,0,116.13,0,0,116.13,0,0,38.71,0,0,77.42,0,0,77.42,0,0,0,-,0,0,-,0,0,-,0,167.74,0,0,55.91,0,-,66.67,0.67,0,0,0,193.55,-,0,0,38.71,0
2016,David Perron,"ANA, PIT",L,71,0.933333333,0.01314554,64.29,192.86,25,64.29,192.86,25,64.29,192.86,25,0,0,-,64.29,128.57,33.33,0,0,-,0,0,-,85.71,171.43,33.33,0,0,-,0,92.86,0,0,0,-,0,100,1,128.57,0,0,257.14,100,128.57,64.29,64.29,66.67
2016,Nikita Nikitin,EDM,D,11,0.316666667,0.028787879,0,189.47,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,273.68,0,0,0,-,-,-,-,0,0,0,378.95,-,0,0,0,-
2016,Radim Vrbata,VAN,R,63,3.833333333,0.060846561,0,187.83,0,0,156.52,0,0,109.57,0,0,0,-,0,140.87,0,0,46.96,0,0,0,-,0,125.22,0,0,0,-,0,67.83,0,0,0,-,-,100,1,15.65,15.65,31.3,156.52,33.33,15.65,31.3,46.96,25
2016,Andreas Martinsen,COL,L,55,1.283333333,0.023333333,0,187.01,0,0,187.01,0,0,140.26,0,0,46.75,0,0,93.51,0,0,46.75,0,0,0,-,0,62.34,0,0,62.34,0,0,135.06,0,0,0,-,-,66.67,0.67,0,46.75,46.75,140.26,-,0,93.51,0,-
2016,Tomas Jurco,DET,L,44,1.316666667,0.029924242,0,182.28,0,0,45.57,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,263.29,0,0,0,-,-,-,-,0,0,0,136.71,-,0,0,0,-
2016,Joffrey Lupul,TOR,L,46,0.333333333,0.007246377,0,180,0,0,180,0,0,180,0,0,0,-,0,180,0,0,180,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,0,180,540,0,360,0,180,66.67
