Year,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
2016,Aaron Ekblad,FLA,D,22,2/7/96,Windsor,ON,CAN,CAN,76,220,2014,FLA,1,1,1
2016,Aaron Ness,WSH,D,28,5/18/90,Roseau,MN,USA,USA,70,184,2008,NYI,2,10,40
2016,Adam Clendening,"EDM, PIT",D,26,10/26/92,Niagara Falls,NY,USA,USA,72,196,2011,CHI,2,6,36
2016,Adam Cracknell,"EDM, VAN",R,33,7/15/85,Prince Albert,SK,CAN,CAN,74,209,2004,CGY,9,21,279
2016,Adam Henrique,N.J,C,28,2/6/90,Brantford,ON,CAN,CAN,72,197,2008,N.J,3,21,82
2016,Adam Larsson,N.J,D,26,11/12/92,Skellefteå,,SWE,SWE,75,208,2011,N.J,1,4,4
2016,Adam Lowry,WPG,C,25,3/29/93,St. Louis,MO,USA,USA,77,210,2011,WPG,3,6,67
2016,Adam McQuaid,BOS,D,32,10/12/86,Charlottetown,PE,CAN,CAN,76,210,2005,CBJ,2,25,55
2016,Adam Pardy,"EDM, WPG",D,34,3/29/84,Bonavista,NL,CAN,CAN,76,227,2004,CGY,6,10,173
2016,Adam Pelech,NYI,D,24,8/16/94,Toronto,ON,CAN,CAN,75,218,2012,NYI,3,4,65
2016,Alan Quine,NYI,C,25,2/25/93,Belleville,ON,CAN,CAN,72,203,2013,NYI,6,15,166
2016,Alec Martinez,L.A,D,31,7/26/87,Rochester Hills,MI,USA,USA,73,209,2007,L.A,4,4,95
2016,Aleksander Barkov,FLA,C,23,9/2/95,Tampere,,FIN,FIN,75,213,2013,FLA,1,2,2
2016,Ales Hemsky,DAL,R,35,8/13/83,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
2016,Alex Biega,VAN,D,30,4/4/88,Montreal,QC,CAN,CAN,70,199,2006,BUF,5,24,147
2016,Alex Chiasson,OTT,R,28,10/1/90,Montreal,QC,CAN,CAN,76,208,2009,DAL,2,8,38
2016,Alex Friesen,VAN,C,28,1/30/91,St. Catharines,ON,CAN,CAN,69,186,2010,VAN,6,22,172
2016,Alex Galchenyuk,MTL,C,24,2/12/94,Milwaukee,WI,USA,USA,73,207,2012,MTL,1,3,3
2016,Alex Goligoski,DAL,D,33,7/30/85,Grand Rapids,MN,USA,USA,71,185,2004,PIT,2,31,61
2016,Alex Grant,ARI,D,30,1/20/89,Antigonish,NS,CAN,CAN,75,210,2007,PIT,4,27,118
2016,Alex Khokhlachev,BOS,C,25,9/9/93,Moscow,,RUS,RUS,70,181,2011,BOS,2,10,40
2016,Alex Killorn,T.B,L,29,9/14/89,Halifax,NS,CAN,CAN,73,196,2007,T.B,3,16,77
2016,Alex Ovechkin,WSH,L,33,9/17/85,Moscow,,RUS,RUS,75,235,2004,WSH,1,1,1
2016,Alex Petrovic,FLA,D,26,3/3/92,Edmonton,AB,CAN,CAN,76,216,2010,FLA,2,6,36
2016,Alex Pietrangelo,STL,D,29,1/18/90,King City,ON,CAN,CAN,75,210,2008,STL,1,4,4
2016,Alex Tanguay,"ARI, COL",L,39,11/21/79,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
2016,Alexander Burmistrov,WPG,C,27,10/21/91,Kazan,,RUS,RUS,73,180,2010,ATL,1,8,8
2016,Alexander Edler,VAN,D,32,4/21/86,Ostersund,,SWE,SWE,75,212,2004,VAN,3,26,91
2016,Alexander Semin,MTL,R,34,3/3/84,Krasnojarsk,,RUS,RUS,74,211,2002,WSH,1,13,13
