Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2014,Pierre-Marc Bouchard,NYI,C,28,0.066666667,0.002380952,0,900,0,0,900,0,0,900,0,0,0,-,0,900,0,0,0,-,0,0,-,0,1200,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,0,-,0,900,0,-
2014,Steve Downie,"COL, PHI",R,62,0.066666667,0.001075269,0,900,0,0,0,-,0,0,-,0,0,-,0,900,0,0,0,-,0,0,-,0,1200,0,0,0,-,0,0,-,0,0,-,-,-,-,0,0,900,0,0,0,0,900,0
2014,Colin Wilson,NSH,"C, L",81,0.483333333,0.005967078,0,372.41,0,0,372.41,0,0,248.28,0,0,0,-,0,372.41,0,0,124.14,0,0,0,-,0,331.03,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,248.28,496.55,0,0,0,248.28,0
2014,Ben Hanowski,CGY,R,11,0.166666667,0.015151515,0,360,0,0,360,0,0,0,-,0,0,-,0,360,0,0,0,-,0,0,-,0,480,0,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,360,-,0,0,0,-
2014,David Clarkson,TOR,R,60,0.35,0.005833333,0,342.86,0,0,342.86,0,0,342.86,0,0,171.43,0,0,342.86,0,0,0,-,0,0,-,0,457.14,0,0,228.57,0,0,0,-,0,0,-,-,50,0.5,171.43,0,171.43,171.43,50,171.43,0,171.43,50
2014,Brian McGrattan,CGY,R,76,0.9,0.011842105,0,333.33,0,0,200,0,0,133.33,0,0,0,-,0,200,0,0,0,-,0,0,-,0,266.67,0,0,0,-,0,192.59,0,0,0,-,-,100,1,0,0,66.67,133.33,0,0,0,66.67,0
2014,Ville Leino,BUF,L,58,0.633333333,0.01091954,0,284.21,0,0,284.21,0,0,189.47,0,0,94.74,0,0,94.74,0,0,0,-,0,0,-,0,126.32,0,0,126.32,0,0,136.84,0,0,0,-,-,50,0.5,0,94.74,0,189.47,-,0,94.74,94.74,0
2014,Peter Holland,"ANA, TOR",C,43,0.45,0.010465116,0,266.67,0,0,266.67,0,0,133.33,0,0,0,-,0,266.67,0,0,133.33,0,0,0,-,0,177.78,0,0,0,-,0,0,-,0,0,-,-,100,1,0,266.67,133.33,0,0,0,266.67,133.33,0
2014,Adam Almquist,DET,D,2,0.45,0.225,0,266.67,0,0,133.33,0,0,133.33,0,0,0,-,0,133.33,0,0,133.33,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,100,1,0,0,266.67,0,0,0,0,266.67,0
2014,Alex Galchenyuk,MTL,C,65,1.266666667,0.019487179,0,236.84,0,0,142.11,0,0,94.74,0,0,0,-,0,189.47,0,0,47.37,0,0,0,-,0,189.47,0,0,0,-,0,68.42,0,0,0,-,-,100,1,0,47.37,47.37,47.37,0,0,47.37,47.37,0
2014,Joffrey Lupul,TOR,L,69,1.816666667,0.026328502,0,231.19,0,0,198.17,0,0,132.11,0,0,0,-,0,132.11,0,0,0,-,0,0,-,0,176.15,0,0,0,-,0,143.12,0,0,0,-,-,100,1,0,33.03,33.03,132.11,0,0,33.03,33.03,0
2014,Jason Akeson,PHI,R,1,0.533333333,0.533333333,0,225,0,0,0,-,0,0,-,0,0,-,0,112.5,0,0,0,-,0,0,-,0,150,0,0,0,-,0,162.5,0,0,0,-,-,-,-,0,0,0,112.5,-,0,0,0,-
2014,Tim Jackman,"ANA, CGY",R,36,0.816666667,0.022685185,73.47,220.41,25,73.47,220.41,25,73.47,146.94,33.33,0,0,-,73.47,220.41,25,0,220.41,0,0,0,-,97.96,0,100,0,0,-,0,0,-,0,0,-,0,100,1,0,0,0,220.41,-,0,0,0,-
2014,Daniel Carcillo,"L.A, NYR",L,57,0.283333333,0.00497076,0,211.76,0,0,211.76,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,305.88,0,0,0,-,-,-,-,0,0,0,635.29,-,0,0,0,-
2014,Luke Gazdic,EDM,L,67,0.283333333,0.004228856,0,211.76,0,0,211.76,0,0,211.76,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,305.88,0,0,0,-,-,100,1,0,0,0,211.76,-,0,0,0,-
2014,Nicolas Deslauriers,BUF,L,17,0.566666667,0.033333333,0,211.76,0,0,211.76,0,0,211.76,0,0,0,-,0,211.76,0,0,0,-,0,0,-,0,282.35,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,105.88,0,0,0,0,105.88,0
2014,Gabriel Dumont,MTL,C,2,0.566666667,0.283333333,0,211.76,0,0,105.88,0,0,105.88,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,305.88,0,0,0,-,-,100,1,0,0,0,105.88,-,0,0,0,-
2014,Kellan Lain,VAN,L,9,0.283333333,0.031481481,0,211.76,0,0,211.76,0,0,211.76,0,0,211.76,0,0,211.76,0,0,0,-,0,0,-,0,282.35,0,0,282.35,0,0,0,-,0,0,-,-,0,0,0,0,211.76,211.76,0,0,0,211.76,0
2014,Craig Cunningham,BOS,L,2,0.583333333,0.291666667,0,205.71,0,0,205.71,0,0,205.71,0,0,102.86,0,0,102.86,0,0,102.86,0,0,0,-,0,0,-,0,0,-,0,148.57,0,0,148.57,0,-,50,0.5,0,0,102.86,102.86,0,0,0,102.86,0
2014,Aaron Palushaj,CAR,R,2,0.6,0.3,0,200,0,0,200,0,0,200,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,288.89,0,0,0,-,-,100,1,0,0,0,100,-,0,0,0,-
2014,Nail Yakupov,EDM,R,63,0.616666667,0.00978836,0,194.59,0,0,194.59,0,0,97.3,0,0,0,-,0,97.3,0,0,97.3,0,0,0,-,0,0,-,0,0,-,0,140.54,0,0,0,-,-,100,1,0,0,97.3,97.3,0,0,0,97.3,0
