Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2015,Zach Boychuk,CAR,L,31,0.05,0.001612903,0,2400,0,0,1200,0,0,1200,0,0,0,-,0,2400,0,0,1200,0,0,0,-,0,1600,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,1200,-,0,0,0,-
2015,Anthony Peluso,WPG,R,49,0.166666667,0.003401361,0,720,0,0,720,0,0,720,0,0,360,0,0,720,0,0,360,0,0,360,0,0,480,0,0,0,-,0,0,-,0,0,-,-,50,0.5,0,0,0,360,-,0,0,0,-
2015,Stefan Matteau,N.J,C,7,0.133333333,0.019047619,0,450,0,0,450,0,0,450,0,0,0,-,0,450,0,0,0,-,0,0,-,0,600,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,900,-,0,0,0,-
2015,Corey Tropp,CBJ,R,61,0.533333333,0.008743169,0,337.5,0,0,112.5,0,0,112.5,0,0,0,-,0,112.5,0,0,0,-,0,0,-,0,150,0,0,0,-,0,162.5,0,0,0,-,-,100,1,0,0,0,225,-,0,0,0,-
2015,Ryan Reaves,STL,R,81,0.2,0.002469136,0,300,0,0,300,0,0,300,0,0,0,-,0,300,0,0,0,-,0,0,-,0,400,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,600,-,0,0,0,-
2015,Nikita Kucherov,T.B,R,82,1.033333333,0.012601626,0,290.32,0,0,290.32,0,0,290.32,0,0,58.06,0,0,290.32,0,0,58.06,0,0,0,-,0,309.68,0,0,77.42,0,0,0,-,0,0,-,-,80,0.8,58.06,58.06,58.06,58.06,50,58.06,58.06,58.06,50
2015,Chris Terry,CAR,L,57,0.416666667,0.007309942,0,288,0,0,144,0,0,144,0,0,0,-,0,288,0,0,144,0,0,0,-,0,192,0,0,0,-,0,0,-,0,0,-,-,100,1,0,0,0,0,-,0,144,0,-
2015,Matt Frattin,TOR,R,9,0.216666667,0.024074074,0,276.92,0,0,276.92,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,400,0,0,0,-,-,-,-,0,0,0,276.92,-,0,0,0,-
2015,Michael Ryder,N.J,R,47,0.916666667,0.019503546,0,261.82,0,0,130.91,0,0,130.91,0,0,0,-,0,65.45,0,0,65.45,0,0,0,-,0,0,-,0,0,-,0,283.64,0,0,0,-,-,100,1,0,0,0,65.45,-,0,0,0,-
2015,J.T. Miller,NYR,L,58,1.166666667,0.020114943,0,257.14,0,0,102.86,0,0,102.86,0,0,0,-,0,51.43,0,0,0,-,0,0,-,0,68.57,0,0,0,-,0,222.86,0,0,0,-,-,100,1,0,0,0,154.29,-,0,0,0,-
