"Year","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"2016","Jean-Gabriel Pageau","OTT","C","82","172.35","7","2","1","1","9","100.00","17","41.18","20","18","10","5","5","0","0","0","0","0","0","0","5","7","10","3","18","105","122","46.26"
"2016","Jonathan Toews","CHI","C","80","112.2","4","3","3","0","7","100.00","6","66.67","10","9","5","3","1","1","4","2","2","0","0","6","1","11","4","1","8","53","54","49.53"
"2016","Matt Cullen","PIT","C","82","207.95","3","3","3","0","6","75.00","14","21.43","17","15","10","3","2","0","6","3","3","0","0","4","0","4","6","3","10","99","129","43.42"
"2016","Brad Marchand","BOS","L","77","155.61666666667","3","2","2","0","5","100.00","21","14.29","29","25","20","9","5","0","8","4","4","0","0","14","5","8","8","7","12","2","2","50.00"
"2016","Jamie Benn","DAL","L","82","128.75","2","3","3","0","5","100.00","8","25.00","14","13","11","7","2","1","2","1","1","0","0","8","4","8","10","2","9","6","8","42.86"
"2016","Paul Byron","MTL","L","62","115.41666666667","3","2","2","0","5","100.00","10","30.00","14","11","9","7","3","0","0","0","0","0","0","3","0","8","1","4","5","2","2","50.00"
"2016","Zack Smith","OTT","C","81","106.98333333333","4","1","0","1","5","83.33","12","33.33","14","13","5","4","3","1","20","6","5","0","1","5","1","6","8","2","2","43","58","42.57"
"2016","Marian Hossa","CHI","R","64","99.833333333333","3","1","1","0","4","80.00","15","20.00","21","18","17","7","3","0","0","0","0","0","0","4","3","5","0","1","6","0","0","-"
"2016","Vernon Fiddler","DAL","C","82","178.15","2","2","1","1","4","100.00","10","20.00","13","12","6","2","1","1","0","0","0","0","0","5","1","8","0","3","14","120","142","45.80"
"2016","Eric Fehr","PIT","C","55","135.6","4","0","0","0","4","66.67","11","36.36","13","13","10","6","3","0","6","3","3","0","0","3","2","10","6","2","14","5","13","27.78"
"2016","Blake Wheeler","WPG","R","82","107.1","2","2","2","0","4","80.00","11","18.18","14","12","9","6","2","0","4","2","2","0","0","1","3","4","4","3","5","1","2","33.33"
"2016","Michael Frolik","CGY","R","64","109.53333333333","2","2","2","0","4","100.00","10","20.00","14","13","6","5","1","0","2","1","1","0","0","1","0","6","0","2","11","0","1","0.00"
"2016","Artem Anisimov","CHI","C","77","103.66666666667","3","1","1","0","4","100.00","10","30.00","12","11","10","7","2","0","0","0","0","0","0","2","1","5","5","3","12","40","86","31.75"
"2016","Mikael Backlund","CGY","C","82","144.6","3","1","1","0","4","100.00","11","27.27","22","16","12","5","1","1","2","1","1","0","0","1","2","4","3","2","9","54","85","38.85"
"2016","Cody Eakin","DAL","C","82","128.56666666667","3","1","1","0","4","100.00","9","33.33","14","11","11","4","2","1","0","0","0","0","0","1","4","5","2","3","4","45","54","45.45"
