Year,Player,Team,Position,GP,PKTOI,PKTOI_GP,PKCF_60,PKCA_60,PKCFPer,PKFF_60,PKFA_60,PKFFPer,PKSF_60,PKSA_60,PKSFPer,PKGF_60,PKGA_60,PKGFPer,PKSCF_60,PKSCA_60,PKSCFPer,PKHDCF_60,PKHDCA_60,PKHDCFPer,PKHDGF_60,PKHDGA_60,PKHDGFPer,PKMDCF_60,PKMDCA_60,PKMDCFPer,PKMDGF_60,PKMDGA_60,PKMDGFPer,PKLDCF_60,PKLDCA_60,PKLDCFPer,PKLDGF_60,PKLDGA_60,PKLDGFPer,PKOn-Ice SHPer,PKOn-Ice SVPer,PKPDO,PKOff. Zone Faceoffs_60,PKNeu. Zone Faceoffs_60,PKDef. Zone Faceoffs_60,PKOnTFStarts_60,PKOffZoneStartPer,PKOffZoneFaceoffs_60,PKNeuZoneFaceoffs_60,PKDefZoneFaceoffs_60,PKOff. Zone Faceoff Per
2019,Dillon Dube,CGY,C,25,7.283333333,0.2913333333,16.48,107.09,13.33,8.24,82.38,9.09,8.24,65.9,11.11,0,16.48,0,0,41.19,0,0,16.48,0,0,0,-,0,32.95,0,0,10.98,0,23.8,95.19,20,0,11.9,0,0,75,0.75,0,0,41.19,74.14,0,0,0,41.19,0
2019,Dylan Larkin,DET,C,76,99.33333333,1.307017544,20.54,106.91,16.11,16.91,87.58,16.18,15.1,61.61,19.69,1.81,7.25,20,6.64,61.01,9.82,3.62,33.22,9.84,0.6,3.62,14.29,4.03,37.05,9.8,0,2.42,0,7.85,61.07,11.39,0.87,2.62,25,12,88.24,1.002,1.81,3.62,76.71,28.99,2.31,4.23,6.04,101.48,4
2019,Tyler Myers,WPG,D,80,177.4166667,2.217708333,13.19,106.87,10.99,11.16,84.21,11.7,8.12,63.92,11.27,1.69,9.13,15.63,7.78,52.42,12.92,4.06,23.67,14.63,0.68,4.4,13.33,4.96,38.33,11.46,1.35,3.16,30,4.88,75.23,6.1,0,3.42,0,20.83,85.71,1.065,0.34,7.1,27.73,36.52,1.2,1.69,16.57,41.6,3.91
2019,Josh Morrissey,WPG,D,59,165.7833333,2.809887006,12.31,106.77,10.33,11.22,82.16,12.02,9.77,60.8,13.85,1.45,7.96,15.38,6.51,52.48,11.04,3.62,23.16,13.51,1.09,5.43,16.67,3.86,39.09,8.99,0,1.93,0,2.61,67.44,3.73,0,1.57,0,14.81,86.9,1.017,0.36,9.77,40.17,18.46,0.89,2.17,13.75,65.87,3.19
2019,Melker Karlsson,S.J,C,79,116.3666667,1.472995781,13.92,106.73,11.54,11.86,80.44,12.85,9.28,56.72,14.06,0.52,7.22,6.67,5.16,64.45,7.41,2.58,29.91,7.94,0,4.64,0,3.44,46.06,6.94,0.69,2.75,20,3.72,56.6,6.17,0,0.74,0,5.56,87.27,0.928,3.61,7.73,26.3,69.61,12.07,4.12,11.86,35.58,10.39
2019,Libor Sulak,DET,D,6,12.93333333,2.155555556,13.92,106.7,11.54,13.92,78.87,15,13.92,64.95,17.65,4.64,4.64,50,0,55.67,0,0,27.84,0,0,4.64,0,0,37.11,0,0,0,-,13.4,60.31,18.18,6.7,0,100,33.33,92.86,1.262,0,4.64,41.75,55.67,0,0,9.28,41.75,0
2019,Dominic Turgeon,DET,C,4,6.75,1.6875,8.89,106.67,7.69,0,80,0,0,62.22,0,0,26.67,0,0,62.22,0,0,35.56,0,0,17.78,0,0,35.56,0,0,11.85,0,0,64.2,0,0,0,-,-,57.14,0.57,0,0,35.56,97.78,0,0,0,35.56,0
2019,Jean-Gabriel Pageau,OTT,C,39,78.21666667,2.005555556,22.25,106.63,17.26,17.64,79.78,18.11,14.57,58.3,20,0,4.6,0,9.97,57.53,14.77,3.84,23.01,14.29,0,1.53,0,8.18,46.03,15.09,0,2.05,0,4.43,68.7,6.06,0,2.22,0,0,92.11,0.921,0.77,6.9,43.72,34.52,1.72,2.3,11.51,63.67,3.49
2019,Deryk Engelland,VGK,D,74,237.0333333,3.203153153,16.71,106.57,13.55,15.69,78.22,16.71,13.42,59.74,18.34,0.25,8.1,3.03,6.58,57.21,10.32,3.54,23.29,13.21,0.25,4.05,5.88,4.05,45.23,8.22,0,2.36,0,5.48,66.91,7.58,0,3.29,0,1.89,86.44,0.883,0.25,6.33,35.44,6.08,0.71,3.29,11.39,59.74,5.22
2019,Danny DeKeyser,DET,D,52,131.2333333,2.523717949,16,106.53,13.06,14.17,88.24,13.84,11.89,62.64,15.95,0,10.52,0,5.94,55.78,9.63,3.2,31.09,9.33,0,5.49,0,3.66,32.92,10,0,3.66,0,7.26,67.36,9.73,0,3.3,0,0,83.21,0.832,0.91,4.11,42.98,21.49,2.08,3.66,9.14,71.32,4.88
