Year,Player,Team,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per
2015,Carl Gunnarsson,STL,D,61,1101.95,2,10,4,6,12,54,3.7,113,76,24,5,1,6,2,1,1,0,0,7,13,11,42,127,114,0,0,-
2015,Calvin de Haan,NYI,D,65,1235.666667,1,11,5,6,12,92,1.09,209,135,56,8,8,8,24,12,12,0,0,14,44,19,140,107,130,0,0,-
2015,Matt Fraser,"BOS, EDM",R,60,673.0833333,8,4,1,3,12,92,8.7,141,115,69,23,12,3,17,7,6,1,0,13,16,13,111,79,20,3,4,42.86
2015,Beau Bennett,PIT,R,49,611.8833333,4,8,6,2,12,81,4.94,145,110,70,19,2,12,16,8,8,0,0,5,17,9,68,99,13,0,2,0
2015,Barclay Goodrow,S.J,R,60,664.3,4,8,7,1,12,68,5.88,131,94,64,24,13,3,35,12,10,1,1,9,24,27,76,87,24,12,11,52.17
2015,Ronalds Kenins,VAN,L,30,368.05,4,8,5,3,12,38,10.53,68,50,42,14,7,2,8,4,4,0,0,0,9,13,71,39,7,0,0,-
2015,Dennis Everberg,COL,R,55,649.05,3,9,4,5,12,62,4.84,109,87,66,33,4,7,10,5,5,0,0,11,11,20,73,76,41,0,3,0
2015,Pierre-Edouard Bellemare,PHI,L,81,1039.383333,6,6,4,2,12,113,5.31,204,159,89,35,6,14,18,6,4,2,0,15,19,32,121,126,61,360,401,47.31
2015,Eric Brewer,"ANA, T.B, TOR",D,44,822.1333333,3,8,3,5,11,33,9.09,90,54,21,2,0,2,36,18,18,0,0,4,16,8,87,56,72,0,0,-
2015,Pascal Dupuis,PIT,R,16,266.35,6,5,3,2,11,44,13.64,65,54,33,15,3,2,4,2,2,0,0,1,5,6,20,16,8,1,0,100
2015,Derek MacKenzie,FLA,C,82,1020.966667,5,6,2,4,11,72,6.94,125,101,56,29,9,8,45,21,20,1,0,20,12,26,273,88,51,543,479,53.13
2015,Deryk Engelland,CGY,D,76,1093.183333,2,9,3,6,11,51,3.92,117,76,18,0,2,2,53,16,9,7,0,11,38,20,132,112,141,0,0,-
2015,Braydon Coburn,"PHI, T.B",D,43,857.4,1,10,4,6,11,46,2.17,117,74,24,4,2,4,25,11,10,1,0,7,22,10,62,59,66,0,0,-
2015,Maxim Lapierre,"PIT, STL",C,80,856.7833333,2,9,6,3,11,86,2.33,132,110,68,30,5,12,32,16,16,0,0,9,8,11,153,81,36,305,277,52.41
2015,Marc Methot,OTT,D,45,1020.016667,1,10,2,8,11,49,2.04,91,67,16,2,3,9,18,9,9,0,0,5,24,12,94,65,70,0,1,0
