Year,Player,Team,Position,GP,PPTOI,PPTOI_GP,PPCF_60,PPCA_60,PPCFPer,PPFF_60,PPFA_60,PPFFPer,PPSF_60,PPSA_60,PPSFPer,PPGF_60,PPGA_60,PPGFPer,PPSCF_60,PPSCA_60,PPSCFPer,PPHDCF_60,PPHDCA_60,PPHDCFPer,PPHDGF_60,PPHDGA_60,PPHDGFPer,PPMDCF_60,PPMDCA_60,PPMDCFPer,PPMDGF_60,PPMDGA_60,PPMDGFPer,PPLDCF_60,PPLDCA_60,PPLDCFPer,PPLDGF_60,PPLDGA_60,PPLDGFPer,PPOn-Ice SHPer,PPOn-Ice SVPer,PPPDO,PPOff. Zone Faceoffs_60,PPNeu. Zone Faceoffs_60,PPDef. Zone Faceoffs_60,PPOnTFStarts_60,PPOffZoneStartPer,PPOffZoneFaceoffs_60,PPNeuZoneFaceoffs_60,PPDefZoneFaceoffs_60,PPOff. Zone Faceoff Per
2014,Aaron Ness,NYI,D,20,5.966666667,0.298333333,100.56,20.11,83.33,50.28,20.11,71.43,20.11,20.11,50,0,10.06,0,50.28,20.11,71.43,30.17,20.11,60,0,10.06,0,26.82,0,100,0,0,-,58.1,0,100,0,0,-,0,50,0.5,10.06,10.06,0,90.5,100,30.17,10.06,0,100
2014,Aaron Palushaj,CAR,R,2,0.533333333,0.266666667,225,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,325,0,100,0,0,-,-,-,-,0,0,0,112.5,-,0,0,0,-
2014,Aaron Rome,DAL,D,25,1.266666667,0.050666667,94.74,0,100,47.37,0,100,47.37,0,100,47.37,0,100,94.74,0,100,47.37,0,100,47.37,0,100,63.16,0,100,0,0,-,0,0,-,0,0,-,100,-,1,94.74,47.37,47.37,236.84,66.67,94.74,47.37,47.37,66.67
2014,Aaron Volpatti,WSH,L,41,0.816666667,0.019918699,73.47,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,106.12,0,100,0,0,-,-,-,-,220.41,0,0,0,100,220.41,0,0,100
2014,Adam Almquist,DET,D,2,2.466666667,1.233333333,170.27,0,100,145.95,0,100,97.3,0,100,0,0,-,97.3,0,100,48.65,0,100,0,0,-,64.86,0,100,0,0,-,105.41,0,100,0,0,-,0,-,0,0,48.65,24.32,0,0,0,48.65,24.32,0
2014,Adam Burish,S.J,R,15,2.05,0.136666667,87.8,0,100,29.27,0,100,29.27,0,100,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,42.28,0,100,0,0,-,0,-,0,29.27,0,0,87.8,100,29.27,0,0,100
2014,Adam Cracknell,STL,R,19,2.25,0.118421053,53.33,0,100,0,0,-,0,0,-,0,0,-,26.67,0,100,0,0,-,0,0,-,35.56,0,100,0,0,-,38.52,0,100,0,0,-,-,-,-,0,0,0,160,-,0,0,0,-
2014,Adam Hall,PHI,R,80,4.15,0.051875,43.37,14.46,75,28.92,14.46,66.67,28.92,14.46,66.67,0,0,-,14.46,0,100,0,0,-,0,0,-,19.28,0,100,0,0,-,41.77,0,100,0,0,-,0,100,1,14.46,57.83,14.46,187.95,50,14.46,72.29,14.46,50
2014,Adam Henrique,N.J,C,77,164.15,2.131818182,73.83,12.43,85.59,56.29,10.97,83.7,44.23,8.41,84.03,6.58,0.73,90,31.07,8.04,79.44,12.06,3.29,78.57,2.56,0,100,25.34,6.34,80,2.92,0.97,75,57.02,3.17,94.74,2.64,0,100,14.88,91.3,1.062,23.39,6.21,3.66,40.57,86.49,41.3,11.33,5.85,87.6
2014,Adam Larsson,N.J,D,26,12.38333333,0.476282051,33.92,24.23,58.33,24.23,19.38,55.56,14.54,9.69,60,0,0,-,9.69,14.54,40,0,0,-,0,0,-,12.92,19.38,40,0,0,-,27.99,7,80,0,0,-,0,100,1,19.38,9.69,4.85,72.68,80,33.92,19.38,4.85,87.5
