"Year","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"2015","Chris Kelly","BOS","C","80","140.08333333333","1","1","0","1","2","100.00","11","9.09","14","14","7","3","0","2","0","0","0","0","0","2","1","2","4","2","19","45","53","45.92"
"2015","Jarret Stoll","L.A","C","73","109.83333333333","0","2","2","0","2","100.00","4","0.00","4","4","3","2","0","1","2","1","1","0","0","5","1","1","8","1","14","64","74","46.38"
"2015","Dominic Moore","NYR","C","82","172.91666666667","2","0","0","0","2","100.00","12","16.67","16","14","10","6","2","2","2","1","1","0","0","3","2","5","4","5","13","125","120","51.02"
"2015","Fedor Tyutin","CBJ","D","67","191.33333333333","0","2","0","2","2","66.67","0","-","1","1","0","0","0","0","4","2","2","0","0","2","3","6","20","8","35","0","0","-"
"2015","Mike Cammalleri","N.J","C, L","68","90.183333333333","2","0","0","0","2","100.00","8","25.00","11","8","4","2","1","0","0","0","0","0","0","0","3","2","0","0","4","5","14","26.32"
"2015","Vernon Fiddler","DAL","C","80","170.43333333333","1","1","1","0","2","66.67","15","6.67","23","18","14","8","3","0","0","0","0","0","0","6","1","5","0","8","19","133","112","54.29"
"2015","Trevor Daley","DAL","D","68","197.75","2","0","0","0","2","50.00","8","25.00","11","9","5","1","0","1","0","0","0","0","0","2","3","6","4","2","32","0","0","-"
"2015","Boyd Gordon","EDM","C","68","162.66666666667","1","1","1","0","2","100.00","4","25.00","5","5","3","3","0","2","0","0","0","0","0","1","1","3","2","1","20","135","130","50.94"
"2015","Daniel Paille","BOS","L","71","96.066666666667","1","1","1","0","2","100.00","6","16.67","11","11","5","4","1","0","0","0","0","0","0","0","2","7","4","1","7","0","0","-"
"2015","Jeff Carter","L.A","C","82","115.08333333333","1","1","1","0","2","50.00","10","10.00","16","11","8","5","3","2","2","1","1","0","0","1","4","4","5","2","8","45","41","52.33"
"2015","Ryan Getzlaf","ANA","C","77","133.25","0","2","1","1","2","66.67","5","0.00","12","10","7","2","0","0","4","2","2","0","0","2","5","8","3","4","11","35","27","56.45"
"2015","Mark Stuart","WPG","D","70","230.38333333333","0","2","1","1","2","33.33","2","0.00","2","2","1","0","0","0","11","4","3","1","0","4","9","2","20","6","47","0","0","-"
"2015","Patrice Bergeron","BOS","C","81","140.1","1","1","1","0","2","50.00","6","16.67","13","11","8","4","1","0","2","1","1","0","0","1","2","7","3","4","11","131","108","54.81"
"2015","Travis Zajac","N.J","C","74","134.8","2","0","0","0","2","100.00","4","50.00","7","5","5","1","0","1","0","0","0","0","0","1","1","6","0","4","5","63","65","49.22"
"2015","Alex Goligoski","DAL","D","81","238.58333333333","0","2","1","1","2","50.00","3","0.00","3","3","0","0","0","0","2","1","1","0","0","4","7","7","11","4","37","0","0","-"
"2015","Mike Santorelli","NSH, TOR","C","79","44.583333333333","1","1","1","0","2","100.00","4","25.00","5","5","4","2","1","0","2","1","1","0","0","0","2","2","0","0","0","5","7","41.67"
"2015","Troy Brouwer","WSH","R","82","175","2","0","0","0","2","66.67","9","22.22","13","12","3","2","2","0","6","3","3","0","0","4","4","9","6","3","14","52","47","52.53"
"2015","Marc Staal","NYR","D","80","176.01666666667","0","2","0","2","2","50.00","2","0.00","3","3","0","0","0","0","0","0","0","0","0","0","5","7","7","6","21","1","1","50.00"
"2015","Darren Helm","DET","C","75","115.31666666667","2","0","0","0","2","100.00","15","13.33","22","20","17","5","3","1","4","2","2","0","0","0","1","10","8","2","9","29","42","40.85"
"2015","Mark Fayne","EDM","D","74","183.88333333333","0","2","0","2","2","100.00","5","0.00","6","6","1","0","1","0","0","0","0","0","0","0","6","3","7","3","26","0","0","-"
"2015","Stephen Gionta","N.J","R","61","134.78333333333","0","2","2","0","2","100.00","5","0.00","6","5","2","1","0","1","0","0","0","0","0","2","0","10","2","1","20","32","50","39.02"
"2015","Derek Dorsett","VAN","R","79","37.533333333333","2","0","0","0","2","100.00","2","100.00","3","3","2","2","0","0","7","2","1","1","0","11","0","3","2","1","2","1","1","50.00"
"2015","Erik Condra","OTT","R","68","151.21666666667","1","1","1","0","2","66.67","15","6.67","29","20","17","6","6","1","0","0","0","0","0","5","5","12","4","4","15","0","5","0.00"
"2015","Ben Lovejoy","ANA, PIT","D","60","116.36666666667","0","2","1","1","2","66.67","3","0.00","4","4","0","0","2","0","0","0","0","0","0","1","2","5","7","6","19","0","0","-"
"2015","Paul Byron","CGY","L","57","74.766666666667","0","2","2","0","2","100.00","5","0.00","7","6","7","4","0","1","0","0","0","0","0","1","2","8","1","1","1","2","5","28.57"
"2015","Logan Couture","S.J","C","82","120.3","2","0","0","0","2","100.00","19","10.53","26","24","17","8","3","2","0","0","0","0","0","5","0","6","4","4","16","24","53","31.17"
"2015","Thomas Hickey","NYI","D","81","152.43333333333","0","2","1","1","2","50.00","5","0.00","6","5","1","0","0","0","0","0","0","0","0","1","5","6","17","7","24","0","1","0.00"
"2015","Mikael Backlund","CGY","C","52","75.016666666667","2","0","0","0","2","100.00","6","33.33","8","7","5","4","3","0","0","0","0","0","0","0","4","7","3","0","7","29","45","39.19"
"2015","Lars Eller","MTL","C","77","103.68333333333","0","2","2","0","2","100.00","4","0.00","5","4","3","1","1","0","2","1","1","0","0","4","4","2","4","1","7","28","29","49.12"
"2015","Tyler Myers","BUF, WPG","D","71","184.98333333333","0","2","2","0","2","100.00","1","0.00","2","1","0","0","0","0","8","4","4","0","0","3","1","1","9","4","18","0","0","-"
"2015","Jori Lehtera","STL","C","75","30.5","1","1","0","1","2","100.00","1","100.00","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","2","2","10","7","58.82"
"2015","Tyler Bozak","TOR","C","82","57.65","2","0","0","0","2","100.00","7","28.57","9","9","6","5","3","0","22","3","1","0","2","3","0","4","1","0","2","76","79","49.03"
