Year,Player,Team,Position,GP,TOI,TOI_GP,CF_60,CA_60,CFPer,FF_60,FA_60,FFPer,SF_60,SA_60,SFPer,GF_60,GA_60,GFPer,SCF_60,SCA_60,SCFPer,HDCF_60,HDCA_60,HDCFPer,HDGF_60,HDGA_60,HDGFPer,MDCF_60,MDCA_60,MDCFPer,MDGF_60,MDGA_60,MDGFPer,LDCF_60,LDCA_60,LDCFPer,LDGF_60,LDGA_60,LDGFPer,On-Ice SHPer,On-Ice SVPer,PDO,Off. Zone Faceoffs_60,Neu. Zone Faceoffs_60,Def. Zone Faceoffs_60,OnTFStarts_60,OffZoneStartPer,OffZoneFaceoffs_60,NeuZoneFaceoffs_60,DefZoneFaceoffs_60,Off. Zone Faceoff Per
2019,Chris Thorburn,STL,R,1,1.866666667,1.866666667,0,160.71,0,0,128.57,0,0,128.57,0,0,0,-,0,160.71,0,0,64.29,0,0,0,-,0,128.57,0,0,0,-,0,0,-,0,0,-,-,100,1,32.14,0,0,64.29,100,32.14,0,0,100
2019,Brandon Gignac,N.J,C,1,9.066666667,9.066666667,52.94,105.88,33.33,39.71,86.03,31.58,19.85,66.18,23.08,0,13.24,0,6.62,52.94,11.11,0,33.09,0,0,6.62,0,8.82,26.47,25,0,8.82,0,47.79,57.35,45.45,0,0,-,0,80,0.8,13.24,6.62,13.24,46.32,50,19.85,6.62,39.71,33.33
2019,Zac Dalpe,CBJ,C,1,9.016666667,9.016666667,46.58,93.16,33.33,33.27,79.85,29.41,26.62,73.2,26.67,6.65,0,100,6.65,39.93,14.29,6.65,26.62,20,6.65,0,100,0,17.74,0,0,0,-,38.45,57.67,40,0,0,-,25,100,1.25,6.65,19.96,0,79.85,100,6.65,33.27,6.65,50
2019,Rem Pitlick,NSH,C,1,9.65,9.65,37.31,87.05,30,31.09,62.18,33.33,24.87,31.09,44.44,0,0,-,6.22,31.09,16.67,6.22,18.65,25,0,0,-,0,16.58,0,0,0,-,35.92,71.85,33.33,0,0,-,0,100,1,12.44,0,12.44,55.96,50,24.87,0,31.09,44.44
2019,Nelson Nogier,WPG,D,1,9.316666667,9.316666667,51.52,83.72,38.1,32.2,64.4,33.33,25.76,45.08,36.36,0,0,-,12.88,38.64,25,0,38.64,0,0,0,-,17.17,0,100,0,0,-,46.51,65.12,41.67,0,0,-,0,100,1,12.88,19.32,6.44,25.76,66.67,19.32,32.2,25.76,42.86
2019,Jakub Jerabek,STL,D,1,7.416666667,7.416666667,48.54,80.9,37.5,40.45,64.72,38.46,24.27,48.54,33.33,0,24.27,0,24.27,48.54,33.33,8.09,40.45,16.67,0,24.27,0,21.57,10.79,66.67,0,0,-,23.37,23.37,50,0,0,-,0,50,0.5,8.09,8.09,8.09,88.99,50,24.27,8.09,16.18,60
2019,Derek MacKenzie,FLA,C,1,2.716666667,2.716666667,44.17,66.26,40,22.09,66.26,25,22.09,22.09,50,0,0,-,0,66.26,0,0,22.09,0,0,0,-,0,58.9,0,0,0,-,63.8,0,100,0,0,-,0,100,1,22.09,22.09,0,44.17,100,22.09,44.17,0,100
2019,Anthony Richard,NSH,C,1,7.366666667,7.366666667,40.72,65.16,38.46,40.72,48.87,45.45,32.58,40.72,44.44,0,8.14,0,0,16.29,0,0,8.14,0,0,0,-,0,10.86,0,0,10.86,0,58.82,35.29,62.5,0,0,-,0,80,0.8,16.29,32.58,16.29,32.58,50,16.29,32.58,16.29,50
2019,Vitaly Abramov,OTT,R,1,12.23333333,12.23333333,44.14,63.76,40.91,19.62,44.14,30.77,4.9,39.24,11.11,0,9.81,0,19.62,29.43,40,9.81,14.71,40,0,4.9,0,13.08,19.62,40,0,6.54,0,28.34,42.51,40,0,0,-,0,75,0.75,4.9,9.81,0,58.86,100,9.81,19.62,0,100
2019,Laurent Dauphin,ARI,C,1,12.31666667,12.31666667,48.71,63.33,43.48,34.1,29.23,53.85,24.36,19.49,55.56,0,4.87,0,24.36,14.61,62.5,19.49,4.87,80,0,4.87,0,6.5,12.99,33.33,0,0,-,28.15,49.26,36.36,0,0,-,0,75,0.75,4.87,14.61,4.87,58.46,50,14.61,19.49,14.61,50
2019,Ryan Poehling,MTL,C,1,10.16666667,10.16666667,100.33,59.02,62.96,82.62,29.51,73.68,76.72,17.7,81.25,17.7,0,100,47.21,29.51,61.54,11.8,5.9,66.67,5.9,0,100,47.21,31.48,60,15.74,0,100,68.2,34.1,66.67,0,0,-,23.08,100,1.231,17.7,11.8,0,64.92,100,23.61,11.8,5.9,80
2019,Chase De Leo,ANA,C,1,10.63333333,10.63333333,67.71,56.43,54.55,62.07,39.5,61.11,50.78,22.57,69.23,5.64,0,100,45.14,16.93,72.73,5.64,5.64,50,0,0,-,52.66,15.05,77.78,7.52,0,100,24.45,40.75,37.5,0,0,-,11.11,100,1.111,11.29,16.93,5.64,56.43,66.67,22.57,22.57,22.57,50
2019,Reid Boucher,VAN,C,1,5.466666667,5.466666667,65.85,54.88,54.55,65.85,43.9,60,32.93,10.98,75,0,0,-,21.95,32.93,40,10.98,21.95,33.33,0,0,-,14.63,14.63,50,0,0,-,31.71,31.71,50,0,0,-,0,100,1,21.95,0,0,87.8,100,32.93,0,0,100
2019,Josh Teves,VAN,D,1,13.28333333,13.28333333,49.69,54.2,47.83,45.17,27.1,62.5,36.14,18.07,66.67,0,4.52,0,40.65,27.1,60,13.55,4.52,75,0,4.52,0,36.14,30.11,54.55,0,0,-,6.52,39.15,14.29,0,0,-,0,75,0.75,9.03,9.03,9.03,49.69,50,22.58,13.55,18.07,55.56
2019,Jimmy Schuldt,VGK,D,1,19.11666667,19.11666667,59.63,53.36,52.78,50.22,43.94,53.33,34.52,37.66,47.83,6.28,6.28,50,21.97,37.66,36.84,3.14,9.42,25,0,3.14,0,25.11,37.66,40,8.37,0,100,54.4,22.67,70.59,0,4.53,0,18.18,83.33,1.015,12.55,12.55,3.14,34.52,80,25.11,25.11,3.14,88.89
2019,Brady Keeper,FLA,D,1,11.76666667,11.76666667,71.39,50.99,58.33,50.99,35.69,58.82,40.79,10.2,80,5.1,0,100,25.5,10.2,71.43,5.1,0,100,5.1,0,100,27.2,13.6,66.67,0,0,-,36.83,44.19,45.45,0,0,-,12.5,100,1.125,10.2,0,0,71.39,100,30.59,0,10.2,75
2019,Anthony Greco,FLA,R,1,9.5,9.5,75.79,50.53,60,44.21,50.53,46.67,37.89,37.89,50,0,18.95,0,31.58,25.26,55.56,18.95,18.95,50,0,6.32,0,16.84,8.42,66.67,0,8.42,0,45.61,36.49,55.56,0,9.12,0,0,50,0.5,12.63,25.26,12.63,50.53,50,18.95,44.21,12.63,60
