,Player,FantasyTeam,OverallDraftNumber,DraftRound,Fantasy Points,Modeled_Fantasy_Points,Points Differential
65,Derick Brassard,Paul North Kariya,257,22,107.55,116.81859491893532,9.268594918935321
66,Nathan MacKinnon,Datsyuk's Dekes,23,2,301.35,244.28477251753947,57.06522748246056
67,Alexander Kerfoot,Amesville Aliens,164,14,137.65,128.56591123697524,9.084088763024766
68,Erik Johnson,Tronhelm Black Bears,244,21,156.45,151.2414514172635,5.2085485827364835
69,Tyson Barrie,Team Game Blouses,50,5,208.04999999999998,185.8333564689377,22.21664353106229
70,Gabriel Landeskog,Tronhelm Black Bears,76,7,259.7,204.99277114652864,54.70722885347135
71,Mikko Rantanen,Every Day I'm Byfuglien,63,6,239.75,190.50891756772901,49.241082432270986
72,Radek Faksa,Team Game Blouses,218,19,164.0,160.69426532924595,3.305734670754049
73,Mattias Janmark,Team Game Blouses,263,22,91.05000000000001,110.21219059477016,19.162190594770152
74,Tyler Seguin,Shat Deuces,19,2,282.7,236.10270096610245,46.59729903389754
75,Esa Lindell,Davinci's McDavid,201,17,197.95,163.35756106282935,34.59243893717064
76,John Klingberg,Takoma Park Holtbeasts,78,7,155.85,161.24955683360693,5.399556833606937
77,Jamie Benn,Every Day I'm Byfuglien,34,3,221.39999999999998,189.80662981310226,31.593370186897715
78,Mats Zuccarello,Tronhelm Black Bears,165,14,136.6,111.84951498860578,24.75048501139422
79,Alexander Radulov,Gritty Gritty Bang Bang,46,4,227.4,187.26623901458308,40.13376098541693
80,Andreas Athanasiou,Datsyuk's Dekes,206,18,165.45000000000002,162.932293689325,2.5177063106750097
81,Michael Rasmussen,Team Game Blouses,239,20,80.80000000000001,78.64655310768129,2.153446892318726
82,Dylan Larkin,Amesville Aliens,92,8,255.4,219.09206718303074,36.30793281696927
83,Mike Green,Tronhelm Black Bears,261,22,96.95,80.28335004932669,16.666649950673317
84,Thomas Vanek,Team Game Blouses,215,18,109.45,101.4115327904798,8.038467209520206
85,Anthony Mantha,Amesville Aliens,116,10,147.95000000000002,137.8925048776833,10.057495122316709
86,Filip Zadina,Takoma Park Holtbeasts,246,21,10.3,8.860054652213684,1.4399453477863169
87,Ryan Nugent-Hopkins,London Bacon Blades,73,7,233.1,210.39420698765323,22.70579301234676
88,Leon Draisaitl,Amesville Aliens,17,2,326.3,256.5266501225193,69.77334987748071
89,Connor McDavid,Davinci's McDavid,9,1,309.35,268.56765622004485,40.78234377995517
90,Oscar Klefbom,London Bacon Blades,193,17,124.35,139.3747092487633,15.024709248763315
91,Darnell Nurse,Every Day I'm Byfuglien,207,18,212.95000000000002,181.89744875263858,31.052551247361436
92,Ty Rattie,Paul North Kariya,209,18,52.15,56.84705410149202,4.6970541014920215
