"Year","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"2016","Patrick Kane","CHI","R","82","1412.1166666667","29","40","28","12","69","82.14","216","13.43","348","276","176","59","12","14","26","13","13","0","0","20","30","34","34","114","19","7","24","22.58"
"2016","Sidney Crosby","PIT","C","80","1308.8","26","35","21","14","61","81.33","182","14.29","329","254","192","83","14","21","32","16","16","0","0","23","36","38","81","102","34","770","725","51.51"
"2016","Evgeny Kuznetsov","WSH","C","82","1244.3","15","44","32","12","59","73.75","156","9.62","252","202","150","54","3","7","32","16","16","0","0","20","48","60","70","50","29","497","545","47.70"
"2016","Blake Wheeler","WPG","R","82","1255.15","21","36","28","8","57","80.28","208","10.10","364","290","180","71","11","20","30","15","15","0","0","27","39","31","85","85","51","9","16","36.00"
"2016","Johnny Gaudreau","CGY","L","79","1281.5333333333","24","33","20","13","57","80.28","160","15.00","277","214","160","63","5","15","14","7","7","0","0","27","70","39","23","50","10","2","1","66.67"
"2016","Erik Karlsson","OTT","D","82","1884.8333333333","15","41","21","20","56","59.57","189","7.94","447","290","114","24","13","28","44","22","22","0","0","14","81","57","75","137","164","0","1","0.00"
"2016","Jaromir Jagr","FLA","R","79","1133.9666666667","22","33","18","15","55","76.39","113","19.47","200","164","140","63","7","8","46","22","22","0","0","12","39","32","30","50","16","0","1","0.00"
"2016","Jamie Benn","DAL","L","82","1251.85","22","32","17","15","54","72.00","178","12.36","316","247","201","95","10","19","47","22","21","1","0","23","61","57","144","84","46","164","166","49.70"
"2016","Joe Thornton","S.J","C","82","1201.3","11","42","21","21","53","70.67","85","12.94","144","118","66","33","4","6","32","16","16","0","0","17","84","68","45","61","30","307","285","51.86"
"2016","Anze Kopitar","L.A","C","81","1308.4166666667","19","34","20","14","53","68.83","122","15.57","223","172","150","80","10","10","12","6","6","0","0","24","31","35","75","108","56","702","631","52.66"
"2016","Taylor Hall","EDM","L","82","1338.7","22","31","25","6","53","81.54","237","9.28","394","310","238","112","15","21","42","21","21","0","0","23","60","62","76","164","50","10","20","33.33"
"2016","Artemi Panarin","CHI","L","80","1252.1333333333","22","31","16","15","53","75.71","153","14.38","274","203","150","48","7","9","30","14","14","0","0","16","32","28","43","110","14","0","0","-"
