Year,Player,Team,Position,GP,PPTOI,PPGoals,PPTotal_Assists,PPFirst_Assists,PPSecond_Assists,PPTotal_Points,PPShots,PPSHPer,PPiCF,PPiFF,PPiSCF,PPiHDCF,PPRush_Attempts,PPRebounds_Created,PPPIM,PPTotal_Penalties,PPMinor,PPMajor,PPMisconduct,PPPenalties_Drawn,PPGiveaways,PPTakeaways,PPHits,PPHits_Taken,PPShots_Blocked,PPFaceoffs_Won,PPFaceoffs_Lost,PPFaceoffs_Per
2015,Ryan Kesler,ANA,C,81,203.55,5,6,5,1,11,57,8.77,115,84,68,20,2,6,11,4,3,1,0,1,4,2,9,11,1,131,94,58.22
2015,Loui Eriksson,BOS,L,81,194.9,6,5,3,2,11,32,18.75,49,44,40,32,0,5,0,0,0,0,0,2,3,1,0,7,0,0,0,-
2015,Matt Moulson,BUF,L,77,211.4166667,3,8,5,3,11,36,8.33,51,45,41,26,0,3,4,2,2,0,0,1,5,1,2,2,1,5,2,71.43
2015,Curtis Glencross,"CGY, WSH",L,71,136,4,7,5,2,11,19,21.05,31,27,26,20,0,7,13,5,4,1,0,1,5,0,5,2,0,2,2,50
2015,Johan Franzen,DET,R,33,106.3666667,4,7,2,5,11,20,20,38,31,21,9,0,3,6,3,3,0,0,1,2,1,3,4,0,1,2,33.33
2015,David Desharnais,MTL,C,82,195.5666667,2,9,3,6,11,9,22.22,19,12,15,7,0,2,6,3,3,0,0,1,6,1,2,14,0,113,70,61.75
2015,Max Pacioretty,MTL,L,80,206.35,7,4,2,2,11,38,18.42,86,57,41,17,1,7,6,3,3,0,0,0,5,2,1,9,0,0,2,0
2015,Jason Garrison,T.B,D,70,119.5833333,1,10,3,7,11,16,6.25,35,23,4,0,0,2,0,0,0,0,0,0,2,4,2,0,3,0,0,-
2015,Jimmy Hayes,FLA,R,72,143.45,4,7,5,2,11,22,18.18,33,30,28,20,2,4,14,7,7,0,0,0,3,1,1,8,0,1,0,100
2015,Kyle Palmieri,ANA,R,57,97.53333333,5,6,3,3,11,25,20,40,34,24,17,2,4,2,1,1,0,0,1,5,2,3,10,0,2,1,66.67
2015,Victor Hedman,T.B,D,59,146.9833333,3,8,2,6,11,22,13.64,41,32,8,2,0,2,2,1,1,0,0,0,5,3,0,7,4,0,0,-
2015,Reilly Smith,BOS,R,81,145.5333333,1,10,6,4,11,17,5.88,58,32,23,8,2,4,4,2,2,0,0,0,9,1,2,7,1,1,0,100
2015,Riley Sheahan,DET,C,79,188.9,5,6,5,1,11,24,20.83,37,34,32,26,0,5,2,1,1,0,0,0,6,2,1,12,0,53,40,56.99
2015,John Klingberg,DAL,D,65,191.5166667,2,9,5,4,11,26,7.69,56,37,20,4,0,5,2,1,1,0,0,1,9,2,0,8,2,0,0,-
2015,Ondrej Palat,T.B,L,75,175.0166667,3,8,5,3,11,15,20,28,24,19,8,0,1,2,1,1,0,0,3,5,2,3,6,0,0,2,0
2015,Victor Rask,CAR,C,80,199.9833333,2,9,4,5,11,32,6.25,62,42,28,6,0,5,2,1,1,0,0,1,8,6,2,8,5,14,11,56
2015,Seth Jones,NSH,D,82,179.5,2,9,3,6,11,27,7.41,55,41,13,2,1,6,2,1,1,0,0,0,8,1,1,5,1,0,0,-
2015,Shane Doan,ARI,R,79,208.0833333,5,5,4,1,10,39,12.82,59,54,46,37,0,3,6,3,3,0,0,0,7,2,21,14,0,1,3,25
2015,Mike Fisher,NSH,C,59,160.6333333,7,3,2,1,10,19,36.84,27,26,20,11,0,4,7,2,1,1,0,2,5,0,4,4,1,103,85,54.79
2015,Milan Michalek,OTT,L,66,132.45,5,5,2,3,10,22,22.73,33,31,31,16,1,2,8,4,4,0,0,0,2,0,1,1,0,3,1,75
2015,Clarke MacArthur,OTT,L,62,184.15,6,4,2,2,10,38,15.79,69,57,43,25,1,3,10,5,5,0,0,4,5,2,3,11,1,0,2,0
2015,Matt Niskanen,WSH,D,82,87.28333333,2,8,4,4,10,22,9.09,34,30,6,0,0,3,5,1,0,1,0,0,3,3,1,0,1,0,0,-
2015,Jiri Tlusty,"CAR, WPG",L,72,136.1333333,6,4,1,3,10,21,28.57,31,28,27,18,0,2,2,1,1,0,0,4,2,3,6,7,0,1,0,100
2015,Chris Stewart,"BUF, MIN",R,81,156.95,5,5,3,2,10,28,17.86,47,42,38,27,1,3,21,6,3,3,0,3,6,1,3,2,1,0,8,0
2015,Derek Stepan,NYR,C,68,181.3833333,3,7,3,4,10,22,13.64,51,33,27,6,0,1,2,1,1,0,0,0,5,5,1,9,0,74,76,49.33
2015,Cam Atkinson,CBJ,R,78,179.6666667,7,3,1,2,10,42,16.67,66,53,59,30,0,4,2,1,1,0,0,1,4,1,1,4,0,1,0,100
2015,Tommy Wingels,S.J,C,75,112.8,4,6,5,1,10,23,17.39,31,30,25,12,0,3,6,3,3,0,0,2,3,2,6,7,0,17,20,45.95
2015,David Savard,CBJ,D,82,159.1333333,3,7,3,4,10,18,16.67,41,27,9,2,0,6,0,0,0,0,0,0,1,1,2,4,0,0,0,-
2015,Brandon Saad,CHI,L,82,179.2833333,2,8,4,4,10,17,11.76,38,25,21,7,0,1,0,0,0,0,0,1,2,3,1,12,1,14,13,51.85
2015,Nail Yakupov,EDM,R,81,153.5166667,5,5,1,4,10,38,13.16,69,52,32,4,1,3,6,3,3,0,0,2,5,1,4,6,0,0,0,-
