"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_4v5","TOI_3v5","TOI_3v4","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"90","ANA","DET",2008030232,14367,20082009,0,5.78333333333333,5.78333333333333,0,0,0,1,0,0,1,7,1,11,1,13,0,0,0,0
"91","ANA","DET",2008030233,14369,20082009,1,8.51666666666667,8.45,0,0.0666666666666667,0,1,0,0,2,12,2,15,3,17,0,0,0,0
"92","ANA","DET",2008030234,14371,20082009,1,5.3,5.3,0,0,0,1,0,0,0,6,0,9,0,11,0,0,0,0
"93","ANA","DET",2008030235,14374,20082009,0,6,6,0,0,0,0,0,0,0,5,0,7,0,7,0,0,0,0
"94","ANA","DET",2008030236,14376,20082009,1,6.86666666666667,6.86666666666667,0,0,0,1,0,0,1,9,1,11,1,14,0,0,0,0
"95","ANA","DET",2008030237,14378,20082009,0,7.73333333333333,7.36666666666667,0.366666666666667,0,0,1,0,0,0,8,0,11,0,17,1,1,0,0
"96","ANA","S.J",2009020022,14520,20092010,1,9.33333333333333,8.9,0,0.433333333333333,0,1,0,0,0,7,1,14,1,17,0,0,0,0
"97","ANA","MIN",2009020029,14523,20092010,0,7.53333333333333,6.13333333333333,0,1.4,0,3,0,0,1,11,1,14,1,17,0,0,0,0
"98","ANA","BOS",2009020035,14525,20092010,0,11.9833333333333,11.9833333333333,0,0,1,0,0,0,4,4,5,5,5,10,0,0,0,0
"99","ANA","PHI",2009020052,14527,20092010,0,9.65,9.65,0,0,0,2,0,0,1,12,1,18,2,23,0,0,0,0
"100","ANA","NYR",2009020062,14528,20092010,0,6.6,6.11666666666667,0.483333333333333,0,0,2,0,0,0,5,0,10,0,10,0,1,0,0
"101","ANA","MIN",2009020079,14531,20092010,1,9.26666666666667,9.26666666666667,0,0,0,0,0,0,1,3,1,3,2,5,0,0,0,0
"102","ANA","STL",2009020105,14534,20092010,1,8.15,8.15,0,0,0,2,0,0,0,5,0,13,0,14,0,0,0,0
"103","ANA","DAL",2009020117,14538,20092010,1,4.78333333333333,4.78333333333333,0,0,0,1,0,0,1,9,1,11,1,13,0,0,0,0
"104","ANA","CBJ",2009020144,14541,20092010,1,4,4,0,0,0,0,0,0,0,3,1,4,1,4,0,0,0,0
"105","ANA","TOR",2009020151,14543,20092010,1,13.7666666666667,9.88333333333333,2.35,1.53333333333333,0,4,0,0,2,20,2,21,2,27,0,2,0,0
"106","ANA","VAN",2009020178,14547,20092010,1,6.65,6.65,0,0,1,1,0,0,3,5,3,7,3,8,1,0,0,0
"107","ANA","ARI",2009020189,14548,20092010,0,2.48333333333333,2.48333333333333,0,0,0,1,0,0,0,4,0,4,0,5,0,0,0,0
"108","ANA","PIT",2009020202,14551,20092010,1,10.0166666666667,10.0166666666667,0,0,0,0,0,0,2,5,2,6,4,9,0,0,0,0
"109","ANA","NSH",2009020217,14553,20092010,1,9.98333333333333,9.98333333333333,0,0,0,0,0,0,0,6,0,11,0,14,0,0,0,0
"110","ANA","ARI",2009020236,14555,20092010,1,3.51666666666667,2.1,0,1.41666666666667,0,1,0,0,0,8,0,11,0,14,0,0,0,0
"111","ANA","N.J",2009020248,14559,20092010,0,3.61666666666667,2.65,0.966666666666667,0,0,0,0,0,1,6,1,7,1,7,1,1,0,0
"112","ANA","CBJ",2009020264,14561,20092010,0,4.48333333333333,4.13333333333333,0,0.35,0,1,0,0,2,5,2,7,2,10,0,0,0,0
"113","ANA","DET",2009020273,14562,20092010,0,7.55,7.55,0,0,0,3,0,0,0,10,2,13,2,17,0,0,0,0
"114","ANA","PIT",2009020286,14564,20092010,0,12.7833333333333,12.7833333333333,0,0,1,1,0,0,3,10,5,18,6,22,0,0,0,0
"115","ANA","T.B",2009020306,14567,20092010,1,6.18333333333333,6.18333333333333,0,0,0,1,0,0,0,6,0,7,0,8,1,0,0,0
"116","ANA","S.J",2009020325,14569,20092010,1,4.7,4.7,0,0,0,1,0,0,1,4,2,5,2,9,0,0,0,0
"117","ANA","CGY",2009020337,14571,20092010,1,7.05,7.05,0,0,0,0,0,0,1,5,1,7,1,9,1,0,0,0
"118","ANA","CAR",2009020351,14573,20092010,1,6,6,0,0,0,0,0,0,1,5,1,6,2,7,0,0,0,0
"119","ANA","CHI",2009020359,14575,20092010,1,8,8,0,0,0,0,0,0,1,2,2,6,3,7,0,0,0,0
"120","ANA","ARI",2009020380,14577,20092010,1,8,8,0,0,0,0,0,0,0,2,0,5,0,10,1,1,0,0
"121","ANA","L.A",2009020392,14579,20092010,1,8.86666666666667,8.86666666666667,0,0,0,1,0,0,1,14,1,15,1,18,0,0,0,0
"122","ANA","DAL",2009020405,14581,20092010,0,6,6,0,0,0,0,0,0,0,9,1,12,1,17,0,0,0,0
"123","ANA","MIN",2009020411,14582,20092010,0,1.78333333333333,1.46666666666667,0,0.316666666666667,0,1,0,0,0,2,0,2,0,6,0,0,0,0
"124","ANA","OTT",2009020428,14584,20092010,1,6.33333333333333,4.61666666666667,1.71666666666667,0,0,1,0,0,2,11,2,13,2,14,0,2,0,0
"125","ANA","DAL",2009020441,14586,20092010,1,6.88333333333333,6.88333333333333,0,0,0,1,0,0,3,5,3,6,3,10,1,0,0,0
"126","ANA","DET",2009020461,14589,20092010,0,15.25,14.1333333333333,0,1.11666666666667,0,2,0,0,0,16,0,25,1,30,2,0,0,0
"127","ANA","CBJ",2009020472,14590,20092010,0,7.13333333333333,6.26666666666667,0.866666666666667,0,0,0,0,0,1,8,1,10,1,15,0,1,0,0
"128","ANA","VAN",2009020501,14594,20092010,0,8.63333333333333,8.63333333333333,0,0,0,0,0,0,3,3,4,10,4,15,0,0,0,0
"129","ANA","S.J",2009020510,14595,20092010,0,4.95,3.8,0.383333333333333,0.766666666666667,0,1,0,0,0,13,0,16,2,16,1,0,0,0
"130","ANA","ARI",2009020519,14597,20092010,1,8,8,0,0,0,0,0,0,1,11,2,15,2,18,0,0,0,0
"131","ANA","COL",2009020543,14600,20092010,0,6,6,0,0,0,0,0,0,3,2,4,4,4,7,0,0,0,0
"132","ANA","ARI",2009020555,14601,20092010,0,3.65,3.65,0,0,0,1,0,0,0,3,1,3,1,4,0,0,0,0
"133","ANA","S.J",2009020569,14604,20092010,0,2.25,2.25,0,0,0,2,0,0,0,4,0,5,0,6,0,0,0,0
"134","ANA","MIN",2009020589,14607,20092010,1,4.93333333333333,4.93333333333333,0,0,0,1,0,0,1,4,1,5,1,6,0,0,0,0
"135","ANA","DAL",2009020606,14609,20092010,0,5.2,5.2,0,0,0,1,0,0,2,6,2,11,3,12,0,0,0,0
"136","ANA","NSH",2009020619,14611,20092010,0,4,4,0,0,0,0,0,0,1,3,1,5,1,6,0,0,0,0
"137","ANA","CHI",2009020626,14612,20092010,0,5.83333333333333,5.83333333333333,0,0,0,1,0,0,0,3,1,9,1,10,0,0,0,0
"138","ANA","DET",2009020638,14614,20092010,1,7.73333333333333,7.73333333333333,0,0,1,0,0,0,5,8,5,10,5,10,0,0,0,0
"139","ANA","STL",2009020653,14616,20092010,1,4,4,0,0,0,0,0,0,1,5,1,5,2,7,1,0,0,0
"140","ANA","NSH",2009020667,14618,20092010,0,0.75,0.75,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"141","ANA","CHI",2009020675,14619,20092010,0,7.9,7.9,0,0,0,1,0,0,0,5,0,7,0,9,0,0,0,0
"142","ANA","BOS",2009020692,14622,20092010,1,2.93333333333333,2.93333333333333,0,0,0,0,0,0,0,5,0,6,0,6,0,0,0,0
"143","ANA","L.A",2009020703,14623,20092010,0,7.61666666666667,5.98333333333333,0.0666666666666667,1.56666666666667,0,0,0,0,1,5,2,6,2,8,3,1,0,0
"144","ANA","CGY",2009020722,14626,20092010,1,4,4,0,0,0,0,0,0,0,6,0,7,0,9,0,0,0,0
