"","player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","firstname","lastname"
"1","BRETT.MCLEAN","53 MCLEAN, BRETT","FLA53","C","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,53,"BRETT","MCLEAN"
"2","BRYAN.ALLEN","5 ALLEN, BRYAN","FLA5","D","D","2008020011","2008-10-10","20082009","R","FLA","CAR",0,5,"BRYAN","ALLEN"
"3","BRYAN.MCCABE","24 MCCABE, BRYAN","FLA24","D","D","2008020011","2008-10-10","20082009","R","FLA","CAR",0,24,"BRYAN","MCCABE"
"4","CORY.MURPHY","21 MURPHY, CORY","FLA21","D","D","2008020011","2008-10-10","20082009","R","FLA","CAR",0,21,"CORY","MURPHY"
"5","CORY.STILLMAN","61 STILLMAN, CORY","FLA61","L","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,61,"CORY","STILLMAN"
"6","DAVID.BOOTH","10 BOOTH, DAVID","FLA10","L","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,10,"DAVID","BOOTH"
"7","GREGORY.CAMPBELL","11 CAMPBELL, GREGORY","FLA11","C","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,11,"GREGORY","CAMPBELL"
"8","JAY.BOUWMEESTER","4 BOUWMEESTER, JAY","FLA4","D","D","2008020011","2008-10-10","20082009","R","FLA","CAR",0,4,"JAY","BOUWMEESTER"
"9","KAMIL.KREPS","28 KREPS, KAMIL","FLA28","C","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,28,"KAMIL","KREPS"
"10","KEITH.BALLARD","2 BALLARD, KEITH","FLA2","D","D","2008020011","2008-10-10","20082009","R","FLA","CAR",0,2,"KEITH","BALLARD"
"11","NATHAN.HORTON","16 HORTON, NATHAN","FLA16","C","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,16,"NATHAN","HORTON"
"12","NICK.BOYNTON","44 BOYNTON, NICK","FLA44","D","D","2008020011","2008-10-10","20082009","R","FLA","CAR",0,44,"NICK","BOYNTON"
"13","RADEK.DVORAK","14 DVORAK, RADEK","FLA14","R","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,14,"RADEK","DVORAK"
"14","RICHARD.ZEDNIK","20 ZEDNIK, RICHARD","FLA20","L","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,20,"RICHARD","ZEDNIK"
"15","ROSTISLAV.OLESZ","85 OLESZ, ROSTISLAV","FLA85","C","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,85,"ROSTISLAV","OLESZ"
"16","STEPHEN.WEISS","9 WEISS, STEPHEN","FLA9","C","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,9,"STEPHEN","WEISS"
"17","TOMAS.VOKOUN","29 VOKOUN, TOMAS","FLA29","G","G","2008020011","2008-10-10","20082009","R","FLA","CAR",0,29,"TOMAS","VOKOUN"
"18","VILLE.PELTONEN","18 PELTONEN, VILLE","FLA18","L","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,18,"VILLE","PELTONEN"
"19","WADE.BELAK","33 BELAK, WADE","FLA33","R","F","2008020011","2008-10-10","20082009","R","FLA","CAR",0,33,"WADE","BELAK"
"20","BRANDON.SUTTER","16 SUTTER, BRANDON","CAR16","C","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,16,"BRANDON","SUTTER"
"21","CAM.WARD","30 WARD, CAM","CAR30","G","G","2008020011","2008-10-10","20082009","R","CAR","FLA",1,30,"CAM","WARD"
"22","CHAD.LAROSE","59 LAROSE, CHAD","CAR59","C","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,59,"CHAD","LAROSE"
"23","DAN.LACOUTURE","20 LACOUTURE, DAN","CAR20","L","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,20,"DAN","LACOUTURE"
"24","DENNIS.SEIDENBERG","4 SEIDENBERG, DENNIS","CAR4","D","D","2008020011","2008-10-10","20082009","R","CAR","FLA",1,4,"DENNIS","SEIDENBERG"
"25","ERIC.STAAL","12 STAAL, ERIC","CAR12","C","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,12,"ERIC","STAAL"
"26","FRANTISEK.KABERLE","5 KABERLE, FRANTISEK","CAR5","D","D","2008020011","2008-10-10","20082009","R","CAR","FLA",1,5,"FRANTISEK","KABERLE"
"27","JOE.CORVO","77 CORVO, JOSEPH","CAR77","D","D","2008020011","2008-10-10","20082009","R","CAR","FLA",1,77,"JOSEPH","CORVO"
"28","JONI.PITKANEN","25 PITKANEN, JONI","CAR25","D","D","2008020011","2008-10-10","20082009","R","CAR","FLA",1,25,"JONI","PITKANEN"
"29","MATT.CULLEN","8 CULLEN, MATT","CAR8","C","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,8,"MATT","CULLEN"
"30","NICLAS.WALLIN","7 WALLIN, NICLAS","CAR7","D","D","2008020011","2008-10-10","20082009","R","CAR","FLA",1,7,"NICLAS","WALLIN"
"31","PATRICK.EAVES","44 EAVES, PATRICK","CAR44","R","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,44,"PATRICK","EAVES"
"32","RAY.WHITNEY","13 WHITNEY, RAY","CAR13","L","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,13,"RAY","WHITNEY"
"33","ROD.BRIND'AMOUR","17 BRIND'AMOUR, ROD","CAR17","C","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,17,"ROD","BRIND'AMOUR"
"34","RYAN.BAYDA","18 BAYDA, RYAN","CAR18","L","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,18,"RYAN","BAYDA"
"35","SERGEI.SAMSONOV","14 SAMSONOV, SERGEI","CAR14","L","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,14,"SERGEI","SAMSONOV"
"36","TIM.GLEASON","6 GLEASON, TIM","CAR6","D","D","2008020011","2008-10-10","20082009","R","CAR","FLA",1,6,"TIM","GLEASON"
"37","TUOMO.RUUTU","15 RUUTU, TUOMO","CAR15","C","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,15,"TUOMO","RUUTU"
"38","WADE.BROOKBANK","28 BROOKBANK, WADE","CAR28","L","F","2008020011","2008-10-10","20082009","R","CAR","FLA",1,28,"WADE","BROOKBANK"
"39","DAN.ELLIS","39 ELLIS, DAN","NSH39","G","G","2008020014","2008-10-10","20082009","R","NSH","STL",0,39,"DAN","ELLIS"
"40","DAN.HAMHUIS","2 HAMHUIS, DAN","NSH2","D","D","2008020014","2008-10-10","20082009","R","NSH","STL",0,2,"DAN","HAMHUIS"
"41","DAVID.LEGWAND","11 LEGWAND, DAVID","NSH11","C","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,11,"DAVID","LEGWAND"
"42","GREG.DE VRIES","7 DE VRIES, GREG","NSH7","D","D","2008020014","2008-10-10","20082009","R","NSH","STL",0,7,"GREG","DE VRIES"
"43","GREG.ZANON","5 ZANON, GREG","NSH5","D","D","2008020014","2008-10-10","20082009","R","NSH","STL",0,5,"GREG","ZANON"
"44","J-P.DUMONT","71 DUMONT, JEAN-PIERRE","NSH71","R","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,71,"JEAN-PIERRE","DUMONT"
"45","JASON.ARNOTT","19 ARNOTT, JASON","NSH19","C","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,19,"JASON","ARNOTT"
"46","JERRED.SMITHSON","25 SMITHSON, JERRED","NSH25","C","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,25,"JERRED","SMITHSON"
"47","JOEL.WARD","29 WARD, JOEL","NSH29","R","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,29,"JOEL","WARD"
"48","JORDIN.TOOTOO","22 TOOTOO, JORDIN","NSH22","R","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,22,"JORDIN","TOOTOO"
"49","MARTIN.ERAT","10 ERAT, MARTIN","NSH10","R","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,10,"MARTIN","ERAT"
"50","PATRIC.HORNQVIST","27 HORNQVIST, PATRIC","NSH27","R","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,27,"PATRIC","HORNQVIST"
"51","RICH.PEVERLEY","37 PEVERLEY, RICH","NSH37","C","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,37,"RICH","PEVERLEY"
"52","RYAN.JONES","28 JONES, RYAN","NSH28","R","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,28,"RYAN","JONES"
"53","RYAN.SUTER","20 SUTER, RYAN","NSH20","D","D","2008020014","2008-10-10","20082009","R","NSH","STL",0,20,"RYAN","SUTER"
"54","SCOTT.NICHOL","12 NICHOL, SCOTT","NSH12","C","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,12,"SCOTT","NICHOL"
"55","SHEA.WEBER","6 WEBER, SHEA","NSH6","D","D","2008020014","2008-10-10","20082009","R","NSH","STL",0,6,"SHEA","WEBER"
"56","VERNON.FIDDLER","38 FIDDLER, VERNON","NSH38","C","F","2008020014","2008-10-10","20082009","R","NSH","STL",0,38,"VERNON","FIDDLER"
"57","VILLE.KOISTINEN","4 KOISTINEN, VILLE","NSH4","D","D","2008020014","2008-10-10","20082009","R","NSH","STL",0,4,"VILLE","KOISTINEN"
"58","ALEX.PIETRANGELO","27 PIETRANGELO, ALEX","STL27","D","D","2008020014","2008-10-10","20082009","R","STL","NSH",1,27,"ALEX","PIETRANGELO"
"59","ANDY.MCDONALD","10 MCDONALD, ANDY","STL10","C","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,10,"ANDY","MCDONALD"
"60","BARRET.JACKMAN","5 JACKMAN, BARRET","STL5","D","D","2008020014","2008-10-10","20082009","R","STL","NSH",1,5,"BARRET","JACKMAN"
"61","BRAD.BOYES","22 BOYES, BRAD","STL22","R","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,22,"BRAD","BOYES"
"62","CAM.JANSSEN","55 JANSSEN, CAM","STL55","R","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,55,"CAM","JANSSEN"
"63","CHRIS.PORTER","32 PORTER, CHRIS","STL32","L","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,32,"CHRIS","PORTER"
"64","DAVID.BACKES","42 BACKES, DAVID","STL42","R","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,42,"DAVID","BACKES"
"65","DAVID.PERRON","57 PERRON, DAVID","STL57","L","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,57,"DAVID","PERRON"
"66","ERIC.BREWER","4 BREWER, ERIC","STL4","D","D","2008020014","2008-10-10","20082009","R","STL","NSH",1,4,"ERIC","BREWER"
"67","JAY.MCCLEMENT","18 MCCLEMENT, JAY","STL18","C","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,18,"JAY","MCCLEMENT"
"68","JAY.MCKEE","77 MCKEE, JAY","STL77","D","D","2008020014","2008-10-10","20082009","R","STL","NSH",1,77,"JAY","MCKEE"
"69","KEITH.TKACHUK","7 TKACHUK, KEITH","STL7","C","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,7,"KEITH","TKACHUK"
"70","LEE.STEMPNIAK","12 STEMPNIAK, LEE","STL12","R","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,12,"LEE","STEMPNIAK"
"71","MANNY.LEGACE","34 LEGACE, MANNY","STL34","G","G","2008020014","2008-10-10","20082009","R","STL","NSH",1,34,"MANNY","LEGACE"
"72","PATRIK.BERGLUND","21 BERGLUND, PATRIK","STL21","C","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,21,"PATRIK","BERGLUND"
"73","PAUL.KARIYA","9 KARIYA, PAUL","STL9","L","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,9,"PAUL","KARIYA"
"74","ROMAN.POLAK","46 POLAK, ROMAN","STL46","D","D","2008020014","2008-10-10","20082009","R","STL","NSH",1,46,"ROMAN","POLAK"
"75","STEVE.WAGNER","49 WAGNER, STEVE","STL49","D","D","2008020014","2008-10-10","20082009","R","STL","NSH",1,49,"STEVE","WAGNER"
"76","T.J..OSHIE","74 OSHIE, T.J.","STL74","C","F","2008020014","2008-10-10","20082009","R","STL","NSH",1,74,"T.J.","OSHIE"
"77","BRYAN.LITTLE","10 LITTLE, BRYAN","ATL10","C","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,10,"BRYAN","LITTLE"
"78","CHRIS.THORBURN","27 THORBURN, CHRIS","ATL27","R","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,27,"CHRIS","THORBURN"
"79","COLBY.ARMSTRONG","20 ARMSTRONG, COLBY","ATL20","R","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,20,"COLBY","ARMSTRONG"
"80","ERIC.BOULTON","36 BOULTON, ERIC","ATL36","L","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,36,"ERIC","BOULTON"
"81","ERIC.PERRIN","11 PERRIN, ERIC","ATL11","C","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,11,"ERIC","PERRIN"
"82","ERIK.CHRISTENSEN","9 CHRISTENSEN, ERIK","ATL9","C","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,9,"ERIK","CHRISTENSEN"
"83","GARNET.EXELBY","2 EXELBY, GARNET","ATL2","D","D","2008020021","2008-10-11","20082009","R","ATL","FLA",0,2,"GARNET","EXELBY"
"84","ILYA.KOVALCHUK","17 KOVALCHUK, ILYA","ATL17","L","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,17,"ILYA","KOVALCHUK"
"85","JASON.WILLIAMS","14 WILLIAMS, JASON","ATL14","C","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,14,"JASON","WILLIAMS"
"86","JIM.SLATER","23 SLATER, JIM","ATL23","C","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,23,"JIM","SLATER"
"87","JOHAN.HEDBERG","1 HEDBERG, JOHAN","ATL1","G","G","2008020021","2008-10-11","20082009","R","ATL","FLA",0,1,"JOHAN","HEDBERG"
"88","KARI.LEHTONEN","32 LEHTONEN, KARI","ATL32","G","G","2008020021","2008-10-11","20082009","R","ATL","FLA",0,32,"KARI","LEHTONEN"
"89","MARTY.REASONER","19 REASONER, MARTY","ATL19","C","F","2008020021","2008-10-11","20082009","R","ATL","FLA",0,19,"MARTY","REASONER"
