,,,,,rule
2/23/16,MOORE,JOHN,2.224766615,JOHN MOORE,1
2/23/16,BOYLE,DAN,2.21616024,DAN BOYLE,1
2/23/16,TURRIS,KYLE,2.213820637,KYLE TURRIS,1
2/23/16,STAAL,ERIC,2.198460967,ERIC STAAL,1
2/23/16,PALAT,ONDREJ,2.19186357,ONDREJ PALAT,1
2/23/16,DEMERS,JASON,2.18753977,JASON DEMERS,1
2/23/16,SMITH,ZACK,2.156954755,ZACK SMITH,1
2/23/16,NAMESTNIKOV,VLADISLAV,2.145662898,VLADISLAV NAMESTNIKOV,1
2/23/16,VANEK,THOMAS,2.143436296,THOMAS VANEK,1
2/23/16,LILES,JOHN-MICHAEL,2.139766207,JOHN-MICHAEL LILES,1
2/23/16,RASK,VICTOR,2.13842739,VICTOR RASK,1
2/23/16,FILPPULA,VALTTERI,2.136730262,VALTTERI FILPPULA,1
2/23/16,HOLLAND,PETER,2.127955387,PETER HOLLAND,1
2/23/16,MARCHESSAULT,JONATHAN,2.114430173,JONATHAN MARCHESSAULT,1
2/23/16,PERREAULT,MATHIEU,2.096896902,MATHIEU PERREAULT,1
2/23/16,MURPHY,CONNOR,2.091633946,CONNOR MURPHY,1
2/23/16,SCHEIFELE,MARK,2.088048814,MARK SCHEIFELE,1
2/23/16,DRAISAITL,LEON,2.083504018,LEON DRAISAITL,1
2/23/16,ZIDLICKY,MAREK,2.080686785,MAREK ZIDLICKY,1
2/23/16,GARDINER,JAKE,2.076523623,JAKE GARDINER,1
2/23/16,SMITH,BRENDAN,2.071774543,BRENDAN SMITH,1
2/23/16,JOHNSON,JACK,2.062345967,JACK JOHNSON,1
2/23/16,HAMONIC,TRAVIS,2.049752705,TRAVIS HAMONIC,1
2/23/16,JOSEFSON,JACOB,2.045778883,JACOB JOSEFSON,1
2/23/16,HALL,TAYLOR,2.039012442,TAYLOR HALL,1
2/23/16,RICHARDS,BRAD,2.036351399,BRAD RICHARDS,1
2/23/16,MILLER,J.T.,2.028925654,J.T. MILLER,1
2/23/16,PESCE,BRETT,2.028636853,BRETT PESCE,1
2/23/16,FISHER,MIKE,2.027356264,MIKE FISHER,1
2/23/16,SCHULTZ,JUSTIN,2.022769869,JUSTIN SCHULTZ,1
2/23/16,STROME,RYAN,2.013017246,RYAN STROME,1
2/23/16,TROUBA,JACOB,2.008513951,JACOB TROUBA,1
2/23/16,GREENING,COLIN,2.006115367,COLIN GREENING,1
2/23/16,PURCELL,TEDDY,2.003293595,TEDDY PURCELL,1
2/23/16,EKHOLM,MATTIAS,1.998445298,MATTIAS EKHOLM,1
2/23/16,CORRADO,FRANK,1.997646364,FRANK CORRADO,1
2/23/16,LETESTU,MARK,1.997244193,MARK LETESTU,1
2/23/16,SMITH,CRAIG,1.997079497,CRAIG SMITH,1
2/23/16,LINDHOLM,ELIAS,1.993395611,ELIAS LINDHOLM,1
2/23/16,KILLORN,ALEX,1.984504739,ALEX KILLORN,1
2/23/16,SCANDELLA,MARCO,1.979145187,MARCO SCANDELLA,1
2/23/16,METHOT,MARC,1.968489933,MARC METHOT,1
2/23/16,BOYES,BRAD,1.964527758,BRAD BOYES,1
2/23/16,HANIFIN,NOAH,1.962343971,NOAH HANIFIN,1
2/23/16,GRANLUND,MIKAEL,1.952204327,MIKAEL GRANLUND,1
2/23/16,RIEDER,TOBIAS,1.949467389,TOBIAS RIEDER,1
2/23/16,STRALMAN,ANTON,1.934391563,ANTON STRALMAN,1
2/23/16,BAILEY,JOSH,1.929982981,JOSH BAILEY,1
2/23/16,NELSON,BROCK,1.902127638,BROCK NELSON,1
2/23/16,MACDONALD,ANDREW,1.879386737,ANDREW MACDONALD,1
2/23/16,POMINVILLE,JASON,1.876014241,JASON POMINVILLE,1
2/23/16,PAGEAU,JEAN-GABRIEL,1.870355611,JEAN-GABRIEL PAGEAU,1
2/23/16,HEMSKY,ALES,1.860591432,ALES HEMSKY,1
2/23/16,SAVARD,DAVID,1.856059902,DAVID SAVARD,1
2/23/16,COYLE,CHARLIE,1.844754608,CHARLIE COYLE,1
2/23/16,DEKEYSER,DANNY,1.841092497,DANNY DEKEYSER,1
2/23/16,STAAL,JORDAN,1.833562318,JORDAN STAAL,1
2/23/16,LARKIN,DYLAN,1.833497219,DYLAN LARKIN,1
2/23/16,EAKIN,CODY,1.831127154,CODY EAKIN,1
2/23/16,CALLAHAN,RYAN,1.831121556,RYAN CALLAHAN,1
2/23/16,CECI,CODY,1.830719325,CODY CECI,1
2/23/16,BOUCHER,REID,1.824331731,REID BOUCHER,1
2/23/16,ODUYA,JOHNNY,1.823939845,JOHNNY ODUYA,1
2/23/16,HAYES,KEVIN,1.817235461,KEVIN HAYES,1
2/23/16,KENNEDY,TYLER,1.812944501,TYLER KENNEDY,1
