,player,projection
221924,JUSTIN.FAULK,1.5
222664,JUSTIN.SCHULTZ,1.5
223401,JUSTIN.WILLIAMS,1.5
224560,KARSON.KUHLMAN,1.5
224784,KASPERI.KAPANEN,1.5
226437,KEITH.YANDLE,1.5
226631,KENNY.AGOSTINO,1.5
227135,KEVAN.MILLER,1.5
228107,KEVIN.CONNAUTON,1.5
228279,KEVIN.FIALA,1.5
228784,KEVIN.HAYES,1.5
229618,KEVIN.LABANC,1.5
229919,KEVIN.ROONEY,1.5
232628,KRIS.LETANG,1.5
233294,KRIS.RUSSELL,1.5
236775,KYLE.CONNOR,1.5
240972,LARS.ELLER,1.5
241732,LAWSON.CROUSE,1.5
242843,LEO.KOMAROV,1.5
243212,LEON.DRAISAITL,1.5
244217,LOGAN.COUTURE,1.5
246205,LUCAS.WALLMARK,1.5
247170,LUKE.KUNIN,1.5
247978,LUKE.WITKOWSKI,1.5
248062,MACKENZIE.WEEGAR,1.5
248118,MADISON.BOWEY,1.5
250296,MARC-EDOUARD.VLASIC,1.5
253152,MARCUS.FOLIGNO,1.5
253599,MARCUS.JOHANSSON,1.5
254244,MARCUS.PETTERSSON,1.5
254365,MARCUS.SORENSEN,1.5
259933,MARK.PYSYK,1.5
260654,MARK.SCHEIFELE,1.5
260955,MARK.STONE,1.5
263312,MARTIN.FRK,1.5
266239,MATHEW.BARZAL,1.5
266528,MATHIEU.JOSEPH,1.5
267090,MATHIEU.PERREAULT,1.5
268742,MATT.BENNING,1.5
269397,MATT.CALVERT,1.5
271528,MATT.CULLEN,1.5
274139,MATT.GRZELCYK,1.5
276601,MATT.MARTIN,1.5
277485,MATT.NIETO,1.5
278065,MATT.NISKANEN,1.5
278221,MATT.PUEMPEL,2
281432,MAX.DOMI,2
282224,MAX.PACIORETTY,2
283843,MELKER.KARLSSON,2
284228,MICHAEL.DAL COLLE,2
286154,MICHAEL.GRABNER,2
286403,MICHAEL.MCLEOD,2
286975,MICHAEL.RAFFL,2
289530,MICHEAL.FERLAND,2
289715,MICHEAL.HALEY,2
294723,MIKE.HOFFMAN,2
295570,MIKE.MATHESON,2
299668,MIKHAIL.SERGACHEV,2
302684,MILAN.LUCIC,2
303374,MILES.WOOD,2
303500,MIRCO.MUELLER,2
303963,MITCH.MARNER,2
304454,MORGAN.RIELLY,2
305647,NATE.SCHMIDT,2
306365,NATE.THOMPSON,2
306371,NATHAN.BASTIAN,2
306668,NATHAN.BEAULIEU,2
307766,NATHAN.MACKINNON,2
308724,NIC.DOWD,2
309149,NICK.BJUGSTAD,2
310118,NICK.COUSINS,2
311299,NICK.HOLDEN,2
311455,NICK.JENSEN,2
312328,NICK.LEDDY,2
314833,NICKLAS.BACKSTROM,2
316312,NICO.HISCHIER,2
316313,NICO.STURM,2
317541,NIKITA.KUCHEROV,2
318393,NIKITA.ZADOROV,2.5
318633,NIKITA.ZAITSEV,2.5
319668,NIKLAS.HJALMARSSON,2.5
320390,NIKLAS.KRONWALL,2.5
320702,NIKOLAJ.EHLERS,2.5
322195,NINO.NIEDERREITER,2.5
322676,NOEL.ACCIARI,2.5
323658,OLIVER.EKMAN-LARSSON,2.5
324503,OLLI.MAATTA,2.5
325150,ONDREJ.PALAT,2.5
325556,OSCAR.KLEFBOM,2.5
326002,OSKAR.LINDBLOM,2.5
326089,OSKAR.SUNDQVIST,2.5
327639,PAR.LINDHOLM,2.5
328652,PATRIC.HORNQVIST,2.5
329366,PATRICE.BERGERON,2.5
332394,PATRICK.MARLEAU,2.5
332851,PATRICK.MAROON,2.5
335455,PATRIK.LAINE,2.5
335720,PATRIK.NEMETH,2.5
