,VIF Factor,features
148,9.852043238307472,G_sh_avg_lten
149,inf,Points_sh_avg_lten
150,27.931051560603652,iSF_sh_avg_lten
151,64.63227908474641,iFF_sh_avg_lten
152,42.58157482478128,iCF_sh_avg_lten
153,4.1597527066680975,ixG_sh_avg_lten
154,6.417043025530162,onGF_sh_avg_lten
155,75.29981986741551,onSF_sh_avg_lten
156,202.33738206356375,onFF_sh_avg_lten
157,137.58548918545466,onCF_sh_avg_lten
158,17.790845779743872,onxGF_sh_avg_lten
159,9.681028111017975,onxGA_sh_avg_lten
160,inf,hat_trick_avg_lten
161,inf,dk_points_avg_lten
162,1578.112393068038,skater_toi_percentage_avg_lten
163,8.156300459423804,skater_pptoi_percentage_avg_lten
164,79.79394636745775,skater_shtoi_percentage_avg_lten
165,62.48156782927435,points_per_60_avg_lten
166,99.0429431273099,iFF_per_60_avg_lten
167,80.66901390538217,ixG_per_60_avg_lten
168,4993.373638810929,TOI_comp_avg_ltwen
169,inf,G_comp_avg_ltwen
170,inf,Points_comp_avg_ltwen
171,inf,iSF_comp_avg_ltwen
172,1337.7536545950404,iFF_comp_avg_ltwen
173,791.5978353330989,iCF_comp_avg_ltwen
174,230.26638668688642,ixG_comp_avg_ltwen
175,inf,iBLK_comp_avg_ltwen
176,8.448375881281056,iHF_avg_ltwen
177,26.65629256173857,OZS_comp_avg_ltwen
178,1318.7804642498495,TOI_ev_avg_ltwen
179,45.02163342577776,G_ev_avg_ltwen
180,47.68676980339971,Points_ev_avg_ltwen
181,322.8093335372557,iSF_ev_avg_ltwen
182,682.67342631134,iFF_ev_avg_ltwen
183,414.2587965465494,iCF_ev_avg_ltwen
184,130.13723124905016,ixG_ev_avg_ltwen
185,70.20471743921723,iBLK_ev_avg_ltwen
186,4.3916784339700445,onGF_avg_ltwen
187,100.83026960153082,onFF_avg_ltwen
188,112.79831169922139,onCF_avg_ltwen
189,19.31078625936247,onxGF_avg_ltwen
190,18.01398437488337,onFA_state_avg_ltwen
191,285.7151185216536,TOI_avg_ltwen
192,12.197165300981007,G_avg_ltwen
193,15.631223677244314,Points_avg_ltwen
194,66.47369884185073,iSF_avg_ltwen
195,159.60101054026703,iFF_avg_ltwen
196,114.6470214152584,iCF_avg_ltwen
197,15.073769318280156,ixG_avg_ltwen
198,10.793492972289684,onGF_pp_avg_ltwen
199,135.45409289325363,onSF_pp_avg_ltwen
200,inf,onFF_pp_avg_ltwen
201,234.9212071985641,onCF_pp_avg_ltwen
202,inf,onxGF_pp_avg_ltwen
203,220.33570429737154,TOI_sh_avg_ltwen
204,6.998633412795536,G_sh_avg_ltwen
205,inf,Points_sh_avg_ltwen
206,24.35904051671296,iSF_sh_avg_ltwen
207,58.47196685892681,iFF_sh_avg_ltwen
208,38.28881463447907,iCF_sh_avg_ltwen
209,2.8137155624704038,ixG_sh_avg_ltwen
210,5.600210780091568,onGF_sh_avg_ltwen
211,81.30877559563817,onSF_sh_avg_ltwen
212,217.5121456775404,onFF_sh_avg_ltwen
213,151.79398556820118,onCF_sh_avg_ltwen
214,14.39764551875439,onxGF_sh_avg_ltwen
215,8.690304282934694,onxGA_sh_avg_ltwen
216,inf,hat_trick_avg_ltwen
217,inf,dk_points_avg_ltwen
218,1777.5998918459654,skater_toi_percentage_avg_ltwen
219,8.204012950245465,skater_pptoi_percentage_avg_ltwen
220,65.06315958092979,skater_shtoi_percentage_avg_ltwen
221,54.54060829595492,points_per_60_avg_ltwen
222,83.2662567461224,iFF_per_60_avg_ltwen
223,61.65000794198568,ixG_per_60_avg_ltwen
224,48.69112004354601,position_avg_C
225,68.3783498620383,position_avg_D
226,28.020613949640335,position_avg_L
227,28.177420407405016,position_avg_R
