"","Team","Opponent","game_id","game_date","season","is_home","TOI","TOI_5v4","TOI_5v3","TOI_4v3","GF","GA","xGF","xGA","SF","SA","FF","FA","CF","CA","PEND2","PENT2","PEND5","PENT5"
"39","ANA","PHI",2008020564,14246,20082009,1,5.43333333333333,5.43333333333333,0,0,2,0,0,0,5,1,8,1,9,1,0,0,0,0
"40","ANA","ARI",2008020581,14248,20082009,1,5.23333333333333,5.23333333333333,0,0,2,0,0,0,10,0,11,0,11,0,0,0,0,0
"41","ANA","L.A",2008020595,14250,20082009,1,6.38333333333333,6.35,0.0333333333333333,0,2,0,0,0,7,0,7,2,9,2,1,0,0,0
"42","ANA","L.A",2008020608,14252,20082009,0,10.4,9.98333333333333,0.416666666666667,0,1,0,0,0,14,2,26,2,27,2,2,0,0,0
"43","ANA","T.B",2008020613,14253,20082009,1,6.98333333333333,6.98333333333333,0,0,1,1,0,0,9,1,11,1,13,1,0,0,0,0
"44","ANA","N.J",2008020628,14255,20082009,1,8,8,0,0,0,0,0,0,5,2,8,2,8,2,0,0,0,0
"45","ANA","DET",2008020645,14258,20082009,1,7.61666666666667,7.61666666666667,0,0,1,0,0,0,6,0,8,2,13,3,0,0,0,0
"46","ANA","PIT",2008020657,14260,20082009,0,6.81666666666667,6.81666666666667,0,0,1,0,0,0,4,1,7,1,11,1,0,0,0,0
"47","ANA","MIN",2008020670,14261,20082009,0,1.7,1.7,0,0,1,0,0,0,3,0,4,0,6,0,0,0,0,0
"48","ANA","NYR",2008020684,14264,20082009,0,7.45,7.45,0,0,1,1,0,0,10,2,12,4,15,4,0,0,0,0
"49","ANA","NYI",2008020693,14265,20082009,0,8.38333333333333,8.38333333333333,0,0,1,0,0,0,12,1,15,1,17,1,0,0,0,0
"50","ANA","ARI",2008020711,14271,20082009,0,0.85,0.85,0,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0
"51","ANA","CHI",2008020714,14272,20082009,1,3,3,0,0,1,0,0,0,5,0,6,0,8,0,0,0,0,0
"52","ANA","COL",2008020733,14275,20082009,0,7.08333333333333,7.01666666666667,0.0666666666666667,0,1,1,0,0,6,1,8,1,13,1,1,0,0,0
"53","ANA","BUF",2008020747,14277,20082009,1,4.55,4.55,0,0,2,0,0,0,6,0,6,1,7,1,0,0,0,0
"54","ANA","MIN",2008020763,14279,20082009,0,8.66666666666667,8.66666666666667,0,0,0,0,0,0,6,1,9,2,12,3,0,0,0,0
"55","ANA","NSH",2008020767,14280,20082009,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"56","ANA","CGY",2008020779,14282,20082009,0,4,4,0,0,0,0,0,0,8,0,11,0,13,0,0,0,0,0
"57","ANA","CGY",2008020810,14286,20082009,1,8.05,8.05,0,0,1,0,0,0,9,0,13,0,17,0,0,0,0,0
"58","ANA","ATL",2008020839,14290,20082009,1,5,5,0,0,0,1,0,0,4,2,7,2,9,2,0,0,0,0
"59","ANA","L.A",2008020858,14293,20082009,1,8.01666666666667,8.01666666666667,0,0,2,0,0,0,8,0,12,1,14,1,0,1,0,0
"60","ANA","DET",2008020873,14295,20082009,0,5.85,5.01666666666667,0.833333333333333,0,1,0,0,0,7,0,9,0,14,1,1,0,0,0
"61","ANA","CBJ",2008020883,14296,20082009,0,3.16666666666667,3.16666666666667,0,0,1,0,0,0,1,0,3,0,3,0,0,0,0,0
"62","ANA","BUF",2008020894,14299,20082009,0,4.48333333333333,4.48333333333333,0,0,0,0,0,0,5,1,6,1,7,2,0,0,0,0
"63","ANA","BOS",2008020908,14301,20082009,0,6,6,0,0,0,0,0,0,4,0,5,0,6,0,0,0,0,0
"64","ANA","DAL",2008020925,14303,20082009,0,5.1,5.1,0,0,1,0,0,0,2,0,6,0,7,0,0,0,0,0
"65","ANA","CHI",2008020949,14306,20082009,0,6,6,0,0,0,0,0,0,1,1,4,1,8,1,0,0,0,0
"66","ANA","DAL",2008020968,14309,20082009,1,5.95,5.93333333333333,0.0166666666666667,0,0,0,0,0,6,1,7,1,9,1,0,0,0,0
"67","ANA","MIN",2008020985,14311,20082009,1,5.06666666666667,5.06666666666667,0,0,0,0,0,0,4,1,6,2,8,2,0,0,0,0
"68","ANA","VAN",2008021002,14314,20082009,1,11.1166666666667,10,0,1.11666666666667,0,0,0,0,11,0,15,0,19,0,0,1,0,0
"69","ANA","S.J",2008021036,14318,20082009,1,8,8,0,0,0,0,0,0,10,0,14,0,17,0,0,0,0,0
"70","ANA","NSH",2008021054,14321,20082009,1,7.81666666666667,7.25,0,0.566666666666667,3,0,0,0,8,0,14,0,15,0,0,0,0,0
"71","ANA","ARI",2008021061,14322,20082009,0,4,4,0,0,0,0,0,0,2,2,2,3,3,3,0,0,0,0
"72","ANA","ARI",2008021083,14325,20082009,1,3.73333333333333,3.73333333333333,0,0,4,0,0,0,8,2,9,2,12,2,0,0,0,0
"73","ANA","NSH",2008021092,14327,20082009,0,2.41666666666667,2,0,0.416666666666667,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"74","ANA","COL",2008021101,14328,20082009,0,8.23333333333333,7.91666666666667,0.316666666666667,0,2,0,0,0,6,1,7,1,13,1,1,0,0,0
"75","ANA","EDM",2008021115,14330,20082009,1,16.0666666666667,14.7166666666667,1.35,0,1,0,0,0,25,0,36,1,44,1,5,3,0,0
"76","ANA","COL",2008021133,14332,20082009,1,4.9,4.51666666666667,0,0.383333333333333,1,0,0,0,5,1,8,1,9,1,0,1,0,0
"77","ANA","EDM",2008021142,14334,20082009,0,5.55,5.55,0,0,2,0,0,0,7,1,8,1,8,1,0,0,0,0
"78","ANA","VAN",2008021156,14336,20082009,0,1.65,1.65,0,0,1,0,0,0,3,0,6,1,7,1,0,0,0,0
"79","ANA","S.J",2008021173,14338,20082009,0,1.25,1.25,0,0,1,0,0,0,2,0,3,0,3,0,0,0,0,0
"80","ANA","S.J",2008021179,14339,20082009,1,2.3,2.3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"81","ANA","DAL",2008021213,14344,20082009,1,8,8,0,0,0,0,0,0,7,1,11,1,14,1,0,0,0,0
"82","ANA","ARI",2008021225,14345,20082009,0,6.53333333333333,6.53333333333333,0,0,3,0,0,0,8,3,11,3,12,4,0,0,0,0
"83","ANA","S.J",2008030151,14350,20082009,0,6.21666666666667,6.21666666666667,0,0,1,0,0,0,5,3,5,4,6,5,0,0,0,0
"84","ANA","S.J",2008030152,14353,20082009,0,3.93333333333333,3.93333333333333,0,0,1,0,0,0,10,1,13,1,16,1,0,0,0,0
"85","ANA","S.J",2008030153,14355,20082009,1,5.28333333333333,5.28333333333333,0,0,1,0,0,0,5,1,7,2,9,3,0,1,0,0
"86","ANA","S.J",2008030154,14357,20082009,1,6.2,6,0.2,0,0,0,0,0,5,1,7,1,12,1,0,0,0,0
"87","ANA","S.J",2008030155,14359,20082009,0,5.68333333333333,5.68333333333333,0,0,0,0,0,0,4,2,5,2,9,2,0,1,0,0
"88","ANA","S.J",2008030156,14361,20082009,1,3.66666666666667,3.43333333333333,0,0.233333333333333,2,0,0,0,8,0,12,0,13,0,0,1,0,0
"89","ANA","DET",2008030231,14365,20082009,0,5.55,4.95,0,0.6,1,0,0,0,4,0,5,0,7,0,0,0,0,0
"90","ANA","DET",2008030232,14367,20082009,0,5.13333333333333,5.13333333333333,0,0,2,0,0,0,5,0,6,0,8,0,0,0,0,0
"91","ANA","DET",2008030233,14369,20082009,1,6.66666666666667,6.66666666666667,0,0,1,0,0,0,7,4,10,4,12,4,0,0,0,0
