"","player","num_last_first","player_team_num","position","position_type","game_id","game_date","season","session","team","opponent","is_home","player_num","firstname","lastname"
"1","ANDREW.PETERS","25 PETERS, ANDREW","N.J25","L","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,25,"ANDREW","PETERS"
"2","ANDY.GREENE","6 GREENE, ANDY","N.J6","D","D","2009020607","2009-12-31","20092010","R","N.J","CHI",0,6,"ANDY","GREENE"
"3","BRIAN.ROLSTON","12 ROLSTON, BRIAN","N.J12","R","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,12,"BRIAN","ROLSTON"
"4","COLIN.WHITE","5 WHITE, COLIN","N.J5","D","D","2009020607","2009-12-31","20092010","R","N.J","CHI",0,5,"COLIN","WHITE"
"5","DEAN.MCAMMOND","11 MCAMMOND, DEAN","N.J11","L","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,11,"DEAN","MCAMMOND"
"6","JAMIE.LANGENBRUNNER","15 LANGENBRUNNER, JAMIE","N.J15","R","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,15,"JAMIE","LANGENBRUNNER"
"7","JAY.PANDOLFO","20 PANDOLFO, JAY","N.J20","L","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,20,"JAY","PANDOLFO"
"8","JOHNNY.ODUYA","29 ODUYA, JOHNNY","N.J29","D","D","2009020607","2009-12-31","20092010","R","N.J","CHI",0,29,"JOHNNY","ODUYA"
"9","MARK.FRASER","2 FRASER, MARK","N.J2","D","D","2009020607","2009-12-31","20092010","R","N.J","CHI",0,2,"MARK","FRASER"
"10","MARTIN.BRODEUR","30 BRODEUR, MARTIN","N.J30","G","G","2009020607","2009-12-31","20092010","R","N.J","CHI",0,30,"MARTIN","BRODEUR"
"11","MATTHEW.CORRENTE","32 CORRENTE, MATTHEW","N.J32","D","D","2009020607","2009-12-31","20092010","R","N.J","CHI",0,32,"MATTHEW","CORRENTE"
"12","MIKE.MOTTAU","27 MOTTAU, MIKE","N.J27","D","D","2009020607","2009-12-31","20092010","R","N.J","CHI",0,27,"MIKE","MOTTAU"
"13","NICLAS.BERGFORS","18 BERGFORS, NICLAS","N.J18","R","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,18,"NICLAS","BERGFORS"
"14","PATRIK.ELIAS","26 ELIAS, PATRIK","N.J26","L","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,26,"PATRIK","ELIAS"
"15","ROB.NIEDERMAYER","21 NIEDERMAYER, ROB","N.J21","C","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,21,"ROB","NIEDERMAYER"
"16","ROD.PELLEY","10 PELLEY, ROD","N.J10","C","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,10,"ROD","PELLEY"
"17","TRAVIS.ZAJAC","19 ZAJAC, TRAVIS","N.J19","C","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,19,"TRAVIS","ZAJAC"
"18","VLADIMIR.ZHARKOV","28 ZHARKOV, VLADIMIR","N.J28","R","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,28,"VLADIMIR","ZHARKOV"
"19","ZACH.PARISE","9 PARISE, ZACH","N.J9","L","F","2009020607","2009-12-31","20092010","R","N.J","CHI",0,9,"ZACH","PARISE"
"20","ANDREW.LADD","16 LADD, ANDREW","CHI16","L","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,16,"ANDREW","LADD"
"21","BEN.EAGER","55 EAGER, BEN","CHI55","L","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,55,"BEN","EAGER"
"22","BRENT.SEABROOK","7 SEABROOK, BRENT","CHI7","D","D","2009020607","2009-12-31","20092010","R","CHI","N.J",1,7,"BRENT","SEABROOK"
"23","BRENT.SOPEL","5 SOPEL, BRENT","CHI5","D","D","2009020607","2009-12-31","20092010","R","CHI","N.J",1,5,"BRENT","SOPEL"
"24","BRIAN.CAMPBELL","51 CAMPBELL, BRIAN","CHI51","D","D","2009020607","2009-12-31","20092010","R","CHI","N.J",1,51,"BRIAN","CAMPBELL"
"25","CAM.BARKER","25 BARKER, CAM","CHI25","D","D","2009020607","2009-12-31","20092010","R","CHI","N.J",1,25,"CAM","BARKER"
"26","COLIN.FRASER","46 FRASER, COLIN","CHI46","C","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,46,"COLIN","FRASER"
"27","CRISTOBAL.HUET","39 HUET, CRISTOBAL","CHI39","G","G","2009020607","2009-12-31","20092010","R","CHI","N.J",1,39,"CRISTOBAL","HUET"
"28","DUNCAN.KEITH","2 KEITH, DUNCAN","CHI2","D","D","2009020607","2009-12-31","20092010","R","CHI","N.J",1,2,"DUNCAN","KEITH"
"29","DUSTIN.BYFUGLIEN","33 BYFUGLIEN, DUSTIN","CHI33","R","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,33,"DUSTIN","BYFUGLIEN"
"30","JOHN.MADDEN","11 MADDEN, JOHN","CHI11","C","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,11,"JOHN","MADDEN"
"31","JONATHAN.TOEWS","19 TOEWS, JONATHAN","CHI19","C","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,19,"JONATHAN","TOEWS"
"32","KRIS.VERSTEEG","32 VERSTEEG, KRIS","CHI32","R","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,32,"KRIS","VERSTEEG"
"33","MARIAN.HOSSA","81 HOSSA, MARIAN","CHI81","R","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,81,"MARIAN","HOSSA"
"34","NIKLAS.HJALMARSSON","4 HJALMARSSON, NIKLAS","CHI4","D","D","2009020607","2009-12-31","20092010","R","CHI","N.J",1,4,"NIKLAS","HJALMARSSON"
"35","PATRICK.KANE","88 KANE, PATRICK","CHI88","R","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,88,"PATRICK","KANE"
"36","PATRICK.SHARP","10 SHARP, PATRICK","CHI10","R","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,10,"PATRICK","SHARP"
"37","TOMAS.KOPECKY","82 KOPECKY, TOMAS","CHI82","R","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,82,"TOMAS","KOPECKY"
"38","TROY.BROUWER","22 BROUWER, TROY","CHI22","R","F","2009020607","2009-12-31","20092010","R","CHI","N.J",1,22,"TROY","BROUWER"
"39","ANDY.GREENE","6 GREENE, ANDY","N.J6","D","D","2009020620","2010-01-02","20092010","R","N.J","MIN",0,6,"ANDY","GREENE"
"40","BRIAN.ROLSTON","12 ROLSTON, BRIAN","N.J12","R","F","2009020620","2010-01-02","20092010","R","N.J","MIN",0,12,"BRIAN","ROLSTON"
"41","COLIN.WHITE","5 WHITE, COLIN","N.J5","D","D","2009020620","2010-01-02","20092010","R","N.J","MIN",0,5,"COLIN","WHITE"
"42","DEAN.MCAMMOND","11 MCAMMOND, DEAN","N.J11","L","F","2009020620","2010-01-02","20092010","R","N.J","MIN",0,11,"DEAN","MCAMMOND"
"43","ILKKA.PIKKARAINEN","17 PIKKARAINEN, ILKKA","N.J17","R","F","2009020620","2010-01-02","20092010","R","N.J","MIN",0,17,"ILKKA","PIKKARAINEN"
"44","JAMIE.LANGENBRUNNER","15 LANGENBRUNNER, JAMIE","N.J15","R","F","2009020620","2010-01-02","20092010","R","N.J","MIN",0,15,"JAMIE","LANGENBRUNNER"
"45","JAY.PANDOLFO","20 PANDOLFO, JAY","N.J20","L","F","2009020620","2010-01-02","20092010","R","N.J","MIN",0,20,"JAY","PANDOLFO"
"46","JOHNNY.ODUYA","29 ODUYA, JOHNNY","N.J29","D","D","2009020620","2010-01-02","20092010","R","N.J","MIN",0,29,"JOHNNY","ODUYA"
